pos	unmethyl	 methyl
757126	0.611847	0.388153
757129	0.410266	0.589734
757133	0.218077	0.781923
757135	0.50887	0.49113
757136	0.490394	0.509606
757137	0.382	0.617999
757138	0.40715	0.59285
757139	0.210634	0.789365
757140	0.393988	0.606012
757141	0.285595	0.714405
757143	0.604589	0.395411
757147	0.300583	0.699417
757153	0.516063	0.483937
757156	0.38062	0.61938
757157	0.393046	0.606954
757159	0.695917	0.304083
757160	0.475654	0.524346
757163	0.695147	0.304853
757168	0.522032	0.477968
757169	0.608808	0.391191
757172	0.516051	0.483949
757179	0.884348	0.115652
757184	0.393046	0.606954
757185	0.469584	0.530416
757195	0.490455	0.509545
757198	0.45719	0.54281
757199	0.443998	0.556002
757201	0.612949	0.387051
757204	0.520177	0.479823
757216	0.60271	0.39729
757219	0.685914	0.314086
757223	0.301837	0.698163
757232	0.611035	0.388965
757238	0.230662	0.769338
757240	0.673134	0.326866
757241	0.415239	0.584761
757251	0.554363	0.445637
757259	0.41325	0.58675
757262	0.328398	0.671602
757266	0.329787	0.670212
757267	0.398389	0.601611
757273	0.615308	0.384691
757274	0.207196	0.792804
757277	0.266436	0.733564
757279	0.361198	0.638802
757282	0.493373	0.506627
757287	0.386922	0.613078
757288	0.316281	0.683719
757289	0.38212	0.61788
757299	0.345791	0.654209
757305	0.386922	0.613078
757308	0.891804	0.108196
757313	0.096426	0.903574
757315	0.392988	0.607011
757318	0.663506	0.336494
757320	0.591037	0.408963
757324	0.706805	0.293194
757326	0.629143	0.370857
757328	0.602114	0.397886
757329	0.598201	0.401799
757330	0.613585	0.386415
757332	0.661513	0.338487
757335	0.65639	0.34361
757336	0.555993	0.444006
757343	0.765512	0.234487
757344	0.548701	0.34361
757346	0.362401	0.429513
757347	0.358488	0.325231
757350	0	0.115769
