chr	pos	Cov	Meth
1	757122	15	12
1	757130	57	22
1	757134	75	51
1	757135	78	45
1	757143	106	78
1	757144	109	60
1	757150	134	72
1	757164	197	112
1	757172	236	98
1	757173	240	144
1	757174	242	105
1	757179	256	118
1	757180	261	132
1	757181	262	113
1	757182	264	156
1	757183	267	215
1	757184	271	168
1	757187	283	108
1	757190	284	135
1	757191	282	228
1	757193	282	109
1	757197	277	113
1	757201	274	95
1	757202	273	91
1	757203	274	96
1	757207	279	143
1	757214	278	118
1	757223	274	135
1	757224	277	56
1	757225	277	197
1	757226	278	115
1	757228	274	129
1	757229	274	102
1	757230	277	77
1	757232	276	107
1	757233	278	114
1	757237	269	48
1	757242	273	61
1	757243	274	69
1	757244	274	112
1	757246	274	114
1	757247	278	71
1	757248	278	83
1	757249	279	99
1	757254	283	215
1	757257	284	133
1	757259	282	147
1	757270	282	50
1	757277	282	226
1	757282	277	134
1	757284	270	103
1	757285	267	87
1	757287	250	93
1	757289	245	111
1	757291	239	153
1	757292	233	143
1	757293	230	122
1	757294	225	89
1	757297	215	45
1	757301	198	180
1	757324	103	60
1	757328	87	45
1	757330	82	46
1	757331	80	31
1	757337	60	36
1	757341	39	26
1	757343	27	15
