pos	unmethyl	 methyl
757121	0	0
757125	1	1
757129	1	3
757130	1	3
757132	1	3
757134	1	3
757135	1	3
757142	5	5
757146	6	6
757148	6	6
757151	7	9
757152	7	10
757156	8	10
757158	8	12
757160	8	12
757161	8	13
757164	10	15
757165	10	15
757166	10	15
757167	10	15
757172	12	15
757175	12	17
757176	14	18
757177	15	18
757178	15	18
757179	15	19
757180	15	19
757182	15	20
757185	16	20
757189	19	20
757190	19	20
757191	19	20
757194	20	19
757196	19	19
757197	19	19
757198	19	19
757199	19	18
757201	19	18
757202	19	18
757203	19	18
757207	21	17
757209	21	18
757210	20	17
757213	20	16
757216	19	15
757217	19	15
757226	18	14
757228	16	14
757229	16	14
757231	15	15
757234	15	13
757236	15	13
757237	16	13
757240	15	12
757244	15	12
757245	15	12
757248	13	10
757250	13	10
757254	14	9
757259	12	10
757260	12	10
757263	10	11
757264	10	11
757266	11	11
757269	11	11
757271	14	11
757274	14	10
757275	14	10
757276	14	8
757278	14	8
757282	13	8
757284	12	8
757286	12	8
757288	12	8
757290	12	8
757293	11	6
757294	11	6
757298	10	6
757300	10	6
757302	9	5
757304	8	5
757307	7	5
757311	7	4
757316	6	4
757317	6	4
757318	6	4
757319	6	4
757323	5	3
757325	4	3
757326	4	2
757330	4	1
757335	3	0
757337	3	0
757345	0	0
757349	0	0
