chr	start	end	cid	pid	abundance	methylpat	regions
1	11006913	11045310	1	1	0.0326797	932:M,956:M,976:M,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:M,2212:M,2383:M,2554:U,2856:U,3190:M,3238:U,3261:M,3372:U,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:M,4622:M,4668:M,4732:M,4754:M,6335:U,6652:M,6660:M,6677:M,6728:M,7260:M,7282:U,7344:M,7459:M,7480:U,7531:M,7535:M,7544:M,7601:M,7670:U,7678:U,7691:U,7697:U,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:U,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:U,8221:U,8252:M,8255:M,8279:U,9404:M,9412:M,9424:M,9782:M,10221:M,10256:U,10296:U,10446:M,10525:U,10556:U,10667:U,11285:M,12313:U,12769:U,12813:U,12941:U,13189:U,13792:M,13805:M,14634:U,15019:M,16512:U,17092:M,17183:U,17415:U,17624:M,17728:U,17765:M,18962:U,19083:M,19186:M,19207:M,19474:U,19742:U,20384:M,20427:M,21144:U,21166:M,21841:U,23427:U,23441:U,23522:M,23556:U,23629:M,24478:M,24681:M,25926:U,25970:U,26538:M,27046:M,28757:M,28759:M,29607:U,29657:M,29667:M,29676:M,29712:U,29730:U,30626:U,31351:U,31365:U,31375:U,31885:M,31941:M,32244:M,33549:U,33600:M,33710:M,33728:M,33733:M,34522:U,35818:U,36471:U,37324:U,38301:M	0,145,159,169,175,176,316,328,329,356,377,391,399,404,426,439,457,467,490,517,536,589,599,615,618,619,641,652,703,725,740,830,835,839,845,853,865,871,885,896,899,906,915,918,1183,1209,1249,1256,1265,1277,1350,1355,1380,1381,1397,1399,1410,1416,1421,1435,1437,1445,1466,1469,1488,1492,1496,1504,1509,1521,1524,1538,1540,1544,1550,1551,1555,1561,1563,1578,1584,1588,1772,1776,1796,1851,1874,1936,1942,1967,1971,1981,1988,2012,2021,2027,2033,2043,2146,2163,2346,2370,2453,2470,2474,2486,2512,2531,2604,2606,2625,2753,2772,2824,2845,3075,3096,3176,3195,3211,3230,3249,3264,3288,3290,3300,3312,3319,3502,3525,3529,3552,3554,3571,3602,3620,3650,3676,3762,3767,3779,3788,3895,3904,3924,3927,4037,4052,4314,4318,4338,4351,4362,4502,4518,4531,4545,4742,4750,4765,4766,4837,4858,4936,4958,5273,5287,5418,5426,5437,5453,5454,5458,5596,5613,5727,5752,5831,5841,5845,5855,5889,5906,6134,6144,6155,6165,6167,6199,6328,6349,6568,6585,6694,6717,6861,6882,7040
1	11006913	11045297	1	2	0.0264286	932:M,956:U,976:U,1703:M,1722:M,1734:M,1949:U,2029:U,2039:U,2106:U,2212:M,2383:M,2554:U,2856:U,3190:U,3238:M,3261:U,3372:U,3404:U,3746:M,3820:M,3827:M,4397:U,4432:M,4472:M,4622:M,4668:U,4732:U,4754:M,6335:U,6652:M,6660:M,6677:M,6728:M,7260:U,7282:M,7344:M,7459:M,7480:U,7531:M,7535:M,7544:M,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:U,7831:U,7881:U,7900:U,7981:U,7993:U,8056:U,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:M,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:M,10525:U,10556:U,10667:M,11285:U,12313:U,12769:U,12813:U,12941:U,13189:U,13792:M,13805:M,14634:U,15019:M,16512:U,17092:M,17183:U,17415:U,17624:M,17728:M,17765:U,18962:U,19083:M,19186:M,19207:M,19474:U,19742:M,20384:M,20427:M,21144:M,21166:U,21841:M,23427:M,23441:M,23522:M,23556:U,23629:M,24478:M,24681:M,25926:U,25970:U,26538:U,27046:M,28757:M,28759:M,29607:M,29657:M,29667:M,29676:M,29712:M,29730:M,30626:U,31351:U,31365:U,31375:U,31885:U,31941:U,32244:U,33549:U,33600:M,33710:M,33728:M,33733:M,34522:U,35818:U,36471:U,37324:U,38301:U	0,145,152,157,173,176,316,328,329,356,374,379,393,398,404,426,439,457,467,490,517,536,594,600,606,618,619,641,652,703,725,740,830,835,839,845,853,865,871,887,894,900,903,915,918,1183,1209,1249,1256,1265,1277,1351,1356,1379,1381,1397,1399,1410,1416,1420,1432,1438,1446,1470,1477,1487,1490,1498,1503,1509,1521,1524,1529,1533,1541,1543,1548,1552,1554,1556,1576,1586,1588,1772,1776,1796,1851,1874,1937,1940,1954,1965,1972,1981,1988,2012,2021,2027,2028,2043,2148,2163,2346,2370,2453,2470,2474,2486,2512,2531,2604,2606,2625,2753,2772,2824,2845,3075,3096,3176,3195,3211,3230,3249,3264,3288,3289,3295,3313,3319,3502,3525,3529,3552,3554,3571,3602,3620,3651,3676,3762,3767,3779,3788,3898,3902,3925,3927,4040,4052,4315,4317,4338,4351,4362,4502,4518,4531,4545,4742,4750,4765,4766,4838,4858,4936,4958,5273,5287,5416,5432,5438,5448,5450,5458,5596,5613,5727,5752,5833,5837,5847,5855,5890,5906,6134,6144,6155,6165,6167,6199,6328,6349,6568,6585,6694,6717,6861,6882,7043
1	11006913	11045297	1	3	0.0229471	932:M,956:U,976:M,1703:U,1722:U,1734:U,1949:M,2029:M,2039:M,2106:M,2212:U,2383:M,2554:U,2856:U,3190:U,3238:M,3261:U,3372:M,3404:U,3746:M,3820:M,3827:M,4397:M,4432:U,4472:M,4622:M,4668:U,4732:U,4754:M,6335:U,6652:M,6660:M,6677:M,6728:M,7260:M,7282:M,7344:U,7459:U,7480:U,7531:M,7535:M,7544:M,7601:M,7670:U,7678:U,7691:U,7697:U,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:U,8221:U,8252:U,8255:U,8279:M,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:U,10525:U,10556:M,10667:U,11285:U,12313:U,12769:U,12813:U,12941:U,13189:U,13792:M,13805:M,14634:U,15019:U,16512:U,17092:M,17183:M,17415:U,17624:M,17728:M,17765:M,18962:M,19083:M,19186:U,19207:U,19474:M,19742:U,20384:M,20427:U,21144:U,21166:U,21841:M,23427:M,23441:M,23522:M,23556:U,23629:U,24478:U,24681:M,25926:U,25970:U,26538:U,27046:M,28757:M,28759:M,29607:M,29657:U,29667:U,29676:U,29712:M,29730:M,30626:M,31351:U,31365:U,31375:U,31885:U,31941:M,32244:U,33549:U,33600:M,33710:M,33728:M,33733:M,34522:U,35818:U,36471:U,37324:U,38301:U	0,145,152,161,171,175,176,314,321,329,357,377,391,399,406,426,439,457,467,490,517,536,594,600,606,618,620,627,641,652,703,725,740,833,837,843,846,853,865,871,887,894,900,903,915,918,1183,1209,1249,1256,1265,1277,1350,1357,1382,1397,1398,1407,1410,1416,1421,1435,1437,1445,1466,1469,1488,1492,1496,1504,1509,1527,1530,1535,1538,1540,1544,1550,1551,1562,1570,1574,1576,1586,1588,1772,1776,1796,1851,1874,1937,1940,1954,1965,1972,1981,1989,2007,2013,2020,2027,2033,2043,2148,2163,2346,2370,2453,2470,2474,2486,2512,2531,2604,2606,2625,2753,2772,2826,2845,3075,3096,3176,3198,3211,3230,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3553,3569,3571,3603,3620,3650,3676,3762,3768,3780,3788,3895,3922,3925,3927,4040,4052,4315,4317,4338,4354,4362,4506,4518,4531,4545,4742,4750,4765,4766,4838,4858,4936,4958,5273,5287,5416,5425,5429,5436,5443,5450,5458,5597,5613,5727,5752,5833,5840,5845,5855,5890,5906,6134,6144,6155,6165,6167,6199,6328,6349,6568,6585,6694,6717,6861,6882,7043
1	11006913	11045310	1	4	0.0161247	932:U,956:U,976:M,1703:M,1722:M,1734:M,1949:U,2029:U,2039:U,2106:M,2212:M,2383:M,2554:U,2856:U,3190:M,3238:U,3261:M,3372:M,3404:U,3746:M,3820:M,3827:M,4397:M,4432:U,4472:U,4622:M,4668:M,4732:U,4754:M,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:M,7344:U,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:U,7831:U,7881:U,7900:U,7981:U,7993:U,8056:M,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:U,9404:U,9412:U,9424:U,9782:M,10221:U,10256:U,10296:U,10446:U,10525:M,10556:U,10667:M,11285:U,12313:M,12769:U,12813:U,12941:U,13189:U,13792:M,13805:M,14634:U,15019:M,16512:U,17092:M,17183:M,17415:U,17624:M,17728:M,17765:M,18962:U,19083:M,19186:U,19207:U,19474:U,19742:M,20384:U,20427:U,21144:M,21166:U,21841:U,23427:M,23441:M,23522:M,23556:U,23629:U,24478:M,24681:M,25926:M,25970:U,26538:U,27046:M,28757:M,28759:M,29607:U,29657:U,29667:U,29676:U,29712:U,29730:U,30626:M,31351:U,31365:U,31375:U,31885:M,31941:U,32244:U,33549:U,33600:M,33710:M,33728:M,33733:M,34522:U,35818:U,36471:U,37324:U,38301:M	0,146,153,160,171,175,176,316,328,329,356,374,379,399,404,426,439,457,467,490,517,536,589,599,615,618,620,627,641,652,703,725,740,833,837,841,854,865,871,885,898,903,915,918,1183,1209,1253,1254,1266,1277,1351,1356,1382,1397,1404,1411,1422,1438,1446,1470,1477,1487,1490,1498,1503,1509,1527,1534,1541,1543,1548,1552,1554,1556,1569,1573,1584,1588,1774,1795,1796,1851,1874,1937,1946,1967,1971,1981,1989,2009,2011,2021,2027,2028,2043,2148,2163,2350,2370,2453,2470,2474,2486,2512,2531,2604,2606,2625,2753,2772,2824,2845,3075,3096,3176,3198,3211,3230,3249,3264,3288,3289,3298,3312,3319,3502,3525,3529,3553,3569,3571,3602,3620,3651,3676,3763,3769,3780,3788,3898,3902,3925,3927,4037,4052,4315,4317,4338,4354,4362,4502,4518,4531,4545,4744,4751,4765,4766,4838,4858,4936,4958,5273,5287,5418,5435,5453,5454,5458,5597,5613,5727,5752,5831,5838,5847,5855,5890,5906,6134,6144,6155,6165,6167,6199,6328,6349,6568,6585,6694,6717,6861,6882,7040
1	11006913	11045297	1	5	0.015094	932:U,956:U,976:U,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:U,2212:M,2383:M,2554:U,2856:M,3190:M,3238:M,3261:M,3372:M,3404:U,3746:M,3820:M,3827:M,4397:M,4432:U,4472:M,4622:U,4668:M,4732:M,4754:M,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:U,7344:M,7459:M,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:M,7831:M,7881:U,7900:U,7981:U,7993:U,8056:U,8113:M,8118:M,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:U,8221:U,8252:M,8255:M,8279:M,9404:U,9412:U,9424:U,9782:M,10221:M,10256:U,10296:M,10446:U,10525:M,10556:U,10667:M,11285:U,12313:M,12769:U,12813:M,12941:M,13189:U,13792:M,13805:M,14634:M,15019:U,16512:U,17092:M,17183:M,17415:M,17624:M,17728:M,17765:M,18962:M,19083:M,19186:U,19207:U,19474:M,19742:M,20384:U,20427:U,21144:U,21166:M,21841:M,23427:U,23441:U,23522:M,23556:U,23629:U,24478:U,24681:U,25926:M,25970:U,26538:U,27046:M,28757:U,28759:U,29607:U,29657:M,29667:M,29676:M,29712:U,29730:U,30626:M,31351:M,31365:M,31375:M,31885:U,31941:M,32244:U,33549:U,33600:U,33710:M,33728:M,33733:M,34522:U,35818:U,36471:U,37324:U,38301:U	0,146,153,166,173,176,316,328,329,356,377,392,398,404,426,439,457,467,490,520,536,589,596,607,615,618,620,627,641,652,703,725,740,833,837,843,846,853,865,874,896,899,906,915,918,1183,1209,1253,1254,1266,1277,1351,1358,1380,1381,1397,1404,1411,1422,1438,1446,1470,1478,1493,1498,1503,1509,1521,1524,1529,1551,1555,1561,1567,1575,1586,1588,1774,1795,1796,1851,1874,1936,1942,1956,1960,1972,1981,1989,2009,2011,2021,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2483,2486,2512,2531,2604,2606,2625,2757,2772,2826,2845,3075,3096,3176,3198,3211,3232,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3553,3569,3571,3603,3620,3651,3676,3763,3769,3780,3788,3895,3904,3924,3927,4040,4052,4314,4318,4338,4354,4362,4506,4518,4532,4545,4744,4751,4765,4766,4838,4858,4936,4958,5277,5287,5418,5426,5437,5453,5454,5458,5597,5613,5728,5752,5833,5840,5845,5855,5890,5906,6134,6145,6154,6165,6167,6199,6328,6349,6568,6585,6694,6717,6861,6882,7043
1	11006913	11045297	1	6	0.0117945	932:M,956:M,976:M,1703:M,1722:M,1734:M,1949:M,2029:U,2039:U,2106:U,2212:M,2383:M,2554:U,2856:M,3190:U,3238:M,3261:M,3372:M,3404:U,3746:M,3820:M,3827:M,4397:M,4432:M,4472:U,4622:M,4668:M,4732:M,4754:M,6335:U,6652:M,6660:M,6677:M,6728:M,7260:U,7282:M,7344:U,7459:M,7480:U,7531:M,7535:M,7544:M,7601:U,7670:M,7678:M,7691:M,7697:M,7794:M,7823:U,7831:U,7881:U,7900:U,7981:M,7993:M,8056:U,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:U,8188:U,8207:U,8213:U,8221:U,8252:M,8255:M,8279:M,9404:U,9412:U,9424:U,9782:M,10221:U,10256:M,10296:M,10446:M,10525:U,10556:M,10667:M,11285:U,12313:M,12769:U,12813:M,12941:U,13189:U,13792:M,13805:M,14634:U,15019:U,16512:U,17092:M,17183:U,17415:M,17624:M,17728:M,17765:M,18962:M,19083:M,19186:U,19207:U,19474:M,19742:M,20384:U,20427:M,21144:M,21166:M,21841:M,23427:M,23441:M,23522:M,23556:U,23629:U,24478:U,24681:U,25926:U,25970:M,26538:U,27046:M,28757:U,28759:U,29607:M,29657:U,29667:U,29676:U,29712:M,29730:M,30626:M,31351:M,31365:M,31375:M,31885:U,31941:M,32244:M,33549:M,33600:M,33710:M,33728:M,33733:M,34522:M,35818:M,36471:U,37324:M,38301:U	0,145,159,169,175,176,316,328,329,357,376,379,393,398,404,426,439,457,467,490,520,536,594,598,607,615,618,620,627,641,652,703,725,740,833,840,854,865,871,885,896,899,906,915,918,1183,1209,1249,1256,1265,1277,1351,1356,1382,1397,1399,1410,1416,1420,1432,1438,1446,1469,1490,1498,1507,1514,1524,1529,1533,1541,1561,1567,1575,1586,1588,1774,1795,1796,1851,1874,1937,1940,1954,1965,1972,1981,1988,2013,2020,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2474,2486,2512,2531,2604,2606,2625,2753,2772,2826,2845,3075,3096,3176,3195,3211,3232,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3553,3569,3571,3603,3620,3651,3676,3763,3771,3779,3788,3898,3903,3924,3927,4040,4052,4315,4317,4338,4354,4362,4506,4518,4532,4545,4742,4762,4766,4838,4858,4936,4958,5277,5287,5416,5425,5429,5436,5443,5450,5458,5597,5613,5728,5752,5833,5840,5845,5855,5889,5906,6135,6147,6155,6165,6167,6199,6329,6349,6570,6585,6694,6717,6862,6882,7043
1	11006913	11045297	1	7	0.00895886	932:M,956:U,976:U,1703:M,1722:M,1734:M,1949:U,2029:M,2039:M,2106:M,2212:U,2383:U,2554:U,2856:M,3190:U,3238:M,3261:M,3372:U,3404:U,3746:U,3820:U,3827:U,4397:U,4432:M,4472:M,4622:M,4668:U,4732:U,4754:U,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:U,7344:U,7459:U,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:U,7831:U,7881:M,7900:U,7981:M,7993:M,8056:M,8113:U,8118:U,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:M,8255:M,8279:U,9404:M,9412:M,9424:M,9782:M,10221:U,10256:M,10296:M,10446:M,10525:U,10556:U,10667:M,11285:U,12313:M,12769:U,12813:M,12941:M,13189:M,13792:M,13805:M,14634:M,15019:U,16512:U,17092:M,17183:M,17415:M,17624:M,17728:M,17765:U,18962:M,19083:M,19186:M,19207:U,19474:M,19742:M,20384:M,20427:M,21144:M,21166:U,21841:M,23427:U,23441:U,23522:U,23556:U,23629:U,24478:U,24681:U,25926:M,25970:U,26538:U,27046:M,28757:M,28759:M,29607:M,29657:U,29667:U,29676:U,29712:M,29730:U,30626:U,31351:M,31365:M,31375:M,31885:U,31941:U,32244:U,33549:M,33600:M,33710:M,33728:M,33733:M,34522:M,35818:M,36471:U,37324:U,38301:U	0,145,152,157,173,176,316,328,329,356,377,391,399,406,426,441,457,467,490,520,536,594,598,607,615,618,619,641,652,705,728,740,830,835,839,845,853,865,871,887,894,902,916,918,1183,1209,1253,1254,1266,1277,1351,1358,1378,1382,1397,1398,1401,1409,1411,1422,1438,1446,1470,1477,1488,1507,1514,1527,1530,1552,1554,1560,1564,1578,1584,1588,1772,1776,1796,1851,1874,1937,1940,1954,1965,1972,1981,1988,2012,2021,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2483,2486,2513,2531,2604,2606,2625,2757,2772,2826,2845,3075,3096,3176,3198,3211,3232,3249,3264,3288,3289,3295,3313,3319,3503,3525,3529,3552,3556,3569,3571,3603,3620,3651,3676,3762,3767,3779,3788,3898,3902,3925,3927,4040,4052,4314,4318,4336,4337,4354,4362,4506,4518,4532,4545,4744,4751,4765,4766,4838,4858,4936,4958,5273,5287,5416,5425,5429,5436,5454,5458,5596,5613,5728,5752,5833,5837,5847,5855,5890,5906,6135,6147,6155,6165,6167,6199,6329,6349,6570,6585,6694,6717,6861,6882,7043
1	11006913	11045297	1	8	0.00887531	932:U,956:M,976:M,1703:U,1722:U,1734:U,1949:M,2029:M,2039:M,2106:U,2212:M,2383:M,2554:U,2856:M,3190:U,3238:M,3261:U,3372:M,3404:U,3746:U,3820:U,3827:U,4397:M,4432:U,4472:U,4622:M,4668:M,4732:U,4754:M,6335:U,6652:U,6660:U,6677:U,6728:U,7260:M,7282:U,7344:M,7459:U,7480:M,7531:U,7535:U,7544:U,7601:U,7670:M,7678:M,7691:M,7697:M,7794:U,7823:M,7831:M,7881:M,7900:U,7981:U,7993:U,8056:U,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:M,8168:M,8171:M,8180:M,8188:M,8207:M,8213:M,8221:M,8252:U,8255:U,8279:U,9404:U,9412:U,9424:U,9782:U,10221:U,10256:M,10296:U,10446:M,10525:M,10556:U,10667:M,11285:U,12313:M,12769:U,12813:M,12941:M,13189:M,13792:M,13805:M,14634:M,15019:U,16512:U,17092:M,17183:M,17415:M,17624:M,17728:M,17765:M,18962:M,19083:M,19186:M,19207:U,19474:M,19742:M,20384:U,20427:U,21144:M,21166:M,21841:M,23427:U,23441:U,23522:U,23556:U,23629:U,24478:U,24681:U,25926:M,25970:U,26538:U,27046:M,28757:U,28759:U,29607:M,29657:U,29667:U,29676:U,29712:U,29730:U,30626:M,31351:M,31365:M,31375:M,31885:U,31941:M,32244:U,33549:M,33600:M,33710:M,33728:M,33733:M,34522:M,35818:M,36471:U,37324:M,38301:U	0,146,169,175,176,314,321,329,357,377,392,398,404,426,439,457,467,490,520,536,594,600,606,618,620,627,641,652,705,728,740,833,837,841,854,865,871,885,898,903,915,918,1183,1209,1253,1254,1266,1277,1350,1355,1380,1381,1397,1398,1401,1409,1411,1422,1438,1446,1470,1478,1486,1503,1509,1521,1524,1538,1556,1569,1573,1584,1588,1774,1795,1796,1853,1874,1937,1940,1957,1962,1971,1981,1988,2008,2011,2021,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2483,2486,2513,2531,2604,2606,2625,2757,2772,2826,2845,3075,3096,3176,3198,3211,3232,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3552,3556,3569,3571,3603,3620,3651,3676,3763,3769,3780,3788,3898,3903,3924,3927,4040,4052,4314,4318,4336,4337,4354,4362,4506,4518,4532,4545,4744,4751,4765,4766,4838,4858,4936,4958,5277,5287,5416,5425,5429,5435,5453,5454,5458,5597,5613,5728,5752,5833,5840,5845,5855,5890,5906,6135,6147,6155,6165,6167,6199,6329,6349,6570,6585,6694,6717,6862,6882,7043
1	11006913	11045297	1	9	0.00778182	932:M,956:U,976:M,1703:M,1722:M,1734:M,1949:U,2029:U,2039:U,2106:M,2212:U,2383:U,2554:U,2856:M,3190:M,3238:U,3261:M,3372:M,3404:U,3746:M,3820:U,3827:U,4397:M,4432:U,4472:M,4622:M,4668:U,4732:U,4754:M,6335:U,6652:U,6660:U,6677:U,6728:U,7260:U,7282:M,7344:M,7459:U,7480:M,7531:U,7535:U,7544:U,7601:U,7670:U,7678:U,7691:U,7697:U,7794:M,7823:U,7831:U,7881:M,7900:M,7981:U,7993:U,8056:U,8113:M,8118:M,8126:M,8129:M,8131:M,8136:M,8144:M,8151:M,8154:M,8165:M,8168:M,8171:M,8180:M,8188:M,8207:U,8213:U,8221:U,8252:U,8255:U,8279:M,9404:U,9412:U,9424:U,9782:U,10221:U,10256:M,10296:U,10446:U,10525:U,10556:M,10667:M,11285:U,12313:M,12769:U,12813:M,12941:M,13189:M,13792:M,13805:M,14634:M,15019:U,16512:U,17092:M,17183:M,17415:M,17624:M,17728:M,17765:M,18962:M,19083:M,19186:M,19207:U,19474:M,19742:M,20384:U,20427:M,21144:M,21166:M,21841:M,23427:U,23441:U,23522:U,23556:U,23629:U,24478:U,24681:U,25926:M,25970:M,26538:U,27046:U,28757:U,28759:U,29607:U,29657:M,29667:M,29676:M,29712:U,29730:U,30626:M,31351:M,31365:M,31375:M,31885:U,31941:M,32244:U,33549:M,33600:M,33710:M,33728:M,33733:M,34522:M,35818:M,36471:U,37324:M,38301:U	0,145,152,161,171,175,176,316,328,329,356,374,379,399,406,426,441,457,467,490,520,536,589,599,615,618,620,627,641,652,703,724,728,740,833,837,843,846,853,865,871,887,894,900,903,915,918,1183,1209,1253,1254,1266,1277,1351,1356,1379,1381,1397,1398,1401,1409,1411,1422,1439,1445,1466,1469,1488,1492,1496,1504,1509,1521,1524,1529,1533,1541,1543,1548,1570,1574,1576,1586,1588,1774,1795,1796,1853,1874,1937,1940,1957,1962,1971,1981,1989,2007,2013,2020,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2483,2486,2513,2531,2604,2606,2625,2757,2772,2826,2845,3075,3096,3176,3198,3211,3232,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3552,3556,3569,3571,3603,3620,3651,3676,3763,3771,3779,3788,3898,3903,3924,3927,4040,4052,4314,4318,4336,4337,4354,4362,4506,4518,4532,4545,4744,4752,4762,4766,4838,4858,4937,4958,5277,5287,5418,5426,5437,5453,5454,5458,5597,5613,5728,5752,5833,5840,5845,5855,5890,5906,6135,6147,6155,6165,6167,6199,6329,6349,6570,6585,6694,6717,6862,6882,7043
1	11006913	11045297	1	10	0.00646383	932:M,956:U,976:U,1703:U,1722:U,1734:M,1949:U,2029:U,2039:U,2106:U,2212:M,2383:U,2554:U,2856:M,3190:M,3238:M,3261:M,3372:U,3404:U,3746:M,3820:U,3827:U,4397:U,4432:M,4472:M,4622:M,4668:M,4732:M,4754:M,6335:M,6652:U,6660:U,6677:U,6728:U,7260:M,7282:M,7344:U,7459:U,7480:M,7531:U,7535:U,7544:U,7601:M,7670:M,7678:M,7691:M,7697:M,7794:U,7823:U,7831:U,7881:U,7900:U,7981:M,7993:M,8056:M,8113:U,8118:U,8126:U,8129:U,8131:U,8136:U,8144:U,8151:U,8154:U,8165:U,8168:U,8171:U,8180:U,8188:U,8207:U,8213:M,8221:M,8252:M,8255:M,8279:M,9404:M,9412:M,9424:U,9782:U,10221:U,10256:M,10296:U,10446:U,10525:M,10556:U,10667:M,11285:U,12313:M,12769:U,12813:M,12941:M,13189:M,13792:M,13805:M,14634:M,15019:U,16512:M,17092:M,17183:M,17415:M,17624:M,17728:M,17765:M,18962:M,19083:M,19186:M,19207:U,19474:M,19742:M,20384:M,20427:U,21144:M,21166:M,21841:M,23427:U,23441:U,23522:U,23556:U,23629:U,24478:U,24681:U,25926:M,25970:M,26538:U,27046:U,28757:U,28759:U,29607:U,29657:U,29667:U,29676:U,29712:U,29730:U,30626:M,31351:M,31365:M,31375:M,31885:U,31941:M,32244:U,33549:M,33600:M,33710:M,33728:M,33733:M,34522:M,35818:M,36471:U,37324:M,38301:U	0,145,152,157,173,176,314,328,329,356,374,379,393,398,404,426,441,457,467,490,520,536,589,596,607,615,618,619,641,652,703,724,728,740,830,835,839,845,853,865,871,885,896,899,906,915,918,1186,1209,1253,1254,1266,1277,1350,1357,1382,1397,1398,1401,1409,1411,1424,1435,1446,1470,1477,1487,1490,1498,1507,1514,1527,1530,1535,1538,1540,1544,1550,1572,1575,1586,1588,1772,1795,1796,1853,1874,1937,1940,1957,1962,1971,1981,1989,2009,2011,2021,2027,2028,2043,2148,2163,2350,2370,2454,2464,2470,2483,2486,2513,2531,2604,2606,2625,2757,2772,2826,2845,3076,3096,3176,3198,3211,3232,3249,3264,3288,3289,3298,3312,3319,3503,3525,3529,3552,3556,3569,3571,3603,3620,3651,3676,3762,3768,3780,3788,3898,3903,3924,3927,4040,4052,4314,4318,4336,4337,4354,4362,4506,4518,4532,4545,4744,4752,4762,4766,4838,4858,4937,4958,5277,5287,5418,5435,5453,5454,5458,5597,5613,5728,5752,5833,5840,5845,5855,5890,5906,6135,6147,6155,6165,6167,6199,6329,6349,6570,6585,6694,6717,6862,6882,7043
