pos	unmethyl	 methyl
757128	0.3	0.7
757131	0.5	0.5
757132	0.85	0.15
757133	0.5	0.5
757135	0.5	0.5
757136	0.5	0.5
757143	0	1
757145	0.35	0.65
757148	0.3	0.7
757152	0.65	0.35
757154	0.85	0.15
757156	0	1
757162	0.5	0.5
757163	0.85	0.15
757169	0.85	0.15
757170	0.85	0.15
757171	0.85	0.15
757178	0.35	0.65
757182	0.3	0.7
757183	0.5	0.5
757184	0.65	0.35
757185	0.5	0.5
757186	0.5	0.5
757187	0.85	0.15
757200	0.65	0.35
757204	0.15	0.85
757205	0.85	0.15
757211	0.3	0.7
757216	0.65	0.35
757221	0.5	0.5
757230	0.3	0.7
757231	0.15	0.85
757232	0.3	0.7
757233	0.15	0.85
757237	0.3	0.7
757240	0.5	0.5
757241	0.85	0.15
757251	0.65	0.35
757253	0.15	0.85
757256	0.5	0.5
757258	0.5	0.5
757264	0.85	0.15
757265	0.15	0.85
757266	0.15	0.85
757267	0.65	0.35
757268	0.65	0.35
757270	0.7	0.3
757271	0.35	0.65
757279	0.35	0.65
757280	0.35	0.65
757282	0.15	0.85
757283	0	1
757284	0	1
757286	0.5	0.5
757291	0.3	0.7
757292	0.15	0.85
757295	0.15	0.85
757297	0.5	0.5
757300	0.65	0.35
757309	0.65	0.35
757312	0.65	0.35
757316	0.3	0.7
757317	0.3	0.7
757328	0.35	0.65
757329	0.65	0.35
757331	0.15	0.85
757335	0	1
757344	0.65	0.35
757345	0.85	0.15
757346	0.35	0.65
