pos	unmethyl	 methyl
757123	0	0
757124	0	0
757127	0	0
757129	0	0
757134	1	0
757138	1	0
757157	1	7
757158	1	7
757162	1	7
757164	1	8
757166	1	8
757167	1	8
757168	1	9
757170	1	9
757176	1	9
757187	2	10
757197	3	11
757206	3	12
757214	3	14
757220	4	14
757223	5	14
757232	6	15
757233	6	15
757234	6	15
757237	6	15
757238	6	15
757252	16	8
757254	16	8
757256	16	8
757267	0	27
757269	0	27
757270	0	27
757279	0	29
757292	10	19
757293	10	20
757320	22	12
757328	23	12
757331	23	12
757333	22	12
757339	21	12
757342	21	13
757347	18	12
757352	17	12
757367	18	12
757386	12	18
757387	12	18
757424	0	32
757425	0	32
757431	0	31
757438	0	30
757441	0	29
757442	0	29
757447	0	27
757449	0	27
757468	24	0
757471	24	0
757493	14	7
757501	14	7
757518	17	0
757523	16	0
757525	16	0
757527	16	0
757529	16	0
757540	5	11
757556	4	9
757570	12	0
757572	11	0
757574	10	0
757575	10	0
757577	10	0
757578	10	0
757580	10	0
757589	9	0
757592	9	0
757600	8	0
757604	7	0
757610	6	0
757611	6	0
757644	0	0
757645	0	0
757649	0	0
757651	0	0
757653	0	0
757654	0	0
757655	0	0
757657	0	0
757663	0	0
757674	0	0
757684	0	0
757693	0	0
757701	0	0
757707	0	0
757710	0	0
757719	0	0
757720	0	0
757721	0	0
757724	0	0
757725	0	0
757739	0	0
757741	0	0
757743	0	0
757754	0	0
757756	0	0
757757	0	0
757766	0	0
757779	0	0
757780	0	0
757807	0	0
757815	0	0
757818	0	0
757820	0	0
757826	0	0
757829	0	0
757834	0	0
757839	0	0
757854	0	0
757873	0	0
757874	0	0
757911	0	0
757912	0	0
757918	0	0
757925	0	0
757928	0	0
757929	0	0
757934	0	0
757936	0	0
757955	0	0
757958	0	0
757980	0	0
757988	0	0
758005	0	0
758010	0	0
758012	0	0
758014	0	0
758016	0	0
758027	0	0
758043	0	0
758057	0	0
758059	0	0
758061	0	0
758062	0	0
758064	0	0
758065	0	0
758067	0	0
758076	0	0
758079	0	0
758087	0	0
758091	0	0
758097	0	0
758098	0	0
757621	0	0
757625	0	0
