chr	start	end	cid	pid	abundance	methylpat	regions
1	757143	757601	1	1	0.025641	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M,206:U,207:U,212:U,213:U,214:U,215:U,218:U,226:U,230:U,237:U,260:U,270:U,285:U,301:M,317:U,318:U,338:U,344:U,352:U,369:U,371:U,374:U,386:M,400:M,402:M,405:M,414:M,420:M,426:M	4,23,30,40,41,
1	757126	757601	1	2	0.015873	1:U,4:U,8:U,10:U,24:M,25:M,31:M,36:M,40:M,41:M,45:M,48:M,60:M,63:M,65:M,66:M,69:M,74:M,75:M,76:M,93:M,96:M,115:M,120:M,129:M,131:M,138:M,141:M,150:M,163:U,168:U,171:U,174:U,179:U,187:U,195:U,201:U,205:U,213:U,223:U,224:U,229:U,230:U,231:U,232:U,235:U,243:U,247:U,254:U,277:M,287:M,302:U,318:U,334:M,335:M,355:U,361:U	0,3,10,20,
1	757126	757601	1	3	0.015873	1:U,4:U,8:U,10:U,24:M,25:M,31:M,36:M,40:M,41:M,45:M,48:M,60:M,63:M,65:M,66:M,69:M,74:M,75:M,76:M,93:M,96:M,115:M,120:M,129:M,131:M,138:M,141:M,150:M,163:U,168:U,171:U,174:U,179:U,187:U,195:U,201:U,205:U,213:U,223:U,224:U,229:U,230:U,231:U,232:U,235:U,243:U,247:U,254:U,277:U,287:U,302:U,318:U,334:U,335:U,355:M,361:M,369:M,386:U,388:U,391:U,403:M,417:M,419:M,422:M,431:M,437:M,443:M	0,3,10,21,29,39,
1	757143	757601	1	4	0.0114942	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M,206:M,207:M,212:M,213:M,214:M,215:M,218:M,226:M,230:M,237:M,260:M,270:U,285:M,301:M,317:U,318:U,338:U,344:U,352:U,369:M	4,12,15,18,
1	757143	757601	1	5	0.0111438	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M,206:M,207:M,212:M,213:M,214:M,215:M,218:M,226:M,230:M,237:M,260:M,270:M,285:U,301:M,317:M,318:M,338:U,344:U,352:U,369:M,371:M,374:M,386:U,400:U,402:U,405:U,414:U,420:U	4,12,15,
1	757133	757601	1	6	0.0107527	1:M,3:M,17:M,18:M,24:M,29:M,33:M,34:M,38:M,41:M,53:M,56:M,58:M,59:M,62:M,67:M,68:M,69:M,86:U,89:U,108:U,113:U,122:U,124:U,131:U,134:U,143:U,156:U,161:U,164:U,167:U,172:U,180:U,188:U,194:U,198:U,206:U,216:U,217:U,222:U,223:U,224:U,225:U,228:U,236:U,240:U,247:U,270:U,280:M,295:U,311:U,327:U,328:U,348:U,354:U,362:U,379:U,381:U,384:U,396:U,410:U,412:U,415:U	2,19,
1	757127	757601	1	7	0.00877193	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U,200:U,204:U,212:U,222:U,223:U,228:U,229:U,230:U,231:U,234:U,242:U,246:U,253:U,276:U,286:M,301:M,317:M,333:U,334:U,354:M,360:M,368:M,385:U,387:U,390:U,402:U,416:U,418:U,421:U,430:U,436:U,442:U,470:U	1,5,8,28,34,
1	757127	757601	1	8	0.00672586	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U,200:U,204:U,212:U,222:U,223:U,228:U,229:U,230:U,231:U,234:U,242:U,246:U,253:U,276:M,286:M,301:U,317:U,333:M,334:M,354:U,360:U	1,5,8,20,
1	757143	757601	1	9	0.0062254	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M,206:U,207:U,212:U,213:U,214:U,215:U,218:U,226:U,230:U,237:U,260:U,270:U,285:U,301:M,317:U,318:U,338:U,344:U,352:U,369:U,371:U,374:U,386:U,400:M,402:M,405:M,414:M,420:M,426:M	4,23,30,40,43,
1	757147	757601	1	10	0.00531915	3:M,4:M,10:M,15:M,19:M,20:M,24:M,27:M,39:U,42:U,44:U,45:U,48:U,53:U,54:U,55:U,72:U,75:U,94:M,99:M,108:M,110:M,117:M,120:M,129:M,142:M,147:M,150:M,153:M,158:M,166:M,174:M,180:M,184:M,192:M,202:M,203:M,208:M,209:M,210:M,211:M,214:M,222:M,226:M,233:M,256:U,266:M,281:M,297:M,313:U,314:U,334:M,340:M,348:M,365:U,367:U,370:U,382:U,396:U,398:U,401:U,410:U,416:U,422:U,450:U	6,17,
1	757127	757601	1	11	0.00519226	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U,200:U,204:U,212:U,222:M,223:M,228:M,229:M,230:M,231:M,234:M,242:M,246:M,253:M,276:M,286:M,301:U,317:M,333:M,334:M,354:U,360:U,368:U,385:M,387:M,390:M,402:U,416:U,418:U,421:U,430:U,436:U	1,5,22,
1	757147	757601	1	12	0.00499181	3:M,4:M,10:M,15:M,19:M,20:M,24:M,27:M,39:U,42:U,44:U,45:U,48:U,53:U,54:U,55:U,72:U,75:U,94:M,99:M,108:M,110:M,117:M,120:M,129:M,142:M,147:M,150:M,153:M,158:M,166:M,174:M,180:M,184:M,192:M,202:U,203:U,208:U,209:U,210:U,211:U,214:U,222:U,226:U,233:U,256:U,266:U,281:U,297:M,313:U,314:U,334:U,340:U,348:U,365:U,367:U,370:U,382:U,396:M,398:M,401:M,410:M,416:M,422:M	6,30,40,43,
1	757133	757601	1	13	0.00466267	1:M,3:M,17:M,18:M,24:M,29:M,33:M,34:M,38:M,41:M,53:M,56:M,58:M,59:M,62:M,67:M,68:M,69:M,86:U,89:U,108:U,113:U,122:U,124:U,131:U,134:U,143:U,156:U,161:U,164:U,167:U,172:U,180:U,188:U,194:U,198:U,206:U,216:U,217:U,222:U,223:U,224:U,225:U,228:U,236:U,240:U,247:U,270:U,280:U,295:U,311:M,327:U,328:U,348:U,354:U,362:U,379:U,381:U,384:U,396:U,410:M,412:M,415:M,424:M,430:M,436:M	2,43,
1	757127	757601	1	14	0.00292546	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U,200:U,204:U,212:U,222:U,223:U,228:U,229:U,230:U,231:U,234:U,242:U,246:U,253:U,276:U,286:M,301:U,317:U,333:U,334:U,354:U,360:U,368:U,385:U,387:U,390:U,402:U,416:U,418:U,421:U	1,5,8,
1	757126	757601	1	15	0.00287226	1:U,4:U,8:U,10:U,24:M,25:M,31:M,36:M,40:M,41:M,45:M,48:M,60:M,63:M,65:M,66:M,69:M,74:M,75:M,76:M,93:M,96:M,115:M,120:M,129:M,131:M,138:M,141:M,150:M,163:U,168:U,171:U,174:U,179:U,187:U,195:U,201:U,205:U,213:U,223:M,224:M,229:M,230:M,231:M,232:M,235:M,243:M,247:M,254:M,277:M,287:M,302:U,318:M,334:M,335:M,355:U,361:U,369:U,386:M,388:M,391:M,403:U,417:U,419:U,422:U,431:U,437:U	0,3,22,
1	757127	757601	1	16	0.00278437	0:U,3:U,7:U,9:U,23:U,24:U,30:U,35:U,39:U,40:U,44:U,47:U,59:M,62:M,64:M,65:M,68:M,73:M,74:M,75:M,92:U,95:U,114:M,119:M,128:M,130:M,137:M,140:M,149:M,162:U,167:U,170:U,173:U,178:U,186:U,194:U,200:M,204:M,212:M,222:U,223:U,228:U,229:U,230:U,231:U,234:U,242:U,246:U,253:U,276:U,286:U,301:U,317:M,333:U,334:U,354:U,360:U,368:U,385:U,387:U,390:U,402:U,416:M,418:M,421:M,430:M,436:M,442:M	1,40,43,
1	757126	757601	1	17	0.00258967	1:U,4:U,8:U,10:U,24:M,25:M,31:M,36:M,40:M,41:M,45:M,48:M,60:M,63:M,65:M,66:M,69:M,74:M,75:M,76:M,93:M,96:M,115:M,120:M,129:M,131:M,138:M,141:M,150:M,163:U,168:U,171:U,174:U,179:U,187:U,195:U,201:M,205:M,213:M,223:U,224:U,229:U,230:U,231:U,232:U,235:U,243:U,247:U,254:U,277:U,287:U,302:U,318:M,334:U,335:U,355:U,361:U,369:U,386:U,388:U,391:U,403:U,417:M,419:M,422:M,431:M,437:M,443:M	0,40,43,
1	757143	757601	1	18	0.00209367	7:U,8:U,14:U,19:U,23:U,24:U,28:U,31:U,43:M,46:M,48:M,49:M,52:M,57:M,58:M,59:M,76:M,79:M,98:U,103:U,112:U,114:U,121:U,124:U,133:U,146:M,151:M,154:M,157:M,162:M,170:M,178:M,184:M,188:M,196:M,206:M,207:M,212:M,213:M,214:M,215:M,218:M,226:M,230:M,237:M,260:U,270:U,285:U,301:M,317:M,318:M	4,12,
