chr	start	end	cid	pid	abundance	methylpat	regions
1	11006929	11024379	1	1	0.0173959	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:U,2538:U,2840:U,3174:M,3222:U,3245:M,3356:M,3388:U,3730:M,3804:U,3811:U,4381:M,4416:U,4456:U,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:M,7443:U,7464:M,7515:M,7519:M,7528:M,7585:M,7654:M,7662:M,7675:M,7681:M,7778:U,7807:U,7815:U,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:M,8239:M,8263:U,9388:U,9396:U,9408:U,9766:M,10205:M,10240:U,10280:U,10430:U,10509:M,10540:M,10651:U,11269:U,12297:U,12753:U,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,76,80,95,101,112,118,140,143,149,153,163,169,180,186,197,292,298,305,312,329,331,351,408,425,428,433,441,458,478,515,532
1	11006929	11024379	1	2	0.00824512	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:M,2840:U,3174:M,3222:M,3245:M,3356:U,3388:M,3730:U,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:M,7443:U,7464:M,7515:M,7519:M,7528:M,7585:M,7654:M,7662:M,7675:M,7681:M,7778:U,7807:U,7815:U,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:M,8239:M,8263:U,9388:U,9396:U,9408:U,9766:M,10205:M,10240:U,10280:U,10430:U,10509:M,10540:U,10651:U,11269:U,12297:U,12753:U,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,85,96,101,114,117,120,142,154,163,170,186,197,292,298,305,312,329,331,351,408,435,441,458,478,515,532
1	11006929	11024379	1	3	0.00489854	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:U,2538:U,2840:U,3174:M,3222:U,3245:M,3356:M,3388:U,3730:U,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:U,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:U,7443:U,7464:U,7515:M,7519:M,7528:M,7585:M,7654:M,7662:M,7675:M,7681:M,7778:U,7807:U,7815:U,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:U,8239:U,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:M,10430:U,10509:M,10540:M,10651:U,11269:M,12297:U,12753:M,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,76,80,95,101,112,118,140,154,163,170,182,188,197,300,312,347,351,407,417,433,441,459,478,516,532
1	11006929	11024379	1	4	0.00329706	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:M,2840:U,3174:M,3222:U,3245:M,3356:M,3388:U,3730:M,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:U,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:M,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:U,7977:U,8040:U,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:U,8239:U,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:M,10430:U,10509:M,10540:U,10651:U,11269:M,12297:U,12753:M,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,85,96,101,112,118,140,143,149,153,163,170,182,188,197,292,308,318,347,351,407,417,424,435,441,459,478,516,532
1	11006929	11024379	1	5	0.00159074	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:U,2538:U,2840:U,3174:M,3222:M,3245:M,3356:U,3388:M,3730:M,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:M,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:M,8239:M,8263:U,9388:U,9396:U,9408:U,9766:M,10205:M,10240:U,10280:U,10430:U,10509:M,10540:U,10651:U,11269:U,12297:U,12753:U,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,76,80,95,101,114,117,120,153,163,170,186,197,292,308,331,351,408,435,441,458,478,515,532
1	11006929	11024379	1	6	0.00096142	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:M,2840:U,3174:M,3222:M,3245:M,3356:U,3388:M,3730:U,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:U,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:U,7443:U,7464:U,7515:M,7519:M,7528:M,7585:M,7654:M,7662:M,7675:M,7681:M,7778:U,7807:U,7815:U,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:M,8239:M,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:M,10430:U,10509:M,10540:M,10651:U,11269:U,12297:U,12753:U,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,85,96,101,114,117,120,142,154,163,170,182,188,197,300,312,329,331,351,407,417,433,441,458,478,515,532
1	11006929	11024379	1	7	0.000482244	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:U,2840:U,3174:M,3222:M,3245:M,3356:U,3388:U,3730:M,3804:U,3811:U,4381:M,4416:U,4456:U,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:U,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:U,7977:U,8040:U,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:U,8239:U,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:M,10430:U,10509:M,10540:M,10651:U,11269:U,12297:U,12753:M,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,95,101,114,117,149,153,163,169,180,186,197,300,304,308,318,347,351,407,417,433,441,458,478,516,532
1	11006929	11024379	1	8	0.00036678	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:U,2538:U,2840:U,3174:M,3222:U,3245:M,3356:U,3388:M,3730:U,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:U,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:U,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:U,7977:U,8040:U,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:U,8239:U,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:U,10430:U,10509:M,10540:M,10651:U,11269:M,12297:U,12753:M,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,76,80,95,101,112,142,154,163,170,182,188,197,300,304,308,318,347,351,407,428,433,441,459,478,516,532
1	11006929	11024379	1	9	0.000214721	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:U,2840:U,3174:M,3222:M,3245:M,3356:U,3388:M,3730:M,3804:U,3811:U,4381:M,4416:U,4456:U,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:M,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:M,7977:M,8040:M,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:M,8239:M,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:U,10430:U,10509:M,10540:M,10651:U,11269:M,12297:U,12753:U,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,95,101,114,117,120,153,163,169,180,186,197,292,308,331,351,407,428,433,441,459,478,515,532
1	11006929	11024379	1	10	8.22404e-05	916:M,940:M,960:M,1687:M,1706:M,1718:M,1933:M,2013:M,2023:M,2090:M,2196:U,2367:M,2538:U,2840:U,3174:M,3222:U,3245:M,3356:M,3388:U,3730:U,3804:U,3811:U,4381:U,4416:M,4456:M,4606:U,4652:M,4716:M,4738:M,6319:M,6636:U,6644:U,6661:U,6712:U,7244:U,7266:U,7328:U,7443:U,7464:U,7515:U,7519:U,7528:U,7585:U,7654:U,7662:U,7675:U,7681:U,7778:U,7807:M,7815:M,7865:U,7884:U,7965:U,7977:U,8040:U,8097:M,8102:M,8110:M,8113:M,8115:M,8120:M,8128:M,8135:M,8138:M,8149:M,8152:M,8155:M,8164:M,8172:M,8191:M,8197:M,8205:M,8236:U,8239:U,8263:U,9388:U,9396:U,9408:U,9766:M,10205:U,10240:U,10280:M,10430:U,10509:M,10540:U,10651:U,11269:M,12297:U,12753:M,12797:U,12925:U,13173:U,13776:M,13789:M,14618:M,15003:M,16496:U,17076:U,17167:M,17399:U	0,78,95,101,112,118,140,154,163,170,186,197,300,304,308,318,347,351,407,417,424,435,441,459,478,516,532
