pos	unmethyl	 methyl
757122	0	1
757123	0	1
757125	0	1
757126	0	1
757132	0	1
757133	0	1
757134	0	1
757135	0	1
757136	0	1
757138	0	1
757140	0	1
757142	0	1
757147	0	1
757153	0	1
757155	0	1
757157	0	1
757160	0	1
757165	0	1
757166	0	1
757170	0	1
757171	0	1
757172	0	1
757175	0	1
757176	0	1
757184	0	1
757188	0	1
757190	0	1
757191	0	1
757192	0	1
757195	0	1
757199	0	1
757201	0	1
757203	0	1
757205	0	1
757209	0	1
757210	0	1
757213	0	1
757215	0	1
757217	0	1
757219	0	1
757220	0	1
757221	0	1
757223	0	1
757224	0	1
757226	0	1
757227	0	1
757228	0	1
757231	0	1
757235	0	1
757237	0	1
757239	0	1
757240	0	1
757244	0	1
757248	0	1
757249	0	1
757250	0	1
757253	0	1
757254	0	1
757256	0	1
757257	0	1
757259	0	1
757260	0	1
757266	0	1
757267	0	1
757268	0	1
757269	0	1
757274	0	1
757277	0	1
757278	0	1
757279	0	1
757289	0	1
757291	0	1
757292	0	1
757293	0	1
757294	0	1
757295	0	1
757299	0	1
757307	0	1
757309	0	1
757316	0	1
757326	1	0
757327	1	0
757332	1	0
757335	1	0
757336	1	0
757338	1	0
757339	1	0
757341	1	0
757342	1	0
757343	1	0
757344	1	0
757349	1	0
