chr	pos	Cov	Meth
1	11007844	51	27
1	11007868	57	30
1	11007888	52	8
1	11008615	55	12
1	11008634	51	12
1	11008646	51	13
1	11008861	64	64
1	11008941	48	21
1	11008951	45	17
1	11009018	44	37
1	11009124	44	21
1	11009295	49	30
1	11009466	40	27
1	11009768	50	24
1	11010102	49	25
1	11010150	55	55
1	11010173	58	13
1	11010284	60	22
1	11010316	62	53
1	11010658	37	16
1	11010732	53	37
1	11010739	53	37
1	11011309	50	25
1	11011344	54	18
1	11011384	53	27
1	11011534	57	0
1	11011580	60	5
1	11011644	44	23
1	11011666	49	27
1	11013247	48	7
1	11013564	52	29
1	11013572	51	29
1	11013589	49	26
1	11013640	50	19
1	11014172	52	25
1	11014194	39	17
1	11014256	36	21
1	11014371	37	24
1	11014392	47	11
1	11014443	44	33
1	11014447	43	32
1	11014456	44	32
1	11014513	51	38
1	11014582	64	34
1	11014590	61	33
1	11014603	58	29
1	11014609	64	32
1	11014706	42	20
1	11014735	41	34
1	11014743	42	35
1	11014793	50	50
1	11014812	53	53
1	11014893	58	58
1	11014905	54	54
1	11014968	38	20
1	11015025	45	15
1	11015030	44	15
1	11015038	46	15
1	11015041	46	15
1	11015043	46	16
1	11015048	45	15
1	11015056	49	15
1	11015063	50	17
1	11015066	50	18
1	11015077	53	19
1	11015080	54	19
1	11015083	51	19
1	11015092	48	19
1	11015100	45	16
1	11015119	44	15
1	11015125	46	15
1	11015133	47	17
1	11015164	55	6
1	11015167	57	6
1	11015191	57	16
1	11016316	56	13
1	11016324	56	11
1	11016336	56	10
1	11016694	56	37
1	11017133	59	30
1	11017168	56	13
1	11017208	46	29
1	11017358	47	6
1	11017437	52	21
1	11017468	45	25
1	11017579	66	26
1	11018197	38	23
1	11019225	47	4
1	11019681	51	51
1	11019725	52	11
1	11019853	45	16
1	11020101	54	32
1	11020704	51	5
1	11020717	50	5
1	11021546	42	8
1	11021931	63	20
1	11023424	38	38
1	11024004	55	44
1	11024095	47	12
1	11024327	67	60
