pos	unmethyl	 methyl
757124	1	1
757130	4	2
757148	0	9
757155	1	9
757174	2	11
757179	2	11
757188	2	12
757200	11	4
757201	11	4
757202	11	4
757205	11	4
757206	11	4
757211	11	4
757214	12	4
757223	12	4
757224	12	4
757228	13	4
757229	13	4
757232	13	4
757239	14	5
757247	15	5
757248	15	5
757253	15	6
757259	15	6
757262	15	6
757270	15	7
757276	18	7
757282	18	8
757284	19	8
757289	19	8
757300	17	12
757310	17	14
757316	17	14
757318	17	14
757321	17	15
757323	16	15
757335	13	12
757343	12	12
757344	13	12
757349	13	12
757351	13	12
757358	13	13
757359	13	13
757377	12	14
757378	12	15
757384	11	16
757409	20	11
757412	19	11
757416	20	12
757425	21	14
757433	20	14
757436	20	13
757444	19	13
757445	19	13
757447	18	13
757449	18	13
757469	14	15
757480	5	20
757486	5	19
757495	5	17
757500	5	17
757504	4	16
757521	1	18
757532	18	1
757535	18	1
757538	18	1
757542	18	1
757544	17	1
757548	16	1
757550	16	1
757555	16	1
757565	9	6
757581	5	5
757586	5	5
757593	5	4
757594	5	4
757597	4	3
757605	4	1
757610	4	1
