chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757121	757282	1	0	184	154	155.429	14:U,16:U,39:U,58:U,65:U,67:U,69:U,75:U,102:M,104:M,106:M,120:U,122:U,133:M,143:M,147:M,150:M
1	757214	757327	1	77	65	67.4182	56.3125	9:M,11:M,13:M,27:U,29:U,40:M,50:M,54:M,57:M,69:U,71:U,84:M,91:M,95:M,100:M
1	757214	757325	1	78	28	29.3636	29.3636	9:M,11:M,13:M,27:U,29:U,40:M,50:M,54:M,57:M,69:M,71:M,84:M,91:M,95:M,100:M
1	757259	757333	1	137	10	10.9333	10.9333	5:M,9:M,12:M,24:U,26:U,39:M,46:M,50:M,55:M,69:M
1	757288	757397	1	176	16	21.1048	4.40171	10:M,17:M,21:M,26:M,40:U,47:U,51:U,56:U,63:U,69:U,71:U,72:U,73:U,86:U,91:U,93:U,94:U
1	757262	757332	1	141	2	2.13333	2.13333	2:M,6:M,9:M,21:M,23:M,36:M,43:M,47:M,52:M,66:U
1	757286	757356	1	173	4	4	4	12:M,19:M,23:M,28:M,42:M,49:M,53:M,58:M,65:M
1	757266	757338	1	145	8	6.64762	6.64762	2:M,5:M,17:U,19:U,32:M,39:M,43:M,48:M,62:M,69:M
1	757333	757402	1	227	2	2	0.441189	2:U,6:U,11:U,18:U,24:U,26:U,27:U,28:U,41:U,46:U,48:U,49:U,68:U,69:U
1	757266	757338	1	146	5	3.27619	3.27619	2:M,5:M,17:M,19:M,32:M,39:M,43:M,48:M,62:U,69:U
1	757329	757404	1	222	9	11	8.27656	6:M,10:M,15:M,22:M,28:M,30:M,31:M,32:M,45:U,50:U,52:U,53:U,72:U,73:U
1	757288	757358	1	175	4	3.71429	3.71429	10:M,17:M,21:M,26:M,40:M,47:M,51:M,56:M,63:M,69:M
1	757352	757426	1	248	8	6.90476	1.58006	5:U,7:U,8:U,9:U,22:U,27:U,29:U,30:U,49:U,50:U,54:U,57:U,59:U,61:U,70:U
1	757270	757343	1	153	8	8.66667	8.66667	1:M,13:U,15:U,28:M,35:M,39:M,44:M,58:M,65:M,69:M
1	757336	757406	1	230	2	1.6	1.10806	3:U,8:U,15:U,21:U,23:U,24:U,25:U,38:U,43:U,45:U,46:U,65:U,66:U,70:U
1	757270	757342	1	152	2	2.66667	2.66667	1:M,13:M,15:M,28:M,35:M,39:M,44:M,58:U,65:U,69:U
1	757336	757408	1	229	6	7.2	6.09768	3:M,8:M,15:M,21:M,23:M,24:M,25:M,38:U,43:U,45:U,46:U,65:U,66:U,70:U
1	757290	757397	1	179	51	56.1333	45.3495	8:M,15:M,19:M,24:M,38:M,45:M,49:M,54:M,61:M,67:M,69:M,70:M,71:M,84:U,89:U,91:U,92:U
1	757358	757430	1	256	2	2.33333	1.13272	1:U,2:U,3:U,16:U,21:U,23:U,24:U,43:U,44:U,48:U,51:U,53:U,55:U,64:U,70:U
1	757276	757349	1	160	9	6.66667	6.66667	7:U,9:U,22:M,29:M,33:M,38:M,52:M,59:M,63:M,68:M
1	757342	757413	1	237	2	2.13333	0.898984	2:U,9:U,15:U,17:U,18:U,19:U,32:U,37:U,39:U,40:U,59:U,60:U,64:U,67:U,69:U,71:U
1	757275	757350	1	159	8	8.66667	8.66667	8:M,10:M,23:M,30:M,34:M,39:M,53:U,60:U,64:U,69:U
