chr	pos	Cov	Meth
1	757133	16	4
1	757146	46	9
1	757156	67	0
1	757158	71	0
1	757162	80	0
1	757165	82	0
1	757176	106	49
1	757178	110	51
1	757191	128	128
1	757193	128	128
1	757209	137	18
1	757214	131	18
1	757217	130	21
1	757233	136	61
1	757235	140	64
1	757246	131	69
1	757254	128	64
1	757255	128	62
1	757258	136	67
1	757265	137	64
1	757276	143	109
1	757289	140	140
1	757290	141	141
1	757298	141	141
1	757302	137	137
1	757309	138	138
1	757317	141	141
1	757326	147	147
1	757327	147	147
1	757330	157	157
1	757334	155	155
1	757347	146	128
1	757351	145	127
1	757361	151	127
1	757364	151	127
1	757372	147	122
1	757374	147	120
1	757375	146	119
1	757376	148	121
1	757378	150	122
1	757388	157	131
1	757395	152	125
1	757396	149	124
1	757405	139	114
1	757442	144	144
1	757451	137	137
1	757467	139	120
1	757469	141	121
1	757472	141	123
1	757476	141	122
1	757477	139	122
1	757479	136	119
1	757481	139	121
1	757482	137	120
1	757484	134	117
1	757485	136	119
1	757487	135	118
1	757495	143	125
1	757498	143	125
1	757512	136	0
1	757529	130	77
1	757534	134	79
1	757535	133	80
1	757544	132	78
1	757545	134	78
1	757552	132	79
1	757554	131	79
1	757569	98	50
1	757571	97	50
1	757588	57	26
1	757589	54	24
1	757590	53	24
1	757600	38	21
1	757601	35	20
1	757602	34	19
1	757611	15	8
1	757612	13	8
