pos	unmethyl	 methyl
757124	0.85	0.15
757129	0.85	0.15
757133	0.85	0.15
757134	0.85	0.15
757137	0.85	0.15
757138	0.85	0.15
757142	0.85	0.15
757144	0.85	0.15
757148	0.85	0.15
757158	0.15	0.85
757161	0.15	0.85
757166	0.15	0.85
757170	0.15	0.85
757171	0.15	0.85
757181	0.5	0.5
757184	0.5	0.5
757187	0.5	0.5
757188	0.5	0.5
757189	0.5	0.5
757191	0.5	0.5
757194	0.5	0.5
757201	0.5	0.5
757208	0.5	0.5
757209	0.5	0.5
757212	0.5	0.5
757213	0.5	0.5
757216	0.5	0.5
757223	0.5	0.5
757226	0.5	0.5
757227	0.5	0.5
757228	0.5	0.5
757229	0.5	0.5
757231	0.5	0.5
757233	0.5	0.5
757234	0.5	0.5
757235	0.5	0.5
757241	0.5	0.5
757242	0.5	0.5
757243	0.5	0.5
757245	0.5	0.5
757246	0.5	0.5
757253	0.5	0.5
757256	0.5	0.5
757258	0.5	0.5
757263	0.5	0.5
757267	0.5	0.5
757276	0.5	0.5
757282	0.5	0.5
757285	0.5	0.5
757288	0.5	0.5
757289	0.5	0.5
757293	0.5	0.5
757299	0.5	0.5
757301	0.5	0.5
757302	0.5	0.5
757303	0.5	0.5
757308	0.5	0.5
757310	0.5	0.5
757312	0.5	0.5
757318	0.5	0.5
757320	0.5	0.5
757321	0.5	0.5
757329	0.5	0.5
757330	0.5	0.5
757331	0.5	0.5
757334	0.5	0.5
757336	0.5	0.5
757337	0.5	0.5
757339	0.5	0.5
757341	0.5	0.5
757349	0.5	0.5
757350	0.5	0.5
