chr	pos	Cov	Meth
1	11007844	14	14
1	11007868	13	6
1	11007888	17	9
1	11008615	18	12
1	11008634	22	13
1	11008646	26	14
1	11008861	19	4
1	11008941	22	10
1	11008951	22	10
1	11009018	21	19
1	11009124	28	0
1	11009295	16	7
1	11009466	22	0
1	11009768	21	1
1	11010102	24	17
1	11010150	23	13
1	11010173	20	10
1	11010284	21	3
1	11010316	24	5
1	11010658	14	12
1	11010732	10	10
1	11010739	9	9
1	11011309	21	5
1	11011344	22	5
1	11011384	22	10
1	11011534	19	4
1	11011580	18	12
1	11011644	25	18
1	11011666	25	6
1	11013247	16	7
1	11013564	20	11
1	11013572	18	10
1	11013589	18	12
1	11013640	20	9
1	11014172	14	9
1	11014194	14	0
1	11014256	12	8
1	11014371	23	7
1	11014392	17	11
1	11014443	16	0
1	11014447	18	0
1	11014456	18	0
1	11014513	21	13
1	11014582	19	0
1	11014590	18	0
1	11014603	18	0
1	11014609	18	0
1	11014706	22	13
1	11014735	26	15
1	11014743	28	16
1	11014793	19	16
1	11014812	20	18
1	11014893	21	11
1	11014905	19	8
1	11014968	26	26
1	11015025	31	0
1	11015030	32	0
1	11015038	28	0
1	11015041	27	0
1	11015043	29	0
1	11015048	29	0
1	11015056	26	0
1	11015063	25	0
1	11015066	26	0
1	11015077	23	0
1	11015080	22	0
1	11015083	21	0
1	11015092	24	0
1	11015100	24	0
1	11015119	26	0
1	11015125	27	0
1	11015133	28	0
1	11015164	27	11
1	11015167	26	11
1	11015191	28	8
1	11016316	18	9
1	11016324	16	8
1	11016336	17	10
1	11016694	28	0
1	11017133	15	9
1	11017168	16	0
1	11017208	16	9
1	11017358	26	19
1	11017437	20	14
1	11017468	14	7
1	11017579	14	4
1	11018197	16	16
1	11019225	18	7
1	11019681	11	2
1	11019725	14	12
1	11019853	17	5
1	11020101	23	20
1	11020704	23	16
1	11020717	25	17
1	11021546	11	7
1	11021931	18	17
1	11023424	30	12
1	11024004	34	34
1	11024095	18	11
1	11024327	17	12
1	11024536	20	13
1	11024640	19	4
1	11024677	19	2
1	11025874	15	15
1	11025995	19	5
1	11026098	21	16
1	11026119	22	14
1	11026386	22	12
1	11026654	21	8
1	11027296	19	2
1	11027339	19	4
1	11028056	13	10
1	11028078	11	7
1	11028753	23	17
1	11030339	17	13
1	11030353	19	13
1	11030434	18	3
1	11030468	20	14
1	11030541	26	13
1	11031390	12	12
1	11031593	14	0
1	11032838	19	6
1	11032882	24	8
1	11033450	18	18
1	11033958	22	8
1	11035669	12	8
1	11035671	14	8
1	11036519	28	20
1	11036569	23	23
1	11036579	23	23
1	11036588	20	20
1	11036624	18	15
1	11036642	21	18
1	11037538	15	5
1	11038263	25	7
1	11038277	26	9
1	11038287	22	10
1	11038797	21	21
1	11038853	20	16
1	11039156	14	9
1	11040461	26	24
1	11040512	23	11
1	11040622	21	0
1	11040640	22	0
1	11040645	22	0
1	11041434	16	4
1	11042730	27	6
1	11043383	20	19
1	11044236	16	2
1	11045213	28	28
