pos	unmethyl	 methyl
757123	0.196005	0.613914
757131	0.496596	0.503405
757135	0.317472	0.682528
757136	0.507553	0.492447
757144	0.400445	0.599555
757145	0.475873	0.524127
757151	0.41846	0.58154
757165	0.495214	0.504786
757173	0.596203	0.403797
757174	0.39846	0.60154
757175	0.585426	0.414574
757180	0.578596	0.421404
757181	0.498556	0.501444
757182	0.582549	0.417451
757183	0.405511	0.594489
757184	0.213479	0.786521
757185	0.408228	0.591772
757188	0.594888	0.405112
757191	0.529014	0.470986
757192	0.187432	0.812568
757194	0.569303	0.430697
757198	0.589874	0.410126
757202	0.70047	0.299531
757203	0.687837	0.312163
757204	0.714536	0.285464
757208	0.489041	0.510959
757215	0.560212	0.439788
757224	0.497791	0.502209
757225	0.767056	0.232944
757226	0.270582	0.729418
757227	0.624179	0.375821
757229	0.526849	0.473151
757230	0.627873	0.372127
757231	0.706963	0.293037
757233	0.558004	0.441996
757234	0.590077	0.409923
757238	0.844328	0.155672
757243	0.755256	0.244744
757244	0.701317	0.298683
757245	0.582863	0.417137
757247	0.576689	0.423312
757248	0.749344	0.250656
757249	0.63122	0.36878
757250	0.614402	0.385598
757255	0.236948	0.763052
757258	0.547218	0.452782
757260	0.460194	0.539806
757271	0.804283	0.195717
757278	0.200321	0.79968
757283	0.491881	0.50812
757285	0.676216	0.323784
757286	0.758727	0.241273
757288	0.561443	0.438557
757290	0.619935	0.380065
757292	0.446277	0.553723
757293	0.454213	0.545787
757294	0.537424	0.462576
757295	0.653642	0.346358
757298	0.791285	0.208715
757302	0.0832113	0.916789
757325	0.415623	0.584377
757329	0.437268	0.562732
757331	0.543166	0.456834
757332	0.646123	0.353877
757338	0.436991	0.563009
757342	0.33307	0.66693
757344	0.319608	0.583739
