chr	pos	Cov	Meth
1	11007844	28	17
1	11007868	23	13
1	11007888	25	15
1	11008615	25	13
1	11008634	22	13
1	11008646	22	12
1	11008861	20	12
1	11008941	16	4
1	11008951	15	9
1	11009018	19	15
1	11009124	22	10
1	11009295	21	12
1	11009466	16	10
1	11009768	13	7
1	11010102	24	9
1	11010150	20	13
1	11010173	22	7
1	11010284	22	13
1	11010316	19	11
1	11010658	25	14
1	11010732	17	7
1	11010739	15	8
1	11011309	18	11
1	11011344	12	5
1	11011384	11	6
1	11011534	18	12
1	11011580	15	7
1	11011644	12	9
1	11011666	13	8
1	11013247	18	9
1	11013564	25	11
1	11013572	24	10
1	11013589	24	13
1	11013640	14	7
1	11014172	22	13
1	11014194	21	13
1	11014256	20	6
1	11014371	22	12
1	11014392	19	10
1	11014443	25	9
1	11014447	25	13
1	11014456	25	14
1	11014513	27	15
1	11014582	25	13
1	11014590	24	15
1	11014603	21	12
1	11014609	23	14
1	11014706	23	11
1	11014735	13	9
1	11014743	12	6
1	11014793	19	10
1	11014812	21	12
1	11014893	19	12
1	11014905	18	9
1	11014968	20	7
1	11015025	28	16
1	11015030	29	11
1	11015038	30	14
1	11015041	30	16
1	11015043	31	21
1	11015048	31	17
1	11015056	33	12
1	11015063	36	13
1	11015066	37	17
1	11015077	31	9
1	11015080	31	20
1	11015083	33	21
1	11015092	31	14
1	11015100	26	18
1	11015119	27	18
1	11015125	28	13
1	11015133	27	16
1	11015164	24	12
1	11015167	23	13
1	11015191	26	10
1	11016316	15	7
1	11016324	16	9
1	11016336	11	6
1	11016694	15	5
1	11017133	21	11
1	11017168	18	11
1	11017208	22	9
1	11017358	19	7
1	11017437	23	10
1	11017468	28	19
1	11017579	12	7
1	11018197	25	14
1	11019225	20	10
1	11019681	18	12
1	11019725	16	9
1	11019853	24	8
1	11020101	18	8
1	11020704	16	6
1	11020717	18	8
1	11021546	27	9
1	11021931	21	11
1	11023424	14	8
1	11024004	22	12
1	11024095	19	9
1	11024327	19	6
