chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	11006910	11007842	1	0	450	333	330.14	*
1	11007746	11007865	1	333	7	7	7	99:M
1	11007773	11007886	1	341	6	4.33333	4.33333	72:U,96:M
1	11007773	11007965	1	340	27	23.0667	23.0667	72:M,96:U,116:U
1	11007847	11007960	1	381	4	3.66667	2.50842	22:M,42:U
1	11007852	11007988	1	385	3	2.66667	2.15539	17:M,37:M
1	11007794	11007944	1	353	13	12.3333	5.11904	51:U,75:M,95:U
1	11007816	11007941	1	362	5	3.13333	1.9298	29:U,53:M,73:M
1	11007872	11007985	1	393	8	6	6	17:U
1	11007890	11008614	1	400	347	266	245.094	*
1	11008517	11008632	1	666	9	5.66667	5.97164	99:U
1	11008524	11008627	1	669	2	1.66667	1.66667	92:M
1	11008536	11008645	1	674	6	4.66667	4.66667	80:U,99:U
1	11008628	11008733	1	716	2	2	0.95202	7:M,19:M
1	11008546	11008645	1	678	1	0.666667	0.666667	70:M,89:M
1	11008621	11008734	1	712	5	5	4.57008	14:U,26:U
1	11008548	11008713	1	680	28	24.3333	22.241	68:U,87:U,99:U
1	11008641	11008745	1	722	2	1.66667	0.58	6:M
1	11008636	11008746	1	719	5	4.66667	3.68637	11:U
1	11008552	11008693	1	682	9	6.33333	5.56566	64:M,83:M,95:M
1	11008648	11008941	1	726	103	81	78.4524	214:M
1	11008845	11008951	1	807	4	3	3	17:M,97:M
1	11008852	11009016	1	810	22	16.5	16.5	10:M,90:U,100:U
1	11008853	11009016	1	811	12	10	10	9:M,89:M,99:M
1	11008943	11009042	1	848	1	1	1.16371	9:U,76:U
1	11008945	11009044	1	849	1	1	1.68133	7:U,74:M
1	11008922	11009027	1	839	3	2.66667	0.814596	20:U,30:U,97:U
1	11008924	11009026	1	841	2	2	4.02053	18:U,28:U,95:M
1	11008922	11009040	1	840	5	3.66667	4.21341	20:M,30:M,97:M
1	11008973	11009100	1	859	3	2.06667	2.06667	46:U
1	11008953	11009116	1	850	29	25.4667	23.1875	66:M
1	11009020	11009123	1	879	5	4	4.35081	*
1	11009026	11009221	1	883	21	16.6667	16.6667	99:M
1	11009035	11009223	1	887	23	20.6667	20.3283	90:U
1	11009126	11009288	1	923	26	22	28.9914	*
1	11009200	11009383	1	945	30	26.2667	26.2667	96:M
1	11009201	11009390	1	946	19	17.4667	12.6114	95:U
1	11009300	11009462	1	991	33	26	28.8829	*
1	11009372	11009560	1	1017	13	12	12	95:U
1	11009375	11009563	1	1018	27	20	25.0362	92:M
1	11009469	11009768	1	1051	93	77	79.9223	*
1	11009673	11009865	1	1128	24	20.8	20.8	96:M
1	11009675	11009860	1	1129	26	20.4	16.684	94:U
1	11009770	11010100	1	1172	133	95	91.8864	*
1	11010004	11010170	1	1267	15	13.6667	13.6667	99:U,147:M
1	11010007	11010172	1	1270	17	14.6667	14.6667	96:M,144:M
1	11010075	11010194	1	1296	9	5	5	28:U,76:M,99:U
1	11010113	11010266	1	1313	10	9.16667	5.41474	38:M,61:M
1	11010076	11010198	1	1298	5	3.5	3.79677	27:M,75:M,98:U
1	11010084	11010198	1	1301	3	2	2	19:M,67:M,90:M
1	11010104	11010272	1	1309	31	23.6667	23.101	47:M,70:U
1	11010179	11010284	1	1343	3	3	3.68871	*
1	11010186	11010309	1	1346	6	5.66667	6.5993	99:U
1	11010191	11010314	1	1348	9	7.66667	7.66667	94:M
1	11010219	11010381	1	1360	26	18.5	12.1191	66:U,98:M
1	11010222	11010381	1	1361	6	5.16667	1.38291	63:U,95:U
1	11010231	11010381	1	1366	13	10.8333	10.5417	54:M,86:M
1	11010301	11010416	1	1407	3	2.66667	0.332599	16:U
1	11010286	11010414	1	1398	14	12.6667	12.6667	31:M
1	11010320	11010658	1	1414	121	98	94.6375	*
1	11010561	11010732	1	1512	11	7.66667	14.7619	98:M
1	11010564	11010725	1	1513	16	12.6667	16.9605	95:U
1	11010637	11010746	1	1533	2	1.66667	1.66667	22:M,96:U,103:U
1	11010647	11010758	1	1535	3	1.66667	1.66667	12:M,86:M,93:M
1	11010641	11010752	1	1534	4	3	3	18:U,92:M,99:M
1	11010652	11010751	1	1538	1	1	0.799276	7:U,81:U,88:U
1	11010665	11010838	1	1542	14	10.9	9.55952	68:U,75:U
1	11010661	11010829	1	1541	30	23.8	22.331	72:M,79:M
1	11010744	11011309	1	1579	258	194	183.95	*
1	11011214	11011339	1	1773	6	4.66667	6.18386	96:M
