chr	start	end	cid	pid	abundance	methylpat	regions
1	757125	757621	1	1	0.051282	5:U,23:M,30:M,49:M,54:M,63:M,75:M,76:M,77:M,80:M,81:M,86:M,89:M,98:M,99:M,103:M,104:M,107:M,114:M,122:M,123:M,128:M,134:M,137:M,145:M,151:M,157:M,159:M,164:M,175:M,185:M,191:M,193:M,196:M,198:M,210:M,218:M,219:M,224:M,226:M,233:M,234:M,252:M,253:M,259:M,284:M,287:M,291:M,300:M,308:M,311:M,319:M,320:M,322:M,324:M,344:U,355:M,361:M,370:M,375:M,379:M,396:M,407:U,410:U,413:U,417:U,419:U,423:U,425:U,430:U,440:U,456:U,461:U,468:U,469:U,472:U,480:U,485:U	2,8,17,35,
1	757124	757621	1	2	0.0197317	0:U,6:U,24:M,31:M,50:M,55:M,64:M,76:U,77:U,78:U,81:U,82:U,87:U,90:U,99:U,100:U,104:U,105:U,108:U,115:U,123:U,124:U,129:U,135:U,138:U,146:U,152:U,158:U,160:U,165:U,176:U,186:U,192:U,194:U,197:U,199:U,211:U,219:U,220:U,225:U,227:U,234:U,235:U,253:U,254:U,260:U,285:U,288:U,292:U,301:U,309:U,312:U,320:U,321:U,323:U,325:U,345:M,356:M,362:M,371:M,376:M,380:M,397:M,408:U,411:U,414:U,418:U,420:U,424:U,426:U,431:U,441:M,457:M,462:M,469:M,470:M,473:M,481:M,486:M	1,7,14,26,33,
1	757124	757621	1	3	0.0195463	0:U,6:U,24:M,31:M,50:M,55:M,64:M,76:U,77:U,78:U,81:U,82:U,87:U,90:U,99:U,100:U,104:U,105:U,108:U,115:U,123:U,124:U,129:U,135:U,138:U,146:U,152:U,158:U,160:U,165:U,176:U,186:U,192:U,194:U,197:U,199:U,211:M,219:M,220:M,225:M,227:M,234:M,235:M,253:M,254:M,260:M,285:U,288:U,292:U,301:U,309:U,312:U,320:U,321:U,323:U,325:U,345:U,356:U,362:U,371:U,376:U,380:U,397:U,408:M,411:M,414:M,418:M,420:M,424:M,426:M,431:M	1,16,22,
1	757152	757621	1	4	0.0128309	3:U,22:M,27:M,36:M,48:U,49:U,50:U,53:U,54:U,59:U,62:U,71:U,72:U,76:U,77:U,80:U,87:U,95:U,96:U,101:U,107:U,110:U,118:U,124:U,130:U,132:U,137:U,148:M,158:M,164:M,166:M,169:M,171:M,183:U,191:U,192:U,197:U,199:U,206:U,207:U,225:U,226:U,232:U,257:U,260:U,264:U,273:U,281:U,284:U,292:U,293:U,295:U,297:U,317:M,328:U,334:U,343:U,348:U,352:U,369:M,380:U,383:U,386:U,390:U,392:U,396:U,398:U,403:U,413:U,429:U,434:U,441:U,442:U,445:U,453:U,458:U	9,13,18,29,31,
1	757123	757621	1	5	0.00766551	1:M,7:M,25:M,32:M,51:U,56:U,65:U,77:U,78:U,79:U,82:U,83:U,88:U,91:U,100:U,101:U,105:U,106:U,109:U,116:U,124:U,125:U,130:U,136:U,139:U,147:U,153:U,159:U,161:U,166:U,177:U,187:U,193:U,195:U,198:U,200:U,212:U,220:U,221:U,226:U,228:U,235:U,236:U,254:U,255:U,261:U,286:U,289:U,293:U,302:U,310:U,313:U,321:U,322:U,324:U,326:U,346:M,357:M,363:M,372:M,377:M,381:M,398:M,409:U,412:U,415:U,419:U,421:U,425:U,427:U,432:U,442:M,458:M,463:M,470:M,471:M,474:M,482:M,487:M	0,14,26,33,
1	757123	757621	1	6	0.00557595	1:M,7:M,25:M,32:M,51:U,56:U,65:U,77:U,78:U,79:U,82:U,83:U,88:U,91:U,100:U,101:U,105:U,106:U,109:U,116:U,124:U,125:U,130:U,136:U,139:U,147:U,153:U,159:U,161:U,166:U,177:U,187:U,193:U,195:U,198:U,200:U,212:M,220:M,221:M,226:M,228:M,235:M,236:M,254:M,255:M,261:M,286:U,289:U,293:U,302:U,310:U,313:U,321:U,322:U,324:U,326:U,346:M,357:U,363:U,372:U,377:U,381:U,398:M,409:U,412:U,415:U,419:U,421:U,425:U,427:U,432:U,442:U,458:U,463:U,470:U,471:U,474:U,482:U,487:U	0,16,
1	757152	757621	1	7	0.00555783	3:U,22:M,27:M,36:M,48:U,49:U,50:U,53:U,54:U,59:U,62:U,71:U,72:U,76:U,77:U,80:U,87:U,95:U,96:U,101:U,107:U,110:U,118:U,124:U,130:U,132:U,137:U,148:M,158:M,164:M,166:M,169:M,171:M,183:U,191:U,192:U,197:U,199:U,206:U,207:U,225:M,226:M,232:M,257:M,260:M,264:M,273:M,281:M,284:M,292:M,293:M,295:M,297:M,317:U,328:M,334:M,343:M,348:M,352:M,369:M,380:U,383:U,386:U,390:U,392:U,396:U,398:U,403:U,413:U,429:U,434:U,441:U,442:U,445:U,453:U,458:U	9,35,
1	757123	757621	1	8	0.00370952	1:M,7:M,25:M,32:M,51:U,56:U,65:U,77:U,78:U,79:U,82:U,83:U,88:U,91:U,100:U,101:U,105:U,106:U,109:U,116:U,124:U,125:U,130:U,136:U,139:U,147:U,153:U,159:U,161:U,166:U,177:U,187:U,193:U,195:U,198:U,200:U,212:M,220:M,221:M,226:M,228:M,235:M,236:M,254:M,255:M,261:M,286:U,289:U,293:U,302:U,310:U,313:U,321:U,322:U,324:U,326:U,346:U,357:U,363:U,372:U,377:U,381:U,398:U,409:M,412:M,415:M,419:M,421:M,425:M,427:M,432:M	0,16,22,
1	757125	757621	1	9	0.00304216	5:U,23:M,30:M,49:M,54:M,63:M,75:M,76:M,77:M,80:M,81:M,86:M,89:M,98:M,99:M,103:M,104:M,107:M,114:M,122:M,123:M,128:M,134:M,137:M,145:M,151:M,157:M,159:M,164:M,175:M,185:M,191:M,193:M,196:M,198:M,210:U,218:U,219:U,224:U,226:U,233:U,234:U,252:U,253:U,259:U,284:U,287:U,291:U,300:U,308:U,311:U,319:U,320:U,322:U,324:U,344:M,355:U,361:U,370:U,375:U,379:U,396:M,407:U,410:U,413:U,417:U,419:U,423:U,425:U,430:U,440:U,456:U,461:U,468:U,469:U,472:U,480:U,485:U	2,29,31,
1	757123	757621	1	10	0.00293542	1:M,7:M,25:M,32:M,51:U,56:U,65:U,77:U,78:U,79:U,82:U,83:U,88:U,91:U,100:U,101:U,105:U,106:U,109:U,116:U,124:U,125:U,130:U,136:U,139:U,147:U,153:U,159:U,161:U,166:U,177:U,187:U,193:U,195:U,198:U,200:U,212:U,220:U,221:U,226:U,228:U,235:U,236:U,254:U,255:U,261:U,286:U,289:U,293:U,302:U,310:U,313:U,321:U,322:U,324:U,326:U,346:M,357:U,363:U,372:U,377:U,381:U,398:M,409:U,412:U,415:U,419:U,421:U,425:U,427:U,432:U,442:U,458:U,463:U,470:U,471:U,474:U,482:U,487:U	0,14,31,
1	757124	757621	1	11	0.00290902	0:U,6:U,24:M,31:M,50:M,55:M,64:M,76:U,77:U,78:U,81:U,82:U,87:U,90:U,99:U,100:U,104:U,105:U,108:U,115:U,123:U,124:U,129:U,135:U,138:U,146:U,152:U,158:U,160:U,165:U,176:U,186:U,192:U,194:U,197:U,199:U,211:U,219:U,220:U,225:U,227:U,234:U,235:U,253:M,254:M,260:M,285:M,288:M,292:M,301:M,309:M,312:M,320:M,321:M,323:M,325:M,345:U,356:M,362:M,371:M,376:M,380:M,397:M,408:U,411:U,414:U,418:U,420:U,424:U,426:U,431:U,441:U,457:U,462:U,469:U,470:U,473:U,481:U,486:U	1,7,35,
1	757152	757621	1	12	0.00139491	3:U,22:M,27:M,36:M,48:U,49:U,50:U,53:U,54:U,59:U,62:U,71:U,72:U,76:U,77:U,80:U,87:U,95:U,96:U,101:U,107:U,110:U,118:U,124:U,130:U,132:U,137:U,148:M,158:M,164:M,166:M,169:M,171:M,183:U,191:U,192:U,197:U,199:U,206:U,207:U,225:U,226:U,232:U,257:U,260:U,264:U,273:U,281:U,284:U,292:U,293:U,295:U,297:U,317:M,328:M,334:M,343:M,348:M,352:M,369:M,380:U,383:U,386:U,390:U,392:U,396:U,398:U,403:U,413:M,429:M,434:M,441:M,442:M,445:M,453:M,458:M	9,13,18,33,
1	757152	757621	1	13	0.00117075	3:U,22:M,27:M,36:M,48:U,49:U,50:U,53:U,54:U,59:U,62:U,71:U,72:U,76:U,77:U,80:U,87:U,95:U,96:U,101:U,107:U,110:U,118:U,124:U,130:U,132:U,137:U,148:M,158:M,164:M,166:M,169:M,171:M,183:U,191:U,192:U,197:U,199:U,206:U,207:U,225:U,226:U,232:M,257:M,260:M,264:M,273:M,281:M,284:M,292:M,293:M,295:M,297:M,317:U,328:M,334:M,343:M,348:M,352:M,369:M,380:U,383:U,386:U,390:U,392:U,396:U,398:U,403:U,413:U,429:U,434:U,441:U,442:U,445:U,453:U,458:U	9,13,
