pos	unmethyl	 methyl
757121	0.6	0.4
757124	0.6	0.4
757127	0.6	0.4
757131	0.6	0.4
757136	0.6	0.4
757139	0.6	0.4
757140	0.6	0.4
757143	0.6	0.4
757152	0.6	0.4
757160	0.6	0.4
757161	0.6	0.4
757169	0.6	0.4
757171	0.6	0.4
757173	0.6	0.4
757176	0.6	0.4
757177	0.6	0.4
757179	0.6	0.4
757182	0.6	0.4
757186	0.6	0.4
757187	0.6	0.4
757191	0.6	0.4
757194	0.6	0.4
757200	0.6	0.4
757202	0.6	0.4
757204	0.6	0.4
757205	0.6	0.4
757208	0.6	0.4
757214	0.6	0.4
757215	0.6	0.4
757218	0.6	0.4
757223	0.6	0.4
757226	0.6	0.4
757227	0.6	0.4
757231	0.6	0.4
757232	0.6	0.4
757233	0.6	0.4
757235	0.6	0.4
757237	0.6	0.4
757238	0.6	0.4
757240	0.6	0.4
757243	0.6	0.4
757255	0.3	0.7
757257	0.3	0.7
757259	0.3	0.7
757260	0.3	0.7
757272	0.4	0.6
757278	0.4	0.6
757279	0.4	0.6
757283	0.4	0.6
757284	0.4	0.6
757285	0.4	0.6
757288	0.4	0.6
757289	0.4	0.6
757302	0.5	0.5
757303	0.5	0.5
757309	0.5	0.5
757312	0.5	0.5
757322	0.6	0.4
757323	0.6	0.4
757330	0.6	0.4
757336	0.6	0.4
757339	0.6	0.4
757342	0.6	0.4
757343	0.6	0.4
757348	0.6	0.4
