pos	unmethyl	 methyl
757121	0.4	0.6
757126	0.4	0.6
757127	0.4	0.6
757134	0.5	0.5
757135	0.5	0.5
757136	0.5	0.5
757137	0.5	0.5
757138	0.5	0.5
757149	0.5	0.5
757152	0.5	0.5
757154	0.5	0.5
757162	0.5	0.5
757165	0.5	0.5
757166	0.5	0.5
757169	0.5	0.5
757170	0.5	0.5
757173	0.5	0.5
757176	0.5	0.5
757177	0.5	0.5
757181	0.5	0.5
757182	0.5	0.5
757183	0.5	0.5
757185	0.5	0.5
757188	0.5	0.5
757189	0.5	0.5
757192	0.5	0.5
757195	0.5	0.5
757196	0.5	0.5
757197	0.5	0.5
757200	0.5	0.5
757201	0.5	0.5
757202	0.5	0.5
757203	0.5	0.5
757204	0.5	0.5
757209	0.5	0.5
757210	0.5	0.5
757213	0.5	0.5
757215	0.5	0.5
757216	0.5	0.5
757217	0.5	0.5
757218	0.5	0.5
757219	0.5	0.5
757220	0.5	0.5
757221	0.5	0.5
757222	0.5	0.5
757232	0.4	0.6
757235	0.4	0.6
757236	0.4	0.6
757237	0.4	0.6
757239	0.4	0.6
757241	0.4	0.6
757243	0.4	0.6
757245	0.4	0.6
757249	0.4	0.6
757250	0.4	0.6
757253	0.4	0.6
757255	0.4	0.6
757257	0.4	0.6
757259	0.4	0.6
757260	0.4	0.6
757262	0.4	0.6
757263	0.4	0.6
757266	0.4	0.6
757267	0.4	0.6
757269	0.4	0.6
757276	0.5	0.5
757278	0.5	0.5
757279	0.5	0.5
757281	0.5	0.5
757283	0.5	0.5
757284	0.5	0.5
757287	0.5	0.5
757288	0.5	0.5
757292	0.5	0.5
757294	0.5	0.5
757297	0.5	0.5
757298	0.5	0.5
757299	0.5	0.5
757300	0.5	0.5
757302	0.5	0.5
757303	0.5	0.5
757305	0.5	0.5
757312	0.6	0.4
757313	0.6	0.4
757315	0.6	0.4
757317	0.6	0.4
757319	0.6	0.4
757321	0.6	0.4
757323	0.6	0.4
757332	0.6	0.4
757333	0.6	0.4
757337	0.6	0.4
757338	0.6	0.4
757340	0.6	0.4
757343	0.6	0.4
757344	0.6	0.4
757346	0.6	0.4
757349	0.6	0.4
