pos	unmethyl	 methyl
11007845	11	17
11007869	10	13
11007889	10	15
11008616	12	13
11008635	9	13
11008647	10	12
11008862	8	12
11008942	12	4
11008952	6	9
11009019	4	15
11009125	12	10
11009296	9	12
11009467	6	10
11009769	6	7
11010103	15	9
11010151	7	13
11010174	15	7
11010285	9	13
11010317	8	11
11010659	11	14
11010733	10	7
11010740	7	8
11011310	7	11
11011345	7	5
11011385	5	6
11011535	6	12
11011581	8	7
11011645	3	9
11011667	5	8
11013248	9	9
11013565	14	11
11013573	14	10
11013590	11	13
11013641	7	7
11014173	9	13
11014195	8	13
11014257	14	6
11014372	10	12
11014393	9	10
11014444	16	9
11014448	12	13
11014457	11	14
11014514	12	15
11014583	12	13
11014591	9	15
11014604	9	12
11014610	9	14
11014707	12	11
11014736	4	9
11014744	6	6
11014794	9	10
11014813	9	12
11014894	7	12
11014906	9	9
11014969	13	7
11015026	12	16
11015031	18	11
11015039	16	14
11015042	14	16
11015044	10	21
11015049	14	17
11015057	21	12
11015064	23	13
11015067	20	17
11015078	22	9
11015081	11	20
11015084	12	21
11015093	17	14
11015101	8	18
11015120	9	18
11015126	15	13
11015134	11	16
11015165	12	12
11015168	10	13
11015192	16	10
11016317	8	7
11016325	7	9
11016337	5	6
11016695	10	5
11017134	10	11
11017169	7	11
11017209	13	9
11017359	12	7
11017438	13	10
11017469	9	19
11017580	5	7
11018198	11	14
11019226	10	10
11019682	6	12
11019726	7	9
11019854	16	8
11020102	10	8
11020705	10	6
11020718	10	8
11021547	18	9
11021932	10	11
11023425	6	8
11024005	10	12
11024096	10	9
11024328	14	6
