pos	unmethyl	 methyl
11007845	0.790582	0.209418
11007869	0.518811	0.481189
11007889	0.498002	0.501998
11008616	0.479316	0.520683
11008635	0.479316	0.520683
11008647	0.479316	0.520683
11008862	0.333069	0.666931
11008942	0.327693	0.672307
11008952	0.327693	0.672307
11009019	0.688491	0.311509
11009125	0.518945	0.481055
11009296	0.175309	0.82469
11009467	0.762659	0.23734
11009769	0.0935296	0.90647
11010103	0.199848	0.800152
11010151	0.333044	0.666956
11010174	0	1
11010285	0.735265	0.264735
11010317	0.165878	0.834121
11010659	0.780788	0.219211
11010733	0.041679	0.958321
11010740	0.041679	0.958321
11011310	1	0
11011345	0.0943053	0.905694
11011385	0.164926	0.835074
11011535	0	1
11011581	1	0
11011645	0.396151	0.603849
11011667	0.155718	0.844282
11013248	0.469855	0.530145
11013565	0.141243	0.858757
11013573	0.141243	0.858757
11013590	0.141243	0.858757
11013641	0.427605	0.572395
11014173	0.690588	0.309411
11014195	0.300448	0.699552
11014257	0.427605	0.572394
11014372	0.568522	0.431477
11014393	0.748565	0.251435
11014444	1	0
11014448	1	0
11014457	1	0
11014514	0.438948	0.561052
11014583	0.784189	0.215811
11014591	0.784189	0.215811
11014604	0.676048	0.323952
11014610	0.628063	0.371936
11014707	0.160346	0.839654
11014736	0.160346	0.839654
11014744	0.160346	0.839654
11014794	0	1
11014813	0	1
11014894	0.688503	0.311497
11014906	0.688503	0.311497
11014969	0	1
11015026	0.147481	0.852519
11015031	0.147481	0.852519
11015039	0.147481	0.852519
11015042	0.147481	0.852519
11015044	0.147481	0.852519
11015049	0.147481	0.852519
11015057	0.147481	0.852519
11015064	0.147481	0.852519
11015067	0.147481	0.852519
11015078	0.147481	0.852519
11015081	0.147481	0.852519
11015084	0.147481	0.852519
11015093	0.147481	0.852519
11015101	0.147481	0.852519
11015120	0.268682	0.731318
11015126	0.268682	0.731318
11015134	0.268682	0.731318
11015165	0.495534	0.504466
11015168	0.495534	0.504466
11015192	0.616735	0.383265
11016317	0	1
11016325	0.601877	0.398123
11016337	0.601877	0.398123
11016695	0.410929	0.589071
11017134	0.667859	0.33214
11017169	0.588717	0.411283
11017209	0.666923	0.333077
11017359	0.485592	0.514408
11017438	0.191257	0.808743
11017469	0.191257	0.808743
11017580	0.549806	0.450194
11018198	0.392349	0.607651
11019226	0.134054	0.865946
11019682	0.835092	0.164908
11019726	0.835092	0.164908
11019854	0.848961	0.151039
11020102	0.419085	0.580915
11020705	0.587646	0.412354
11020718	0.587646	0.412354
11021547	0.460501	0.539499
11021932	0.821823	0.178177
11023425	0.931099	0.068901
11024005	0.458874	0.541126
11024096	0.567423	0.432577
11024328	0.634493	0.365507
