pos	unmethyl	 methyl
757124	12	9
757129	12	9
757133	12	9
757134	12	9
757137	12	9
757138	12	9
757142	12	9
757144	12	9
757148	12	9
757158	3	18
757161	3	18
757166	3	18
757170	3	18
757171	3	18
757181	5	16
757184	5	16
757187	5	16
757188	5	16
757189	5	16
757191	5	16
757194	5	16
757201	5	16
757208	5	16
757209	5	16
757212	5	16
757213	5	16
757216	5	16
757223	5	16
757226	5	16
757227	5	16
757228	5	16
757229	5	16
757231	5	16
757233	5	16
757234	5	16
757235	5	16
757241	5	16
757242	5	16
757243	5	16
757245	5	16
757246	5	16
757253	5	16
757256	5	16
757258	5	16
757263	5	16
757267	5	16
757276	5	16
757282	5	16
757285	5	16
757288	5	16
757289	5	16
757293	5	16
757299	5	16
757301	5	16
757302	5	16
757303	5	16
757308	5	16
757310	5	16
757312	5	16
757318	5	16
757320	5	16
757321	5	16
757329	5	16
757330	5	16
757331	5	16
757334	5	16
757336	5	16
757337	5	16
757339	5	16
757341	5	16
757349	5	16
757350	5	16
