chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757122	757199	1	read0	2	2	2	6:M,7:M,9:M,18:M,23:M,24:M,26:M,29:M,36:M,41:M,55:M,57:M,59:M,65:M
1	757129	757203	1	read1	2	2	1.71437	0:U,2:U,11:U,16:U,17:U,19:U,22:U,29:U,34:U,48:U,50:U,52:U,58:U
1	757156	757225	1	read10	1	1	0.218537	2:U,7:U,21:M,23:M,25:M,31:M,49:U,50:U
1	757161	757230	1	read12	1	1	1	2:M,16:U,18:U,20:U,26:U,44:U,45:U
1	757944	758013	1	read218	1	0.666667	0.514906	0:M,2:M,5:M,10:M,13:M,24:U,34:M,45:M,51:M,52:M,53:M,59:M,60:M,64:M,65:M,67:M,69:M
1	758651	758720	1	read454	1	1	0	0:U,1:U,2:U,5:U,6:U,19:M,22:M,26:M,32:M,34:M,36:M,40:M,42:M,47:M,63:M,69:M
1	757139	757224	1	read5	3	3	3	1:M,6:M,7:M,9:M,12:M,19:M,24:M,38:M,40:M,42:M,48:M,66:M,67:M
1	757169	757238	1	read13	1	1	1	8:M,10:M,12:M,18:M,36:U,37:U
1	757138	757251	1	read4	4	4	4	2:U,7:U,8:U,10:U,13:U,20:U,25:U,39:U,41:U,43:U,49:U,67:M,68:M,104:U,108:U,109:U,111:U,112:U
1	757158	757227	1	read11	1	1	1	0:U,5:U,19:U,21:U,23:U,29:U,47:U,48:U
1	757189	757272	1	read19	2	2	2	16:U,17:U,53:U,57:U,58:U,60:U,61:U,69:U,71:U,76:U
1	757180	757255	1	read16	2	2	2	1:U,7:U,25:U,26:U,62:M,66:M,67:M,69:M,70:M
1	757986	758055	1	read237	1	1	1	3:M,9:M,10:M,11:M,17:M,18:M,22:M,23:M,25:M,27:M,29:M,42:U,47:U,53:U,56:U,62:U,66:U
1	757962	758031	1	read227	1	1	0.160147	6:U,16:M,27:M,33:M,34:M,35:M,41:M,42:M,46:M,47:M,49:M,51:M,53:M,66:M
1	758658	758742	1	read457	3	2.66667	2.30035	12:M,15:M,19:M,25:M,27:M,29:M,33:M,35:M,40:M,56:M,62:M,65:M,67:M,68:M,71:M,73:M,77:M,81:M,82:M
1	757173	757245	1	read14	2	2	2	4:M,6:M,8:M,14:M,32:M,33:M,69:M
