pos	unmethyl	 methyl
757121	0	0
757122	0.437983	0
757129	0.437983	0.562017
757133	0.437983	0.562017
757134	0.437983	0.562017
757138	0.437983	0.562017
757139	0.437983	0.562017
757140	0.437983	0.562017
757145	0.437983	0.562017
757149	0.437983	0.562017
757151	0.437983	0.562017
757158	0.437983	0.562017
757160	0.437983	0.562017
757161	0.437983	0.562017
757163	0.437983	0.562017
757166	0.437983	0.562017
757170	0.437983	0.562017
757174	0.437983	0.562017
757179	0.437983	0.562017
757183	0.437983	0.562017
757185	0.437983	0.562017
757193	0.437983	0.562017
757196	0.437983	0.562017
757197	0.437983	0.562017
757205	0.437983	0.562017
757213	0.437983	0.562017
757218	0.437983	0.562017
757219	0.437983	0.562017
757223	0.397672	0.602328
757224	0.397672	0.602328
757225	0.397672	0.602328
757226	0.397672	0.602328
757227	0.397672	0.602328
757232	0.37789	0.62211
757235	0.37789	0.62211
757236	0.37789	0.62211
757242	0.37789	0.62211
757247	0.37789	0.62211
757248	0.37789	0.62211
757252	0.37789	0.62211
757255	0.28795	0.71205
757258	0.28795	0.71205
757259	0.28795	0.71205
757261	0.28795	0.71205
757268	0.268411	0.731589
757273	0.268411	0.731589
757274	0.268411	0.731589
757275	0.268411	0.731589
757280	0.268411	0.731589
757282	0.268411	0.731589
757283	0.268411	0.731589
757287	0.248643	0.751357
757293	0.248643	0.751357
757296	0.248643	0.751357
757297	0.248643	0.751357
757298	0.248643	0.751357
757301	0.392769	0.607231
757309	0.379528	0.620472
757310	0.379528	0.620472
757326	0.394221	0.605779
757336	0.521129	0.478871
757337	0.521129	0.478871
757341	0.521129	0.478871
757350	0.48	0.52
757351	0.48	0.52
757355	0.48	0.52
757356	0.48	0.52
757362	0.48	0.52
757370	0.514843	0.485157
757376	0.514843	0.485157
757378	0.514843	0.485157
757379	0.514843	0.485157
757380	0.514843	0.485157
757381	0.514843	0.485157
757383	0.514843	0.485157
757384	0.514843	0.485157
757386	0.514843	0.485157
757388	0.514843	0.485157
757392	0.514843	0.485157
757398	0.657628	0.342372
757402	0.657628	0.342372
757405	0.657628	0.342372
757406	0.657628	0.342372
757408	0.657628	0.342372
757411	0.657628	0.342372
757417	0.657628	0.342372
757420	0.657628	0.342372
757421	0.657628	0.342372
757422	0.657628	0.342372
757424	0.657628	0.342372
757425	0.657628	0.342372
757426	0.657628	0.342372
757432	0.566771	0.43323
757437	0.566771	0.43323
757438	0.566771	0.43323
757440	0.566771	0.43323
757442	0.619626	0.380374
757443	0.619626	0.380374
757445	0.619626	0.380374
757446	0.619626	0.380374
757447	0.619626	0.380374
757449	0.619626	0.380374
757451	0.619626	0.380374
757453	0.602858	0.397142
757455	0.602858	0.397142
757460	0.602858	0.397142
757464	0.576029	0.423971
757465	0.576029	0.423971
757469	0.576029	0.423971
757473	0.576029	0.423971
757478	0.566999	0.433001
757479	0.566999	0.433001
757482	0.566999	0.433001
757483	0.566999	0.433001
757485	0.566999	0.433001
757491	0.566999	0.433001
757494	0.606494	0.393506
757495	0.606494	0.393506
757498	0.606494	0.393506
757503	0.606494	0.393506
757506	0.606494	0.393506
757507	0.606494	0.393506
757511	0.606494	0.393506
757517	0.606494	0.393506
757521	0.606494	0.393506
757523	0.606494	0.393506
757527	0.606494	0.393506
757536	0.606494	0.393506
757538	0.606494	0.393506
757541	0.606494	0.393506
757543	0.606494	0.393506
757547	0.648215	0.351785
757549	0.648215	0.351785
757550	0.648215	0.351785
757555	0.648215	0.351785
757556	0.648215	0.351785
757560	0.648215	0.351785
757565	0.648215	0.351785
757566	0.648215	0.351785
757567	0.648215	0.351785
757568	0.648215	0.351785
757569	0.648215	0.351785
757571	0.648215	0.351785
757577	0.648215	0.351785
757579	0.648215	0.351785
757588	0.648215	0.351785
757590	0.648215	0.351785
757592	0.648215	0.351785
757593	0.648215	0.351785
757602	0.648215	0.351785
757609	0.648215	0.351785
757618	0	0
757620	0	0
