pos	unmethyl	 methyl
11007845	0.470268	0.450686
11007869	0.367885	0.553069
11007889	0.60242	0.318534
11008616	0.469261	0.451692
11008635	0.49414	0.426813
11008647	0.540453	0.3805
11008862	0.468085	0.452868
11008942	0.536226	0.384728
11008952	0.371506	0.549448
11009019	0.431429	0.489524
11009125	0.307016	0.613938
11009296	0.450751	0.470203
11009467	0.372353	0.5486
11009769	0.474493	0.44646
11010103	0.452092	0.468861
11010151	0.600826	0.320128
11010174	0.23438	0.686574
11010285	0.485527	0.435427
11010317	0.451388	0.469565
11010659	0.4663	0.454654
11010733	0.650628	0.270325
11010740	0.393521	0.527433
11011310	0.466426	0.454528
11011345	0.414108	0.506846
11011385	0.586491	0.334462
11011535	0.608097	0.312857
11011581	0.382234	0.53872
11011645	0.510835	0.410118
11011667	0.0648774	0.856076
11013248	0.508075	0.412879
11013565	0.412616	0.508338
11013573	0.315371	0.605583
11013590	0.426446	0.494508
11013641	0.539655	0.381299
11014173	0.398596	0.522358
11014195	0.410512	0.510441
11014257	0.318528	0.602425
11014372	0.670638	0.250316
11014393	0.366047	0.554906
11014444	0.529064	0.39189
11014448	0.388478	0.532475
11014457	0.59607	0.324883
11014514	0.219964	0.700989
11014583	0.329846	0.591108
11014591	0.532825	0.388128
11014604	0.377117	0.543837
11014610	0.692437	0.228516
11014707	0.401445	0.519509
11014736	0.585975	0.334979
11014744	0.492883	0.42807
11014794	0.493944	0.427009
11014813	0.552531	0.368423
11014894	0.731268	0.189685
11014906	0.662751	0.258203
11014969	0.341625	0.579328
11015026	0.483591	0.481369
11015031	0.51148	0.45348
11015039	0.313952	0.686048
11015042	0.462141	0.537859
11015044	0.2836	0.7164
11015049	0.478553	0.521447
11015057	0.511497	0.488502
11015064	0.61769	0.38231
11015067	0.564793	0.435207
11015078	0.587555	0.412445
11015081	0.497038	0.502962
11015084	0.498398	0.501601
11015093	0.603139	0.396861
11015101	0.543943	0.456057
11015120	0.415673	0.584326
11015126	0.691269	0.308731
11015134	0.374859	0.62514
11015165	0.391095	0.573865
11015168	0.684245	0.280714
11015192	0.439681	0.525278
11016317	0.494474	0.470485
11016325	0.651716	0.313244
11016337	0.202503	0.762457
11016695	0.53099	0.433969
11017134	0.429787	0.535173
11017169	0.592203	0.372757
11017209	0.404516	0.560444
11017359	0.476519	0.48844
11017438	0.142128	0.822832
11017469	0.463251	0.501709
11017580	0.386834	0.578125
11018198	0.409871	0.555089
11019226	0.50484	0.46012
11019682	0.374653	0.590306
11019726	0.640854	0.324106
11019854	0.406807	0.558153
11020102	0.634399	0.330561
11020705	0.439876	0.525083
11020718	0.491573	0.473387
11021547	0.19846	0.766499
11021932	0.526975	0.437984
11023425	0.785947	0.179013
11024005	0.320547	0.644413
11024096	0.31265	0.65231
11024328	0.639041	0.325919
