chr	pos	Cov	Meth
1	757123	2	1
1	757125	4	3
1	757126	4	3
1	757129	5	4
1	757131	6	5
1	757136	6	5
1	757138	6	5
1	757140	6	5
1	757144	6	5
1	757146	6	5
1	757159	10	3
1	757160	10	3
1	757164	10	3
1	757172	11	4
1	757173	11	4
1	757174	12	5
1	757175	12	5
1	757180	13	6
1	757181	13	6
1	757197	12	6
1	757200	12	6
1	757201	11	5
1	757202	11	5
1	757206	13	7
1	757214	19	9
1	757217	20	9
1	757229	20	10
1	757232	20	10
1	757234	20	10
1	757240	22	12
1	757244	23	12
1	757245	23	12
1	757246	23	12
1	757247	23	12
1	757254	22	10
1	757259	22	10
1	757268	24	11
1	757276	24	10
1	757277	24	10
1	757282	20	9
1	757284	20	9
1	757285	20	9
1	757290	18	10
1	757296	18	9
1	757313	17	10
1	757317	19	11
1	757329	24	11
1	757331	22	11
1	757332	22	11
1	757333	22	11
1	757335	22	11
1	757336	21	10
1	757344	23	11
1	757348	25	12
1	757349	25	12
1	757366	23	15
1	757371	24	15
1	757376	21	14
1	757377	21	14
1	757384	20	14
1	757387	19	13
1	757399	15	5
1	757406	16	6
1	757413	13	5
1	757416	12	4
1	757417	11	4
1	757422	12	4
1	757431	13	4
1	757432	12	4
1	757446	15	6
1	757461	15	6
1	757463	14	5
1	757464	13	4
1	757479	20	6
1	757483	21	7
1	757494	20	12
1	757497	20	11
1	757500	21	12
1	757502	22	13
1	757505	27	15
1	757510	25	15
1	757527	31	20
1	757528	31	20
1	757533	32	20
1	757534	33	20
1	757539	28	15
1	757545	26	15
1	757554	27	16
1	757557	29	18
1	757558	29	18
1	757561	29	18
1	757564	30	19
1	757584	28	18
1	757585	28	18
1	757586	27	18
1	757593	27	18
1	757598	25	17
1	757599	25	17
1	757602	24	16
1	757604	23	16
1	757606	24	16
1	757609	25	17
1	757619	23	13
1	757627	20	12
1	757629	22	13
1	757633	23	13
1	757643	23	7
1	757653	24	16
1	757658	23	15
1	757659	22	14
1	757662	22	14
1	757680	21	10
1	757682	21	10
1	757688	23	11
1	757689	23	11
1	757691	24	12
1	757695	23	12
1	757700	24	10
1	757702	22	10
1	757703	22	10
1	757709	19	10
1	757711	17	8
1	757712	16	8
1	757717	16	9
1	757724	18	8
1	757725	18	7
1	757732	18	7
1	757733	17	7
1	757735	16	6
1	757736	15	5
1	757741	17	6
1	757744	16	5
1	757750	17	6
1	757755	17	6
1	757757	16	6
1	757759	16	6
1	757761	15	5
1	757763	16	5
1	757768	15	5
1	757774	15	6
1	757776	15	6
1	757784	17	8
1	757788	17	8
1	757789	18	8
1	757792	18	9
1	757797	15	10
1	757802	16	10
1	757808	18	12
1	757811	17	12
1	757818	17	12
1	757819	18	12
1	757820	19	13
1	757821	19	13
1	757823	19	12
1	757824	19	12
1	757826	20	12
1	757833	22	14
1	757840	22	13
1	757848	26	13
1	757851	25	13
1	757861	23	9
1	757871	24	14
1	757875	23	13
1	757879	26	15
1	757889	27	14
1	757893	26	14
1	757896	27	14
1	757898	25	13
1	757917	21	7
1	757919	20	7
1	757923	21	8
1	757927	21	8
1	757937	23	9
1	757940	23	9
1	757943	23	9
1	757945	22	9
1	757950	19	7
1	757954	20	7
1	757955	21	8
1	757957	22	9
1	757966	17	7
1	757978	20	15
1	757979	20	15
1	757985	21	16
1	757987	19	15
1	757990	18	14
1	757991	17	14
