pos	unmethyl	 methyl
757127	1	0
757132	1	0
757133	1	0
757134	1	0
757135	1	0
757136	1	0
757137	1	0
757140	1	0
757142	1	0
757153	1	0
757156	1	0
757157	1	0
757179	0	1
757181	0	1
757185	0	1
757197	0.771175	0.228825
757200	0.780061	0.219939
757204	0.780061	0.219939
757207	0.789688	0.210312
757209	0.789688	0.210312
757217	0.789935	0.210065
757224	0.799562	0.200438
757228	0.805733	0.194267
757234	0.802277	0.197723
757235	0.802277	0.197723
757238	0.802277	0.197723
757247	0.807461	0.192539
757248	0.807461	0.192539
757251	0.807461	0.192539
757260	0.790429	0.209571
757262	0.786726	0.213274
757264	0.786726	0.213274
757272	0.784998	0.215002
757274	0.782283	0.217717
757304	0.782283	0.217717
757307	0.782283	0.217717
757310	0.782283	0.217717
757311	0.782283	0.217717
757316	0.782283	0.217717
757317	0.782283	0.217717
757321	0.782283	0.217717
757328	0.782283	0.217717
757332	0.782283	0.217717
757335	0.782283	0.217717
757339	0.782283	0.217717
757343	0.782283	0.217717
