chr	pos	Cov	Meth
13	19173146	1	1
13	19173152	1	1
13	19173174	1	1
13	19218089	23	14
13	19218092	23	13
13	19218106	23	9
13	19239934	33	32
13	19239992	33	25
13	19240052	1	1
13	19240079	1	0
13	19519069	2	2
13	19519104	2	2
13	19519119	2	2
13	19539252	1	1
13	19539290	1	1
13	19539299	1	1
13	19631347	3	1
13	19631371	3	3
13	19631377	3	1
13	19631383	3	3
13	19631782	16	14
13	19631786	16	13
13	19631790	16	15
13	19633234	4	0
13	19633244	4	3
13	19633273	4	1
13	19633278	3	3
13	19633322	2	2
13	19633384	2	1
13	19633392	2	1
13	19660108	1	1
13	19660127	1	1
13	19660142	1	0
13	19699665	1	0
13	19728265	1	1
13	19728316	36	25
13	19728409	4	4
13	19728423	6	5
13	19746261	10	9
13	19746336	10	3
13	19747427	1	0
13	19747439	1	0
13	19759514	2	2
13	19816458	2	1
13	19816500	2	2
13	19816526	2	0
13	19872773	2	2
13	19919175	14	10
13	19919186	14	11
13	19919206	14	13
13	19919212	14	12
13	19919218	14	13
13	20003543	1	0
13	20139004	2	2
13	20139007	2	2
13	20139012	2	2
13	20139016	2	2
13	20139026	2	2
13	20139049	2	2
13	20139070	2	2
13	20139073	2	2
13	20175893	3	3
13	20175907	3	0
13	20175925	3	0
13	20175965	4	0
13	20175970	2	0
13	20175978	1	1
13	20175980	1	0
13	20175994	1	0
13	20175996	1	1
13	20176007	1	1
13	20176016	8	1
13	20176018	8	1
13	20176021	8	1
13	20176023	8	1
13	20176029	8	2
13	20176031	8	1
13	20176041	7	0
13	20176048	7	0
13	20176052	7	0
13	20176062	7	0
13	20176071	7	0
13	20176081	8	1
13	20176084	8	1
13	20176106	1	0
13	20176116	1	1
13	20176129	1	0
13	20176134	1	1
13	20176142	1	1
13	20176155	1	1
13	20176568	15	9
13	20176575	15	0
13	20176577	15	0
13	20176580	15	1
13	20176583	15	2
13	20176588	15	0
13	20176594	15	2
13	20176606	15	0
13	20176612	15	0
13	20176703	22	0
13	20176732	27	0
13	20176742	27	1
13	20176744	27	0
13	20176752	27	1
13	20176763	27	9
13	20176787	5	1
13	20177035	1	1
13	20207079	2	0
13	20207136	4	2
13	20207199	5	2
13	20207209	3	1
13	20207236	3	1
13	20207253	4	1
13	20207269	4	1
13	20207513	2	0
13	20207519	2	0
13	20207536	2	0
13	20207543	2	0
13	20207551	2	0
13	20207622	1	0
13	20207638	1	0
13	20207646	1	0
13	20207654	1	0
13	20207677	1	0
13	20356236	3	0
13	20356244	3	0
13	20356269	3	0
13	20356278	3	0
13	20356282	3	0
13	20356285	3	0
13	20356289	3	0
13	20356299	3	0
13	20356302	3	0
13	20356353	2	0
13	20356356	2	0
13	20356369	2	0
13	20356379	2	0
13	20356392	2	0
13	20356401	2	0
13	20356405	2	0
13	20356408	2	0
13	20356413	2	0
13	20392455	22	22
13	20392473	22	21
13	20392481	22	22
13	20392488	22	21
13	20392490	22	19
13	20392511	22	22
13	20392527	22	21
13	20392571	26	21
13	20392576	26	20
13	20392595	26	25
13	20392606	26	26
13	20392622	26	24
13	20392640	26	26
13	20438891	1	1
13	20438896	1	1
13	20438905	1	0
13	20438931	1	1
13	20438935	1	0
13	20438944	1	0
13	20531727	2	1
13	20531736	3	3
13	20531739	3	2
13	20531743	3	3
13	20531748	3	1
13	20531754	3	3
13	20531759	3	2
13	20531761	3	3
13	20531769	3	2
13	20534404	1	0
13	20534424	1	0
13	20534431	1	0
13	20534448	1	0
13	20620412	1	1
13	20711040	15	4
13	20711052	15	0
13	20711056	15	0
13	20711077	15	1
13	20711090	15	0
13	20711103	68	53
13	20711106	68	3
13	20711114	69	0
13	20711124	54	2
13	20711127	54	1
13	20711129	54	1
13	20711136	54	4
13	20711141	54	4
13	20711165	63	8
13	20711172	63	6
13	20711177	10	0
13	20711211	9	2
13	20711214	18	2
13	20711222	23	1
13	20711227	23	3
13	20711235	23	9
13	20711244	14	0
13	20711255	14	0
13	20713691	9	0
13	20721980	36	20
13	20722063	40	21
13	20722072	40	25
13	20747744	2	2
13	20747746	2	2
