pos	unmethyl	 methyl
757126	0.316381	0.683618
757129	1	0
757130	1	0
757135	0.683618	0.316381
757136	0.829099	0.170901
757138	0.170901	0.829099
757140	0.549332	0.450668
757141	0.549332	0.450668
757143	0.450668	0.549332
757148	0.621568	0.378432
757151	0.487282	0.512718
757153	0.512718	0.487282
757155	0	1
757164	0.134286	0.865714
757169	0.170901	0.829099
757173	0.829099	0.170901
757177	0.450668	0.549332
757180	0.829099	0.170901
757181	1	0
757184	0.829099	0.170901
757185	0.829099	0.170901
757192	1	0
757194	0.841812	0.158188
757195	0.325066	0.674934
757204	0.435931	0.564069
757207	1	0
757209	0.440498	0.559502
757211	0.659282	0.340718
757215	0.522236	0.477764
757222	0.517988	0.482013
757224	1	0
757225	0.852693	0.147307
757227	0.102222	0.897777
757232	0.624002	0.375998
757240	0.502972	0.497028
757243	0.143981	0.856019
757247	0.367105	0.632896
757248	0.855548	0.144452
757256	0.649327	0.350673
757258	0.696164	0.303836
757259	0.496601	0.503399
757266	0.501326	0.498675
757272	1	0
757274	0.835742	0.164258
757284	0.52491	0.47509
757287	0.807717	0.192283
757300	0.310777	0.689223
757301	0.503059	0.496941
757303	0.496941	0.503059
757312	0.667373	0.332627
757316	0.835686	0.164314
757318	0.47509	0.52491
757322	0.52491	0.47509
757324	0.52491	0.47509
757326	0.310777	0.689223
757328	0.192283	0.807717
757335	0.503059	0.496941
757338	0.807717	0.192283
757341	1	0
757343	0.47509	0.52491
757344	0.310777	0.689223
757346	0.667373	0.332627
757347	0.47509	0.52491
757348	0.164314	0.835686
757349	0.47509	0.332627
757350	0.310777	0.332627
