chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
0	757121	757192	1	read0	25	18.1587	21.8938	0:M,8:M,9:M,18:M,19:M,20:M,24:M,29:M,31:M,34:M,51:U,53:U,57:U,61:U
0	757121	757180	1	read4	1	0.444444	1.43702	0:M,8:M,9:M,18:M,19:M,20:M,24:M,29:M,31:M,34:M,51:M,53:M,57:M
0	757135	757201	1	read32	15	12.9333	12.9333	4:M,5:M,6:M,10:M,15:M,17:M,20:M,37:U,39:U,43:U,47:U,58:M
0	757184	757251	1	read149	3	1.94286	1.99836	9:U,18:U,21:U,29:U,43:U,47:U,52:U,54:U,56:U
0	757179	757239	1	read138	5	4	4	3:U,14:M,23:M,26:M,34:M,48:M,52:M,57:M,59:M
0	757125	757192	1	read10	6	6.2381	6.2381	4:M,5:M,14:M,15:M,16:M,20:M,25:M,27:M,30:M,47:M,49:M,53:M,57:M
0	757143	757212	1	read49	18	18.6667	18.6667	2:M,7:M,9:M,12:M,29:U,31:U,35:U,39:U,50:M,59:M,62:M
0	757194	757254	1	read171	4	3	3	8:U,11:U,19:U,33:U,37:U,42:U,44:U,46:U,58:U,59:U
0	757241	757312	1	read274	21	21.8857	19.1584	11:M,12:M,15:M,19:M,28:M,29:M,38:M,39:M,42:M,47:M,56:M,60:M,64:M,69:M,71:M
0	757181	757241	1	read143	5	4	2.76164	1:U,12:M,21:M,24:M,32:M,46:M,50:M,55:M,57:M,59:M
0	757239	757299	1	read270	2	2.66667	1.38469	1:U,13:U,14:U,17:U,21:U,30:U,31:U,40:U,41:U,44:U,49:U,58:U
0	757137	757201	1	read35	2	2.13333	2.22153	2:M,3:M,4:M,8:M,13:M,15:M,18:M,35:M,37:M,41:M,45:M,56:U
0	757183	757251	1	read148	17	13.3143	14.2271	10:M,19:M,22:M,30:M,44:M,48:M,53:M,55:M,57:M
0	757155	757226	1	read75	26	23.4476	23.4476	0:M,17:U,19:U,23:U,27:U,38:M,47:M,50:M,58:M
0	757207	757266	1	read196	1	2	2	6:U,20:U,24:U,29:U,31:U,33:U,45:U,46:U,49:U,53:U
0	757254	757319	1	read305	9	10.6667	10.3599	2:M,6:M,15:M,16:M,25:M,26:M,29:M,34:M,43:M,47:M,51:M,56:M,58:M,61:M,64:M
0	757244	757311	1	read279	10	7.65714	2.76937	8:U,9:U,12:U,16:U,25:U,26:U,35:U,36:U,39:U,44:U,53:U,57:U,61:U,66:U
0	757144	757203	1	read51	1	2	2	1:M,6:M,8:M,11:M,28:M,30:M,34:M,38:M,49:U,58:U
0	757194	757254	1	read170	4	2.5	4.26814	8:M,11:M,19:M,33:M,37:M,42:M,44:M,46:M,58:M,59:M
0	757193	757252	1	read168	2	2	1.42271	0:M,9:M,12:M,20:M,34:M,38:M,43:M,45:M,47:M,59:M
0	757168	757230	1	read106	10	7.77778	7.77778	4:U,6:U,10:U,14:U,25:M,34:M,37:M,45:M,59:M
0	757216	757275	1	read222	2	1	1.20856	11:U,15:U,20:U,22:U,24:U,36:U,37:U,40:U,44:U,53:U,54:U
0	757261	757328	1	read320	16	14.9333	15.0733	8:M,9:M,18:M,19:M,22:M,27:M,36:M,40:M,44:M,49:M,51:M,54:M,57:M
0	757210	757270	1	read205	2	1.16364	1.0471	3:U,17:U,21:U,26:U,28:U,30:U,42:U,43:U,46:U,50:U,59:U,60:U
0	757254	757314	1	read307	2	2.13333	1.10775	2:U,6:U,15:U,16:U,25:U,26:U,29:U,34:U,43:U,47:U,51:U,56:U,58:U
0	757203	757264	1	read189	4	4	4.27482	2:M,10:M,24:M,28:M,33:M,35:M,37:M,49:M,50:M,53:M,57:M
0	757149	757212	1	read60	3	2.66667	2.66667	1:M,3:M,6:M,23:M,25:M,29:M,33:M,44:U,53:U,56:U
0	757197	757258	1	read178	5	6	6	5:M,8:M,16:M,30:M,34:M,39:M,41:M,43:M,55:M,56:M,59:M
0	757172	757235	1	read117	12	10.2667	10.2667	0:U,2:U,6:U,10:U,21:M,30:M,33:M,41:M,55:M,59:M
0	757228	757287	1	read245	1	1.33333	1.33333	3:U,8:U,10:U,12:U,24:U,25:U,28:U,32:U,41:U,42:U,51:U,52:U,55:U
0	757271	757342	1	read342	21	23.0667	21.1026	8:M,9:M,12:M,17:M,26:M,30:M,34:M,39:M,41:M,44:M,47:M,69:U
0	757221	757286	1	read231	3	2.70476	1.69199	6:U,10:U,15:U,17:U,19:U,31:U,32:U,35:U,39:U,48:U,49:U,58:U,59:U,62:U
0	757258	757319	1	read312	3	4.13333	0.847083	2:U,11:U,12:U,21:U,22:U,25:U,30:U,39:U,43:U,47:U,52:U,54:U,57:U,60:U
0	757206	757268	1	read193	9	6	6	7:M,21:M,25:M,30:M,32:M,34:M,46:M,47:M,50:M,54:M
0	757154	757226	1	read71	9	8.20476	8.20476	1:M,18:M,20:M,24:M,28:M,39:U,48:U,51:U,59:U
0	757201	757261	1	read183	6	4	2.83458	1:M,4:M,12:M,26:M,30:M,35:M,37:M,39:M,51:M,52:M,55:M,59:M
0	757177	757237	1	read131	6	3.77778	2.80292	1:U,5:U,16:M,25:M,28:M,36:M,50:M,54:M,59:M
0	757232	757294	1	read253	6	4.8381	4.8381	4:U,6:U,8:U,20:U,21:U,24:U,28:U,37:U,38:U,47:U,48:U,51:U,56:U
0	757285	757346	1	read367	4	5.33333	6.10495	3:M,12:M,16:M,20:M,25:M,27:M,30:M,33:M,55:U,58:U
0	757229	757289	1	read248	2	2.66667	0.766137	2:U,7:U,9:U,11:U,23:U,24:U,27:U,31:U,40:U,41:U,50:U,51:U,54:U,59:U
0	757261	757328	1	read319	7	6.33333	2.86562	8:U,9:U,18:U,19:U,22:U,27:U,36:U,40:U,44:U,49:U,51:U,54:U,57:U
0	757210	757272	1	read203	11	7.41818	5.76897	3:M,17:M,21:M,26:M,28:M,30:M,42:M,43:M,46:M,50:M,59:M,60:M
0	757171	757230	1	read112	1	0.444444	0.634026	1:M,3:M,7:M,11:M,22:U,31:U,34:U,42:U,56:U
