pos	unmethyl	 methyl
757123	0.579716	0
757124	0.579716	0
757125	0.579716	0.420284
757127	0.579716	0.420284
757128	0.579716	0.420284
757130	0.579716	0.420284
757132	0.579716	0.420284
757134	0.579716	0.420284
757136	0.579716	0.420284
757137	0.579716	0.420284
757138	0.579716	0.420284
757140	0.579716	0.420284
757142	0.579716	0.420284
757143	0.579716	0.420284
757144	0.579716	0.420284
757145	0.579716	0.420284
757149	0.579716	0.420284
757151	0.579716	0.420284
757153	0.579716	0.420284
757159	0.579716	0.420284
757161	0.579716	0.420284
757162	0.579716	0.420284
757163	0.579716	0.420284
757164	0.579716	0.420284
757170	0.579716	0.420284
757175	0.579716	0.420284
757177	0.579716	0.420284
757179	0.579716	0.420284
757180	0.579716	0.420284
757181	0.579716	0.420284
757184	0.579716	0.420284
757185	0.579716	0.420284
757190	0.611237	0.388763
757191	0.611237	0.388763
757201	0.384127	0.615873
757203	0.384127	0.615873
757208	0.404833	0.595167
757209	0.404833	0.595167
757213	0.404833	0.595167
757215	0.404833	0.595167
757216	0.404833	0.595167
757217	0.404833	0.595167
757218	0.404833	0.595167
757220	0.404833	0.595167
757224	0.404833	0.595167
757226	0.404833	0.595167
757227	0.404833	0.595167
757229	0.404833	0.595167
757231	0.404833	0.595167
757236	0.404833	0.595167
757238	0.404833	0.595167
757240	0.404833	0.595167
757242	0.404833	0.595167
757243	0.404833	0.595167
757244	0.404833	0.595167
757245	0.404833	0.595167
757250	0.508976	0.491024
757253	0.521029	0.478971
757254	0.521029	0.478971
757256	0.521029	0.478971
757261	0.604777	0.395223
757264	0.604777	0.395223
757267	0.604777	0.395223
757268	0.604777	0.395223
757278	0.719737	0.280263
757279	0.719737	0.280263
757280	0.719737	0.280263
757283	0.719737	0.280263
757284	0.719737	0.280263
757287	0.674	0.326
757290	0.674	0.326
757292	0.674	0.326
757293	0.674	0.326
757294	0.674	0.326
757296	0.674	0.326
757304	0.674	0.326
757305	0.674	0.326
757309	0.674	0.326
757310	0.674	0.326
757314	0.674	0.326
757320	0.674	0.326
757321	0.674	0.326
757331	0.543897	0.456103
757335	0.543897	0.456103
757336	0.543897	0.326
757337	0.543897	0.326
757339	0.543897	0.326
757341	0.543897	0.326
757344	0.543897	0.326
757345	0.543897	0.326
757346	0.543897	0
757348	0	0
757349	0	0
