chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757128	757197	1	0	1	1	0.81501	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M
1	757147	757216	1	8	1	1	2.06113	0:U,2:U,5:U,8:U,9:U,10:U,11:U,14:U,15:U,17:U,18:U,20:U,24:U,25:U,26:U,27:U,30:U,35:U,41:U,42:U,44:U,45:U,52:U,53:U,54:U,56:U,59:U,60:U,65:U,66:U
1	757137	757207	1	4	2	2	2	0:M,1:M,2:M,7:M,8:M,10:M,12:M,15:M,18:M,19:M,20:M,21:M,24:M,25:M,27:M,28:M,30:M,34:M,35:M,36:M,37:M,40:M,45:M,51:M,52:M,54:M,55:M,62:U,63:U,64:U,66:U,69:U,70:U
1	757131	757210	1	1	4	4	4	4:M,6:M,7:M,8:M,13:M,14:M,16:M,18:M,21:M,24:M,25:M,26:M,27:M,30:M,31:M,33:M,34:M,36:M,40:M,41:M,42:M,43:M,46:M,51:M,57:M,58:M,60:M,61:M,68:M,69:M,70:M,72:M,75:M,76:M
1	757184	757261	1	17	3	3	0.632802	4:U,5:U,7:U,8:U,15:U,16:U,17:U,19:U,22:U,23:U,28:U,29:U,40:M,42:M,47:M,48:M,50:M,57:M,59:M,62:M,65:M,69:M,70:M,72:M,73:M,74:M,75:M,77:M
1	757157	757226	1	10	1	1	1.25532	0:U,1:U,4:U,5:U,7:U,8:U,10:U,14:U,15:U,16:U,17:U,20:U,25:U,31:U,32:U,34:U,35:U,42:U,43:U,44:U,46:U,49:U,50:U,55:U,56:U,67:U,69:U
1	757198	757274	1	22	2	1.5	1.41013	1:U,2:U,3:U,5:U,8:U,9:U,14:U,15:U,26:U,28:U,33:U,34:U,36:U,43:U,45:U,48:U,51:U,55:U,56:U,58:U,59:U,60:U,61:U,63:U,65:U,66:U,74:U,75:U,76:U
1	757200	757269	1	23	1	1	1	0:U,1:U,3:U,6:U,7:U,12:U,13:U,24:M,26:M,31:M,32:M,34:M,41:M,43:M,46:M,49:M,53:M,54:M,56:M,57:M,58:M,59:M,61:M,63:M,64:M
1	757144	757223	1	7	2	2	3.76912	0:M,1:M,3:M,5:M,8:M,11:M,12:M,13:M,14:M,17:M,18:M,20:M,21:M,23:M,27:M,28:M,29:M,30:M,33:M,38:M,44:M,45:M,47:M,48:M,55:M,56:M,57:M,59:M,62:M,63:M,68:M,69:M
1	757209	757278	1	30	1	1	0.551633	3:U,4:U,15:M,17:M,22:M,23:M,25:M,32:M,34:M,37:M,40:M,44:M,45:M,47:M,48:M,49:M,50:M,52:M,54:M,55:M,63:U,64:U,65:U,66:U,67:U,68:U
