chr	start	end	cid	pid	abundance	methylpat
0	757120	757349	1	1	13.809	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:U,54:U,58:U,62:U,73:M,82:M,85:M,93:M,107:M,111:M,116:M,118:M,120:M,132:M,133:M,136:M,140:M,149:M,150:M,159:M,160:M,163:M,168:M,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
0	757120	757349	1	2	1.746	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:M,54:M,58:M,62:M,73:U,82:U,85:U,93:U,107:U,111:U,116:U,118:U,120:U,132:U,133:U,136:U,140:U,149:U,150:U,159:U,160:U,163:U,168:U,177:U,181:U,185:U,190:U,192:U,195:U,198:U,220:U,223:U
0	757120	757349	1	3	0.769	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:M,54:M,58:M,62:M,73:U,82:U,85:U,93:U,107:M,111:M,116:M,118:M,120:M,132:M,133:M,136:M,140:M,149:M,150:M,159:M,160:M,163:M,168:M,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
0	757120	757349	1	4	0.672	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:U,54:U,58:U,62:U,73:M,82:M,85:M,93:M,107:U,111:U,116:U,118:U,120:U,132:U,133:U,136:U,140:U,149:U,150:U,159:U,160:U,163:U,168:U,177:U,181:U,185:U,190:U,192:U,195:U,198:U,220:U,223:U
0	757120	757349	1	5	0.535	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:U,54:U,58:U,62:U,73:M,82:M,85:M,93:M,107:M,111:M,116:U,118:U,120:U,132:U,133:U,136:U,140:U,149:U,150:U,159:U,160:U,163:U,168:U,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
0	757120	757349	1	6	0.364	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:M,54:M,58:M,62:M,73:M,82:M,85:M,93:M,107:M,111:M,116:M,118:M,120:M,132:M,133:M,136:M,140:M,149:M,150:M,159:U,160:U,163:U,168:U,177:U,181:U,185:U,190:U,192:U,195:U,198:U,220:U,223:U
0	757120	757349	1	7	0.253	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:M,54:M,58:M,62:M,73:U,82:U,85:U,93:U,107:U,111:U,116:U,118:U,120:U,132:U,133:U,136:U,140:U,149:M,150:M,159:M,160:M,163:M,168:M,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
0	757120	757349	1	8	0.206	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:U,54:U,58:U,62:U,73:M,82:M,85:M,93:M,107:M,111:M,116:M,118:M,120:U,132:U,133:U,136:U,140:U,149:U,150:U,159:U,160:U,163:U,168:U,177:U,181:U,185:U,190:U,192:U,195:U,198:U,220:U,223:U
0	757120	757349	1	9	0.19	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:U,54:U,58:U,62:U,73:M,82:M,85:M,93:M,107:M,111:U,116:U,118:U,120:U,132:U,133:U,136:U,140:U,149:U,150:U,159:U,160:U,163:U,168:M,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
0	757120	757349	1	10	0.146	1:M,9:M,10:M,19:M,20:M,21:M,25:M,30:M,32:M,35:M,52:M,54:M,58:M,62:M,73:U,82:U,85:U,93:M,107:M,111:M,116:M,118:M,120:M,132:M,133:M,136:M,140:M,149:M,150:M,159:M,160:M,163:M,168:M,177:M,181:M,185:M,190:M,192:M,195:M,198:M,220:U,223:U
