pos	unmethyl	 methyl
757121	0.6	0.4
757122	0.6	0.4
757123	0.6	0.4
757126	0.6	0.4
757127	0.6	0.4
757129	0.6	0.4
757131	0.6	0.4
757140	0.5	0.5
757146	0.5	0.5
757149	0.5	0.5
757150	0.5	0.5
757151	0.5	0.5
757152	0.5	0.5
757158	0.5	0.5
757159	0.5	0.5
757161	0.5	0.5
757162	0.5	0.5
757163	0.5	0.5
757164	0.5	0.5
757165	0.5	0.5
757166	0.5	0.5
757171	0.5	0.5
757173	0.5	0.5
757175	0.5	0.5
757177	0.5	0.5
757179	0.5	0.5
757180	0.5	0.5
757182	0.5	0.5
757185	0.5	0.5
757194	0.4	0.6
757197	0.4	0.6
757198	0.4	0.6
757202	0.4	0.6
757204	0.4	0.6
757206	0.4	0.6
757208	0.4	0.6
757211	0.4	0.6
757213	0.4	0.6
757216	0.4	0.6
757220	0.4	0.6
757221	0.4	0.6
757232	0.4	0.6
757233	0.4	0.6
757237	0.4	0.6
757239	0.4	0.6
757241	0.4	0.6
757242	0.4	0.6
757243	0.4	0.6
757256	0.5	0.5
757258	0.5	0.5
757260	0.5	0.5
757261	0.5	0.5
757263	0.5	0.5
757264	0.5	0.5
757266	0.5	0.5
757267	0.5	0.5
757271	0.5	0.5
757273	0.5	0.5
757274	0.5	0.5
757275	0.5	0.5
757276	0.5	0.5
757277	0.5	0.5
757278	0.5	0.5
757280	0.5	0.5
757281	0.5	0.5
757285	0.5	0.5
757288	0.5	0.5
757291	0.5	0.5
757294	0.5	0.5
757296	0.5	0.5
757298	0.5	0.5
757299	0.5	0.5
757300	0.5	0.5
757304	0.5	0.5
757306	0.5	0.5
757307	0.5	0.5
757308	0.5	0.5
757310	0.5	0.5
757313	0.5	0.5
757314	0.5	0.5
757318	0.5	0.5
757319	0.5	0.5
757320	0.5	0.5
757321	0.5	0.5
757323	0.5	0.5
757324	0.5	0.5
757325	0.5	0.5
757327	0.5	0.5
757328	0.5	0.5
757333	0.5	0.5
757337	0.5	0.5
757338	0.5	0.5
757339	0.5	0.5
757341	0.5	0.5
757342	0.5	0.5
757343	0.5	0.5
757349	0.5	0.5
