pos	unmethyl	 methyl
757122	0	0
757129	1	1
757131	2	2
757133	2	2
757134	3	2
757138	3	4
757140	5	6
757142	5	8
757143	5	8
757144	6	8
757151	5	13
757153	5	14
757155	5	14
757160	7	15
757162	7	17
757163	7	17
757165	7	17
757166	7	17
757168	8	17
757169	8	17
757170	8	17
757171	8	17
757172	8	18
757177	8	19
757183	8	21
757185	8	21
757186	8	22
757190	11	25
757191	11	25
757193	11	25
757199	14	25
757203	13	24
757205	13	23
757206	13	21
757208	13	23
757213	11	20
757214	11	19
757216	11	18
757218	11	18
757221	10	20
757222	10	20
757223	10	19
757226	10	19
757228	10	18
757229	9	18
757230	8	18
757232	8	16
757235	8	16
757236	8	17
757238	7	18
757241	7	18
757242	7	17
757244	10	17
757248	11	17
757249	11	17
757254	12	16
757257	11	15
757258	10	15
757259	10	14
757262	10	12
757265	9	11
757267	9	11
757275	8	14
757282	13	9
757285	13	8
757286	13	8
757289	12	8
757295	11	7
757297	11	7
757301	11	7
757304	11	7
757305	11	7
757307	9	7
757309	9	7
757310	9	7
757311	9	7
757315	7	4
757317	7	4
757318	7	4
757326	6	3
757329	5	3
757331	5	3
757333	5	3
757334	5	3
757335	5	3
757338	3	3
757339	3	3
757340	3	3
757341	3	3
757345	1	2
757348	1	2
757354	0	0
757356	0	0
757357	0	0
757361	0	0
757363	0	0
757365	0	0
757366	0	0
757367	0	0
757374	0	0
757376	0	0
757378	0	0
757383	0	0
757385	0	0
757386	0	0
757388	0	0
757389	0	0
757391	0	0
757392	0	0
757393	0	0
757394	0	0
757395	0	0
757400	0	0
757406	0	0
757408	0	0
757409	0	0
757413	0	0
757414	0	0
757416	0	0
757422	0	0
757426	0	0
757428	0	0
757429	0	0
757431	0	0
757436	0	0
757437	0	0
757439	0	0
757441	0	0
757444	0	0
757445	0	0
757446	0	0
757449	0	0
757451	0	0
757452	0	0
757453	0	0
757455	0	0
757458	0	0
757459	0	0
757461	0	0
757464	0	0
757465	0	0
757467	0	0
757471	0	0
757472	0	0
757477	0	0
757480	0	0
757481	0	0
757482	0	0
757485	0	0
757488	0	0
757490	0	0
757498	0	0
757505	0	0
757508	0	0
757509	0	0
757512	0	0
757518	0	0
757520	0	0
757524	0	0
757527	0	0
757528	0	0
757530	0	0
757532	0	0
757533	0	0
757534	0	0
757538	0	0
757540	0	0
757541	0	0
757549	0	0
757552	0	0
757554	0	0
757556	0	0
757557	0	0
757558	0	0
757561	0	0
757562	0	0
757563	0	0
757564	0	0
757568	0	0
757571	0	0
757352	0	0
