pos	unmethyl	 methyl
757123	0.68362	0
757124	0.68362	0
757125	0.68362	0
757126	0.68362	0
757127	0.68362	0
757128	0	0.68362
757130	0	0.68362
757133	0	0.68362
757136	0	0.68362
757139	0.68362	0
757141	0	0.68362
757144	0	0.68362
757145	0	0.68362
757153	0	0.68362
757160	0	0.68362
757162	0.68362	0
757166	0.68362	0
757170	0.68362	0
757171	0.68362	0
757172	0	0.68362
757179	0	0.68362
757180	0	0.68362
757181	0.68362	0
757184	0	0.68362
757185	0	0.68362
757190	0.68362	0
757195	0.68362	0
757199	0.68362	0
757200	0.68362	0
757207	0	0.68362
757209	0	0.68362
757211	0.68362	0
757215	0.68362	0
757216	0	0.68362
757221	0	0.68362
757223	0.68362	0
757231	0.68362	0
757234	0.68362	0
757235	0.68362	0
757237	0.68362	0
757238	0.68362	0
757245	0.68362	0
757246	0.68362	0
757251	0	0.68362
757253	0.68362	0
757267	0	0.68362
757268	0	0.68362
757274	0.68362	0
757277	0	0.68362
757285	0	0.68362
757299	0.68362	0
757302	0.68362	0
757303	0.68362	0
757304	0	0.68362
757309	0	0.68362
757310	0	0.68362
757312	0	0.68362
757320	0.68362	0
757323	0	0.68362
757325	0	0.68362
757329	0.68362	0
757336	0.68362	0
757340	0	0.68362
757344	0.68362	0
757346	0	0.68362
757348	0.68362	0
757354	0.0741811	0.242199
757355	0.0741811	0.242199
757356	0.0741811	0.242199
757357	0.31638	0
757358	0.31638	0
757359	0.242199	0.0741811
757361	0.242199	0.0741811
757364	0.242199	0.0741811
757367	0	0.31638
757370	0.31638	0
757372	0.242199	0.0741811
757375	0	0.31638
757376	0	0.31638
757384	0.242199	0.0741811
757391	0	0.31638
757393	0.0741811	0.242199
757397	0.0741811	0.242199
757401	0.0741811	0.242199
757402	0.31638	0
757403	0.242199	0.0741811
757410	0	0.31638
757411	0	0.31638
757412	0.0741811	0.242199
757415	0.242199	0.0741811
757416	0.242199	0.0741811
757421	0.31638	0
757426	0.31638	0
757430	0.0837945	0.232586
757431	0.0837945	0.232586
757438	0	0.31638
757440	0.224862	0.091518
757442	0.31638	0
757446	0.0952904	0.22109
757447	0.22109	0.0952904
757452	0.243201	0.0731787
757454	0.0731787	0.243201
757462	0.31638	0
757465	0.31638	0
757466	0.31638	0
757468	0.31638	0
757469	0.0700286	0.246352
757476	0.079144	0.237236
757477	0.31638	0
757482	0	0.31638
757484	0.31638	0
757498	0	0.31638
757499	0.252574	0.0638062
757505	0.0560827	0.260298
757508	0	0.31638
757516	0.252305	0.0640752
757530	0.31638	0
757533	0.0640752	0.252305
757534	0.0640752	0.252305
757535	0.252305	0.0640752
757540	0.252305	0.0640752
757541	0.252305	0.0640752
757543	0.252305	0.0640752
757551	0.0640752	0.252305
757554	0	0.31638
757556	0	0.31638
757560	0.0640752	0.252305
757567	0.0640752	0.252305
757571	0.252305	0.0640752
757575	0.0640752	0.252305
757577	0	0.31638
757579	0.31638	0
