pos	unmethyl	 methyl
11007845	0.496016	0.503984
11007869	0.579774	0.420226
11007889	0.493055	0.506945
11008616	0.523961	0.476039
11008635	0.523961	0.476039
11008647	0.523961	0.476039
11008862	0.29993	0.70007
11008942	0.938174	0.0618261
11008952	0.938174	0.0618261
11009019	0.430387	0.569613
11009125	0.551217	0.448783
11009296	0.487595	0.512405
11009467	0.727162	0.272838
11009769	0.219443	0.780557
11010103	0.689423	0.310577
11010151	0.255707	0.744293
11010174	0.47906	0.52094
11010285	0.255727	0.744273
11010317	0.75958	0.24042
11010659	0.511459	0.488541
11010733	0.744972	0.255028
11010740	0.744972	0.255028
11011310	0.408988	0.591012
11011345	0.657538	0.342462
11011385	0.46474	0.53526
11011535	0.274855	0.725145
11011581	0.368175	0.631825
11011645	0.459522	0.540478
11011667	0.0396694	0.960331
11013248	0.0440939	0.955906
11013565	0.35616	0.64384
11013573	0.222024	0.777976
11013590	0.222024	0.777976
11013641	0.267887	0.732113
11014173	0.624946	0.375054
11014195	0.196878	0.803122
11014257	0	1
11014372	0.433404	0.566597
11014393	0.533861	0.466139
11014444	0.432754	0.567246
11014448	0.432754	0.567246
11014457	0.432754	0.567246
11014514	0	1
11014583	0.383666	0.616334
11014591	0.383666	0.616334
11014604	0.446544	0.553456
11014610	0.446544	0.553456
11014707	0.702317	0.297683
11014736	0.523807	0.476194
11014744	0.509481	0.490519
11014794	0.563604	0.436396
11014813	0.563604	0.436396
11014894	0.536097	0.463903
11014906	0.520903	0.479097
11014969	0.104151	0.895849
11015026	1	0
11015031	1	0
11015039	1	0
11015042	1	0
11015044	1	0
11015049	1	0
11015057	1	0
11015064	1	0
11015067	1	0
11015078	1	0
11015081	1	0
11015084	1	0
11015093	1	0
11015101	1	0
11015120	1	0
11015126	1	0
11015134	1	0
11015165	1	0
11015168	1	0
11015192	0.98411	0.01589
11016317	0.78765	0.21235
11016325	0.938872	0.0611281
11016337	1	0
11016695	0.831135	0.168865
11017134	0.0829771	0.917023
11017169	1	0
11017209	0.704296	0.295704
11017359	0.531186	0.468814
11017438	0.709015	0.290985
11017469	1	0
11017580	0	1
11018198	0.606194	0.393806
11019226	0.550704	0.449296
11019682	0.646359	0.353641
11019726	0.538849	0.461151
11019854	0.710076	0.289924
11020102	0.774217	0.225783
11020705	0.43172	0.56828
11020718	0.43172	0.56828
11021547	0.937686	0.0623142
11021932	0.335091	0.664909
11023425	0.811457	0.188543
11024005	1	0
11024096	0.406786	0.593215
11024328	0.543856	0.456144
