chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757123	757328	1	0	2	1.66667	1.66667	1:M,7:M,25:M,32:M,51:U,56:U,65:U,77:U,78:U,79:U,82:U,83:U,88:U,91:U,100:U,101:U,105:U,106:U,109:U,116:U,124:U,125:U,130:U,136:U,139:U,147:U,153:U,159:U,161:U,166:U,177:U,187:U,193:U,195:U,198:U,200:U
1	757124	757328	1	1	3	2.33333	2.33333	0:U,6:U,24:M,31:M,50:M,55:M,64:M,76:U,77:U,78:U,81:U,82:U,87:U,90:U,99:U,100:U,104:U,105:U,108:U,115:U,123:U,124:U,129:U,135:U,138:U,146:U,152:U,158:U,160:U,165:U,176:U,186:U,192:U,194:U,197:U,199:U
1	757125	757333	1	2	2	1.66667	1.66667	5:U,23:M,30:M,49:M,54:M,63:M,75:M,76:M,77:M,80:M,81:M,86:M,89:M,98:M,99:M,103:M,104:M,107:M,114:M,122:M,123:M,128:M,134:M,137:M,145:M,151:M,157:M,159:M,164:M,175:M,185:M,191:M,193:M,196:M,198:M
1	757152	757370	1	9	2	1.66667	1.66667	3:U,22:M,27:M,36:M,48:U,49:U,50:U,53:U,54:U,59:U,62:U,71:U,72:U,76:U,77:U,80:U,87:U,95:U,96:U,101:U,107:U,110:U,118:U,124:U,130:U,132:U,137:U,148:M,158:M,164:M,166:M,169:M,171:M,183:U,191:U,192:U,197:U,199:U,206:U,207:U
1	757190	757474	1	14	3	3	3	10:U,11:U,12:U,15:U,16:U,21:U,24:U,33:U,34:U,38:U,39:U,42:U,49:U,57:U,58:U,63:U,69:U,72:U,80:U,86:U,92:U,94:U,99:U,110:U,120:U,126:U,128:U,131:U,133:U,145:U,153:U,154:U,159:U,161:U,168:U,169:U,187:U,188:U,194:U,219:U,222:U,226:U,235:U,243:U,246:U,254:U,255:U,257:U,259:U,279:M
1	757226	757445	1	16	2	2	2	2:U,3:U,6:U,13:U,21:U,22:U,27:U,33:U,36:U,44:U,50:U,56:U,58:U,63:U,74:U,84:U,90:U,92:U,95:U,97:U,109:M,117:M,118:M,123:M,125:M,132:M,133:M,151:M,152:M,158:M,183:U,186:U,190:U,199:U,207:U,210:U,218:U,219:U
1	757139	757370	1	7	2	1.66667	1.66667	9:M,16:M,35:M,40:M,49:M,61:U,62:U,63:U,66:U,67:U,72:U,75:U,84:U,85:U,89:U,90:U,93:U,100:U,108:U,109:U,114:U,120:U,123:U,131:U,137:U,143:U,145:U,150:U,161:U,171:U,177:U,179:U,182:U,184:U,196:U,204:U,205:U,210:U,212:U,219:U,220:U
1	757147	757359	1	8	2	2	4.5641	1:M,8:M,27:M,32:M,41:M,53:M,54:M,55:M,58:M,59:M,64:M,67:M,76:M,77:M,81:M,82:M,85:M,92:M,100:M,101:M,106:M,112:M,115:M,123:M,129:M,135:M,137:M,142:M,153:M,163:M,169:M,171:M,174:M,176:M,188:M,196:M,197:M,202:M,204:M,211:M,212:M
1	757302	757501	1	29	1	0.666667	0.666667	8:M,14:M,16:M,19:M,21:M,33:U,41:U,42:U,47:U,49:U,56:U,57:U,75:U,76:U,82:U,107:U,110:U,114:U,123:U,131:U,134:U,142:U,143:U,145:U,147:U,167:M,178:U,184:U,193:U,198:U
1	757183	757382	1	13	1	1	1	5:M,17:U,18:U,19:U,22:U,23:U,28:U,31:U,40:U,41:U,45:U,46:U,49:U,56:U,64:U,65:U,70:U,76:U,79:U,87:U,93:U,99:U,101:U,106:U,117:M,127:M,133:M,135:M,138:M,140:M,152:U,160:U,161:U,166:U,168:U,175:U,176:U,194:U,195:U
