pos	unmethyl	 methyl
757123	0	0
757124	0	0
757133	0	6
757136	0	6
757145	0	7
757152	1	9
757154	1	9
757158	1	11
757160	1	12
757162	2	12
757166	2	13
757168	2	13
757170	2	13
757173	2	14
757174	2	14
757175	2	14
757177	2	14
757184	2	17
757185	2	17
757186	2	17
757191	3	17
757197	4	15
757205	4	15
757208	4	16
757209	4	15
757210	5	17
757211	5	17
757212	5	17
757213	6	18
757214	6	18
757218	8	19
757227	7	17
757230	7	16
757232	6	18
757233	6	17
757237	7	19
757241	8	19
757243	8	19
757244	8	19
757248	9	20
757253	9	19
757256	9	20
757257	10	20
757258	9	20
757265	9	21
757268	9	22
757274	12	21
757275	12	22
757278	12	25
757282	12	24
757289	9	24
757294	10	26
757297	11	24
757304	12	25
757305	12	24
757306	12	24
757313	12	22
757315	11	23
757317	11	22
757319	12	23
757320	12	21
757328	11	21
757333	10	21
757334	11	21
757337	11	21
757338	11	21
757341	9	20
757345	8	19
757346	8	19
757352	9	15
757363	23	5
757365	24	5
757366	24	5
757367	24	4
757368	24	3
757373	22	4
757379	21	3
757380	21	3
757386	20	3
757389	19	3
757390	19	3
757393	18	3
757396	18	3
757398	18	3
757401	17	3
757403	17	3
757406	18	3
757407	18	3
757409	17	3
757412	16	3
757413	16	3
757418	17	2
757421	16	2
757429	12	1
757430	11	1
757433	9	1
757439	7	0
757440	7	0
757442	7	0
757444	8	0
757448	8	0
757449	10	0
757450	10	0
757457	12	1
757458	11	1
757461	12	1
757462	14	1
757474	3	12
757477	2	11
757479	2	12
757485	4	14
757486	3	13
757487	3	14
757494	3	14
757495	3	14
757496	3	15
757499	3	17
757501	3	17
757504	3	17
757515	12	10
757516	12	10
757520	12	11
757521	13	11
757523	12	9
757526	13	9
757527	13	9
757532	11	10
757534	11	10
757535	11	10
757540	12	10
757552	13	9
757554	13	9
757556	12	9
757558	12	8
757565	12	7
757566	11	7
757574	11	4
757576	9	4
757580	8	4
757582	8	4
757583	8	4
757587	6	4
757591	6	2
757593	6	2
757607	3	1
757610	3	1
757613	3	1
757617	2	1
757620	2	0
