chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757130	757329	1	read0	1	1	1	4:U,6:U,7:U,8:U,9:U,11:U,12:U,13:U,17:U,28:U,32:U,38:U,47:U,60:U,61:U,66:U,78:U,80:U,84:U,89:U,93:U,104:U,114:M,115:M,116:M,123:M,125:M,140:M,147:M,148:M,164:M,167:M,169:M,174:M,182:M,187:M,193:M,197:M
1	757133	757344	1	read1	2	2	2	1:U,3:U,4:U,5:U,6:U,8:U,9:U,10:U,14:U,25:U,29:U,35:U,44:U,57:M,58:M,63:M,75:U,77:U,81:U,86:U,90:U,101:U,111:U,112:U,113:U,120:U,122:U,137:U,144:U,145:U,161:M,164:M,166:M,171:M,179:M,184:M,190:M,194:M,197:M,202:M,204:M,207:M,210:M
1	757136	757353	1	read2	3	3	3	0:U,1:U,2:U,3:U,5:U,6:U,7:U,11:U,22:M,26:M,32:M,41:M,54:M,55:M,60:M,72:U,74:U,78:U,83:U,87:U,98:U,108:U,109:U,110:U,117:U,119:U,134:M,141:M,142:M,158:M,161:M,163:M,168:M,176:M,181:M,187:M,191:M,194:M,199:M,201:M,204:M,207:M
1	757144	757343	1	read3	1	1	1	3:U,14:M,18:M,24:M,33:M,46:M,47:M,52:M,64:U,66:U,70:U,75:U,79:U,90:U,100:U,101:U,102:U,109:U,111:U,126:U,133:U,134:U,150:M,153:M,155:M,160:M,168:M,173:M,179:M,183:M,186:M,191:M,193:M,196:M,199:M
1	757280	757570	1	read31	7	6.66667	6.66667	14:M,17:M,19:M,24:M,32:M,37:M,43:M,47:M,50:M,55:M,57:M,60:M,63:M,77:M,79:M,84:M,91:M,92:M,126:M,128:M,133:M,137:M,145:M,161:M,164:M,168:M,176:M,188:M,218:M,224:M,241:M,243:M,248:M,267:U,268:U
1	757220	757436	1	read13	4	3	0.12877	3:U,14:U,24:M,25:M,26:M,33:M,35:M,50:M,57:M,58:M,74:M,77:M,79:M,84:M,92:M,97:M,103:M,107:M,110:M,115:M,117:M,120:M,123:M,137:U,139:U,144:U,151:U,152:U,186:M,188:M,193:M,197:M,205:M
1	757198	757439	1	read11	5	5	4.08205	10:U,12:U,16:U,21:U,25:U,36:U,46:U,47:U,48:U,55:U,57:U,72:U,79:U,80:U,96:M,99:M,101:M,106:M,114:M,119:M,125:M,129:M,132:M,137:M,139:M,142:M,145:M,159:U,161:U,166:U,173:U,174:U,208:M,210:M,215:M,219:M,227:M
1	757158	757448	1	read7	8	8	8	0:M,4:M,10:M,19:M,32:M,33:M,38:M,50:U,52:U,56:U,61:U,65:U,76:U,86:U,87:U,88:U,95:U,97:U,112:M,119:M,120:M,136:M,139:M,141:M,146:M,154:M,159:M,165:M,169:M,172:M,177:M,179:M,182:M,185:M,199:M,201:M,206:M,213:M,214:M,248:M,250:M,255:M,259:M,267:M,283:M,286:M,290:M
1	757262	757465	1	read26	3	3	0.145707	8:M,15:M,16:M,32:M,35:M,37:M,42:M,50:M,55:M,61:M,65:M,68:M,73:M,75:M,78:M,81:M,95:U,97:U,102:U,109:U,110:U,144:M,146:M,151:M,155:M,163:M,179:M,182:M,186:M,194:M
1	757284	757534	1	read32	2	2	0.0148695	10:M,13:M,15:M,20:M,28:M,33:M,39:M,43:M,46:M,51:M,53:M,56:M,59:M,73:U,75:U,80:U,87:U,88:U,122:M,124:M,129:M,133:M,141:M,157:U,160:U,164:U,172:U,184:U,214:M,220:M,237:M,239:M,244:M
1	757377	757614	1	read46	4	5	0.0687285	29:M,31:M,36:M,40:M,48:M,64:M,67:M,71:M,79:M,91:M,121:M,127:M,144:M,146:M,151:M,170:U,171:U,201:U,203:U,212:U,218:U,219:U,221:U,228:U,235:U
1	757242	757441	1	read22	1	1	0.117064	2:M,3:M,4:M,11:M,13:M,28:M,35:M,36:M,52:M,55:M,57:M,62:M,70:M,75:M,81:M,85:M,88:M,93:M,95:M,98:M,101:M,115:U,117:U,122:U,129:U,130:U,164:M,166:M,171:M,175:M,183:M,199:M
1	757248	757447	1	read24	1	1	0.535302	5:U,7:U,22:U,29:U,30:U,46:M,49:M,51:M,56:M,64:M,69:M,75:M,79:M,82:M,87:M,89:M,92:M,95:M,109:U,111:U,116:U,123:U,124:U,158:M,160:M,165:M,169:M,177:M,193:U,196:U
1	757279	757509	1	read30	2	2	0	15:M,18:M,20:M,25:M,33:M,38:M,44:M,48:M,51:M,56:M,58:M,61:M,64:M,78:U,80:U,85:U,92:U,93:U,127:M,129:M,134:M,138:M,146:M,162:M,165:M,169:M,177:M,189:U,219:U,225:U
1	757295	757527	1	read33	3	3	3	2:M,4:M,9:M,17:M,22:M,28:M,32:M,35:M,40:M,42:M,45:M,48:M,62:U,64:U,69:U,76:U,77:U,111:M,113:M,118:M,122:M,130:M,146:M,149:M,153:M,161:M,173:M,203:M,209:M,226:M,228:M
1	757270	757469	1	read29	1	1	0.455333	0:M,7:M,8:M,24:M,27:M,29:M,34:M,42:M,47:M,53:M,57:M,60:M,65:M,67:M,70:M,73:M,87:U,89:U,94:U,101:U,102:U,136:M,138:M,143:M,147:M,155:M,171:M,174:M,178:M,186:M,198:M
1	757352	757561	1	read42	2	1.66667	0.0526316	5:U,7:U,12:U,19:U,20:U,54:M,56:M,61:M,65:M,73:M,89:M,92:M,96:M,104:M,116:M,146:M,152:M,169:M,171:M,176:M,195:M,196:M
