chr	start	end	cid	pid	abundance	methylpat
0	757121	757347	1	1	0.617906	2:U,3:U,4:U,6:U,7:U,9:U,11:U,13:U,15:U,16:U,17:U,19:U,21:U,22:U,23:U,24:U,28:U,30:U,32:U,38:U,40:U,41:U,42:U,43:U,49:U,54:U,56:U,58:U,59:U,60:U,63:U,64:U,69:U,70:U,80:M,82:M,87:M,88:M,92:M,94:M,95:M,96:M,97:M,99:M,103:M,105:M,106:M,108:M,110:M,115:M,117:M,119:M,121:M,122:M,123:M,124:M,129:M,132:M,133:M,135:M,140:M,143:M,146:M,147:M,157:M,158:M,159:M,162:M,163:M,166:M,169:M,171:M,172:M,173:M,175:M,183:M,184:M,188:M,189:M,193:M,199:M,200:M,210:M,214:M,215:M,216:M,218:M,220:M,223:M,224:M
0	757121	757347	1	2	0.592	2:U,3:U,4:U,6:U,7:U,9:U,11:U,13:U,15:U,16:U,17:U,19:U,21:U,22:U,23:U,24:U,28:U,30:U,32:U,38:U,40:U,41:U,42:U,43:U,49:U,54:U,56:U,58:U,59:U,60:U,63:U,64:U,69:U,70:U,80:U,82:U,87:U,88:U,92:U,94:U,95:U,96:U,97:U,99:U,103:U,105:U,106:U,108:U,110:U,115:U,117:U,119:U,121:U,122:U,123:U,124:U,129:U,132:U,133:U,135:U,140:U,143:U,146:U,147:U,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:U,214:U,215:U,216:U,218:U,220:U,223:U,224:U,225:U
0	757121	757347	1	3	0.55	4:M,6:M,7:M,9:M,11:M,13:M,15:M,16:M,17:M,19:M,21:M,22:M,23:M,24:M,28:M,30:M,32:M,38:M,40:M,41:M,42:M,43:M,49:M,54:M,56:M,58:M,59:M,60:M,63:M,64:M,69:M,70:M,80:M,82:M,87:M,88:M,92:M,94:M,95:M,96:M,97:M,99:M,103:M,105:M,106:M,108:M,110:M,115:M,117:M,119:M,121:M,122:M,123:M,124:M,129:U,132:U,133:U,135:U,140:U,143:U,146:U,147:U,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:U,214:U,215:U,216:U,218:U,220:U,223:U,224:U,225:U
0	757121	757347	1	4	0.271	2:U,3:U,4:U,6:U,7:U,9:U,11:U,13:U,15:U,16:U,17:U,19:U,21:U,22:U,23:U,24:U,28:U,30:U,32:U,38:U,40:U,41:U,42:U,43:U,49:U,54:U,56:U,58:U,59:U,60:U,63:U,64:U,69:U,70:U,80:M,82:M,87:M,88:M,92:M,94:M,95:M,96:M,97:M,99:M,103:M,105:M,106:M,108:M,110:M,115:M,117:M,119:M,121:M,122:M,123:M,124:M,129:M,132:M,133:M,135:M,140:U,143:U,146:U,147:U,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:M,214:M
0	757121	757347	1	5	0.25	4:M,6:M,7:M,9:M,11:M,13:M,15:M,16:M,17:M,19:M,21:M,22:M,23:M,24:M,28:M,30:M,32:M,38:M,40:M,41:M,42:M,43:M,49:M,54:M,56:M,58:M,59:M,60:M,63:M,64:M,69:M,70:M,80:U,82:U,87:U,88:U,92:U,94:U,95:U,96:U,97:U,99:U,103:U,105:U,106:U,108:U,110:U,115:U,117:U,119:U,121:U,122:U,123:U,124:U,129:U,132:U,133:U,135:U,140:U,143:U,146:U,147:U,157:M,158:M,159:M,162:M,163:M,166:M,169:M,171:M,172:M,173:M,175:M,183:M,184:M,188:M,189:M,193:M,199:M,200:M,210:M,214:M,215:M,216:M,218:M,220:M,223:M,224:M
0	757121	757347	1	6	0.208	2:U,3:U,4:U,6:U,7:U,9:U,11:U,13:U,15:U,16:U,17:U,19:U,21:U,22:U,23:U,24:U,28:U,30:U,32:U,38:U,40:U,41:U,42:U,43:U,49:U,54:U,56:U,58:U,59:U,60:U,63:U,64:U,69:U,70:U,80:M,82:M,87:M,88:M,92:M,94:M,95:M,96:M,97:M,99:M,103:M,105:M,106:M,108:M,110:M,115:M,117:M,119:M,121:M,122:M,123:M,124:M,129:M,132:M,133:M,135:M,140:M,143:M,146:M,147:M,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:U,214:U,215:U,216:U,218:U,220:U,223:U,224:U,225:U
0	757121	757347	1	7	0.15	4:M,6:M,7:M,9:M,11:M,13:M,15:M,16:M,17:M,19:M,21:M,22:M,23:M,24:M,28:M,30:M,32:M,38:M,40:M,41:M,42:M,43:M,49:M,54:M,56:M,58:M,59:M,60:M,63:M,64:M,69:M,70:M,80:U,82:U,87:M,88:M,92:M,94:M,95:M,96:M,97:M,99:M,103:M,105:M,106:M,108:M,110:M,115:M,117:M,119:M,121:M,122:M,123:M,124:M,129:M,132:M,133:M,135:M,140:M,143:M,146:M,147:M,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:M,214:M
0	757121	757347	1	8	0.149	2:U,3:U,4:U,6:U,7:U,9:U,11:U,13:U,15:U,16:U,17:U,19:U,21:U,22:U,23:U,24:U,28:U,30:U,32:U,38:U,40:U,41:U,42:U,43:U,49:U,54:U,56:U,58:U,59:U,60:U,63:U,64:U,69:U,70:U,80:U,82:U,87:U,88:U,92:U,94:U,95:U,96:U,97:U,99:U,103:U,105:U,106:U,108:U,110:U,115:U,117:U,119:U,121:U,122:U,123:U,124:U,129:M,132:M,133:M,135:M,140:M,143:M,146:M,147:M,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:U,214:U,215:U,216:U,218:U,220:U,223:U,224:U,225:U
0	757121	757347	1	9	0.148	4:M,6:M,7:M,9:M,11:M,13:M,15:M,16:M,17:M,19:M,21:M,22:M,23:M,24:M,28:M,30:M,32:M,38:M,40:M,41:M,42:M,43:M,49:M,54:M,56:M,58:M,59:M,60:M,63:M,64:M,69:M,70:M,80:M,82:M,87:U,88:U,92:U,94:U,95:U,96:U,97:U,99:U,103:U,105:U,106:U,108:U,110:U,115:U,117:U,119:U,121:U,122:U,123:U,124:U,129:U,132:U,133:U,135:U,140:U,143:U,146:U,147:U,157:U,158:U,159:U,162:U,163:U,166:M,169:M,171:M,172:M,173:M,175:M,183:M,184:M,188:M,189:M,193:M,199:M,200:M,210:M,214:M,215:M,216:M,218:M,220:M,223:M,224:M
0	757121	757347	1	10	0.102	4:M,6:M,7:M,9:M,11:M,13:M,15:M,16:M,17:M,19:M,21:M,22:M,23:M,24:M,28:M,30:M,32:M,38:M,40:M,41:M,42:M,43:M,49:M,54:M,56:M,58:M,59:M,60:M,63:M,64:M,69:U,70:U,80:U,82:U,87:U,88:U,92:U,94:U,95:U,96:U,97:U,99:U,103:U,105:U,106:U,108:U,110:U,115:U,117:U,119:U,121:U,122:U,123:U,124:U,129:M,132:M,133:M,135:M,140:M,143:M,146:M,147:M,157:U,158:U,159:U,162:U,163:U,166:U,169:U,171:U,172:U,173:U,175:U,183:U,184:U,188:U,189:U,193:U,199:U,200:U,210:U,214:U,215:U,216:U,218:U,220:U,223:U,224:U,225:U
