chr	start	end	cid	pid	abundance	methylpat	regions
1	11006910	11024417	1	1	0.0408163	935:U,959:U,979:U,1706:U,1725:U,1737:U,1952:U,2032:U,2042:U,2109:M,2215:U,2386:M,2557:M,2859:M,3193:M,3241:U,3264:U,3375:U,3407:U,3749:M,3823:M,3830:M,4400:U,4435:M,4475:U,4625:M,4671:M,4735:U,4757:U,6338:U,6655:M,6663:M,6680:M,6731:M,7263:U,7285:U,7347:M,7462:M,7483:U,7534:U,7538:U,7547:U,7604:U,7673:M,7681:M,7694:M,7700:M,7797:U,7826:M,7834:M,7884:U,7903:U,7984:M,7996:M,8059:M,8116:U,8121:U,8129:U,8132:U,8134:U,8139:U,8147:U,8154:U,8157:U,8168:U,8171:U,8174:U,8183:U,8191:U,8210:U,8216:U,8224:U,8255:U,8258:U,8282:U,9407:M,9415:M,9427:M,9785:U,10224:M,10259:U,10299:U,10449:U,10528:M,10559:U,10670:U,11288:M,12316:U,12772:U,12816:U,12944:M,13192:U,13795:U,13808:U,14637:M,15022:M,16515:M,17095:U,17186:M,17418:U	0,164,165,175,182,290,306,311,332,348,349,364,368,386,387,412,424,442,461,481,514,540,576,586,593,602,604,608,616,629,635,683,695,706,713,796,802,814,819,823,835,846,855,872,875,881,890,891,1164,1174,1210,1215,1217,1224,1235,1311,1318,1334,1340,1346,1352,1362,1373,1393,1400,1407,1421,1424,1429,1445,1453,1466,1469,1471,1482,1486,1489,1498,1503,1505,1510,1515,1536,1542,1555,1559,1762,1788,1833,1857,1913,1919,1927,1936,1940,1949,1960,1984,1997,1999,2021,2118,2132,2316,2343,2398,2407,2416,2418,2440,2464,2486,2570,2583,2585,2706,2723,2778,2798,3050,3066,3136,3160,3176,3195
1	11006910	11024417	1	2	0.0339851	935:U,959:M,979:M,1706:U,1725:U,1737:U,1952:M,2032:M,2042:M,2109:U,2215:U,2386:M,2557:M,2859:M,3193:M,3241:M,3264:M,3375:M,3407:M,3749:M,3823:U,3830:U,4400:M,4435:U,4475:U,4625:U,4671:M,4735:M,4757:M,6338:M,6655:U,6663:U,6680:U,6731:M,7263:M,7285:U,7347:U,7462:M,7483:U,7534:M,7538:M,7547:M,7604:U,7673:M,7681:M,7694:M,7700:M,7797:M,7826:U,7834:U,7884:U,7903:U,7984:M,7996:M,8059:U,8116:M,8121:M,8129:M,8132:M,8134:M,8139:M,8147:M,8154:M,8157:M,8168:M,8171:M,8174:M,8183:M,8191:M,8210:M,8216:M,8224:M,8255:U,8258:U,8282:M,9407:M,9415:M,9427:M,9785:U,10224:U,10259:U,10299:U,10449:M,10528:U,10559:M,10670:U,11288:M,12316:U,12772:U,12816:M,12944:M,13192:U,13795:M,13808:M,14637:U,15022:M,16515:M,17095:M,17186:U,17418:U	0,164,167,178,182,290,306,311,331,352,362,370,386,387,412,424,442,461,481,514,540,576,582,590,596,601,604,610,617,628,635,683,697,702,713,794,801,815,820,823,835,844,857,870,879,887,891,1168,1174,1211,1220,1224,1235,1312,1331,1335,1340,1346,1352,1371,1375,1381,1388,1393,1400,1407,1421,1422,1428,1442,1447,1453,1466,1469,1471,1488,1490,1497,1507,1509,1516,1523,1525,1530,1532,1544,1552,1559,1762,1788,1833,1857,1915,1920,1929,1936,1940,1949,1959,1982,1993,1997,1999,2021,2118,2132,2316,2343,2398,2405,2413,2416,2418,2440,2464,2486,2571,2573,2585,2707,2723,2778,2798,3050,3066,3139,3161,3176,3195
1	11006910	11024418	1	3	0.0243516	935:U,959:U,979:U,1706:U,1725:U,1737:U,1952:U,2032:U,2042:U,2109:M,2215:U,2386:M,2557:M,2859:M,3193:M,3241:M,3264:U,3375:M,3407:M,3749:M,3823:U,3830:U,4400:U,4435:M,4475:M,4625:M,4671:M,4735:U,4757:U,6338:U,6655:U,6663:U,6680:U,6731:U,7263:U,7285:U,7347:U,7462:M,7483:M,7534:M,7538:M,7547:M,7604:U,7673:M,7681:M,7694:M,7700:M,7797:M,7826:U,7834:U,7884:U,7903:U,7984:U,7996:U,8059:M,8116:M,8121:M,8129:M,8132:M,8134:M,8139:M,8147:M,8154:M,8157:M,8168:M,8171:M,8174:M,8183:M,8191:M,8210:U,8216:U,8224:U,8255:M,8258:M,8282:M,9407:M,9415:M,9427:M,9785:M,10224:M,10259:U,10299:U,10449:M,10528:M,10559:U,10670:U,11288:M,12316:U,12772:M,12816:M,12944:M,13192:U,13795:M,13808:U,14637:M,15022:M,16515:M,17095:U,17186:U,17418:M	0,164,165,175,182,290,306,311,332,348,349,364,368,386,387,412,424,442,461,481,514,540,576,582,597,602,604,610,617,628,635,683,697,702,713,796,802,810,825,835,846,855,872,875,881,890,891,1164,1174,1211,1218,1223,1225,1235,1311,1318,1329,1331,1335,1340,1346,1350,1366,1370,1375,1381,1388,1393,1400,1407,1421,1422,1428,1442,1447,1453,1465,1479,1480,1484,1489,1495,1507,1509,1533,1545,1552,1559,1762,1788,1834,1857,1913,1919,1927,1936,1940,1949,1959,1980,1984,1997,1999,2021,2118,2132,2316,2343,2403,2413,2416,2418,2440,2464,2486,2571,2583,2585,2706,2723,2778,2798,3050,3066,3136,3161,3176,3196
1	11006910	11024417	1	4	0.0190185	935:U,959:M,979:M,1706:U,1725:U,1737:U,1952:M,2032:U,2042:U,2109:M,2215:U,2386:M,2557:U,2859:M,3193:M,3241:U,3264:M,3375:M,3407:M,3749:M,3823:U,3830:U,4400:M,4435:M,4475:M,4625:U,4671:U,4735:M,4757:U,6338:M,6655:U,6663:U,6680:U,6731:U,7263:M,7285:U,7347:M,7462:M,7483:M,7534:U,7538:U,7547:U,7604:U,7673:U,7681:U,7694:U,7700:U,7797:M,7826:M,7834:M,7884:U,7903:U,7984:M,7996:M,8059:U,8116:U,8121:U,8129:U,8132:U,8134:U,8139:U,8147:U,8154:U,8157:U,8168:U,8171:U,8174:U,8183:U,8191:U,8210:U,8216:U,8224:U,8255:M,8258:M,8282:M,9407:M,9415:M,9427:M,9785:M,10224:U,10259:U,10299:U,10449:M,10528:M,10559:M,10670:U,11288:U,12316:U,12772:U,12816:M,12944:M,13192:M,13795:M,13808:U,14637:U,15022:U,16515:U,17095:M,17186:U,17418:U	0,164,167,178,182,290,306,311,331,349,364,368,386,387,412,424,442,463,481,514,540,576,586,588,594,601,604,610,617,628,635,683,697,702,713,794,800,812,825,835,844,860,868,871,878,890,891,1168,1174,1211,1218,1223,1225,1235,1312,1334,1340,1346,1350,1364,1373,1393,1399,1405,1408,1422,1430,1444,1445,1453,1466,1469,1471,1488,1490,1496,1505,1510,1515,1526,1529,1533,1545,1552,1559,1762,1788,1834,1857,1915,1920,1929,1936,1940,1949,1959,1980,1987,1993,1997,1999,2021,2119,2132,2316,2343,2398,2405,2413,2416,2418,2440,2465,2486,2571,2583,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3195
1	11006910	11024418	1	5	0.0154235	935:M,959:U,979:U,1706:U,1725:U,1737:U,1952:M,2032:M,2042:M,2109:U,2215:U,2386:M,2557:M,2859:M,3193:U,3241:U,3264:M,3375:M,3407:M,3749:U,3823:U,3830:U,4400:U,4435:U,4475:U,4625:M,4671:U,4735:U,4757:M,6338:M,6655:U,6663:U,6680:U,6731:U,7263:U,7285:M,7347:U,7462:U,7483:M,7534:M,7538:M,7547:M,7604:M,7673:U,7681:U,7694:U,7700:U,7797:M,7826:M,7834:M,7884:M,7903:M,7984:U,7996:U,8059:M,8116:M,8121:M,8129:M,8132:M,8134:M,8139:M,8147:M,8154:M,8157:M,8168:M,8171:M,8174:M,8183:U,8191:U,8210:U,8216:U,8224:U,8255:M,8258:M,8282:U,9407:M,9415:M,9427:M,9785:M,10224:M,10259:U,10299:M,10449:U,10528:M,10559:U,10670:M,11288:U,12316:U,12772:U,12816:M,12944:U,13192:M,13795:M,13808:M,14637:U,15022:U,16515:U,17095:M,17186:U,17418:M	0,163,169,175,182,290,306,311,331,352,362,370,386,387,412,424,442,461,481,514,540,579,592,594,601,604,610,617,628,635,693,701,702,713,796,811,820,823,835,846,858,868,886,887,891,1168,1174,1211,1218,1223,1225,1235,1311,1320,1330,1335,1340,1343,1356,1361,1370,1375,1382,1408,1422,1430,1454,1479,1480,1484,1489,1495,1507,1529,1531,1543,1555,1559,1762,1788,1834,1857,1913,1919,1932,1938,1943,1949,1960,1984,1997,1998,2021,2119,2132,2316,2343,2398,2405,2413,2416,2420,2440,2465,2486,2571,2573,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3196
1	11006910	11024418	1	6	0.00975229	935:M,959:U,979:M,1706:M,1725:M,1737:M,1952:U,2032:U,2042:U,2109:U,2215:U,2386:M,2557:U,2859:U,3193:U,3241:M,3264:U,3375:U,3407:M,3749:U,3823:U,3830:U,4400:U,4435:M,4475:U,4625:M,4671:U,4735:M,4757:U,6338:M,6655:M,6663:M,6680:M,6731:U,7263:M,7285:U,7347:U,7462:U,7483:U,7534:U,7538:U,7547:U,7604:U,7673:U,7681:U,7694:M,7700:M,7797:U,7826:M,7834:M,7884:U,7903:U,7984:M,7996:M,8059:M,8116:M,8121:M,8129:M,8132:M,8134:M,8139:M,8147:M,8154:M,8157:M,8168:M,8171:M,8174:M,8183:M,8191:M,8210:M,8216:M,8224:M,8255:M,8258:M,8282:U,9407:M,9415:M,9427:M,9785:U,10224:U,10259:M,10299:U,10449:M,10528:U,10559:M,10670:M,11288:U,12316:U,12772:U,12816:M,12944:U,13192:M,13795:M,13808:U,14637:U,15022:U,16515:U,17095:M,17186:U,17418:M	0,163,170,178,182,288,292,311,332,348,349,361,370,386,387,412,424,442,463,481,515,540,579,583,597,602,604,608,628,635,693,701,702,713,796,802,814,819,823,835,846,858,868,871,878,890,891,1168,1174,1210,1215,1222,1225,1235,1312,1331,1335,1340,1343,1357,1373,1393,1399,1421,1424,1429,1445,1453,1466,1469,1471,1482,1486,1489,1495,1507,1509,1516,1523,1543,1555,1559,1762,1788,1833,1857,1915,1918,1934,1940,1949,1959,1982,1993,1997,1998,2021,2119,2132,2316,2343,2398,2405,2413,2416,2420,2440,2465,2486,2571,2583,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3196
1	11006910	11024418	1	7	0.00808711	935:U,959:U,979:U,1706:M,1725:M,1737:M,1952:U,2032:U,2042:U,2109:U,2215:U,2386:M,2557:U,2859:U,3193:M,3241:U,3264:M,3375:U,3407:U,3749:M,3823:M,3830:M,4400:U,4435:U,4475:U,4625:M,4671:U,4735:M,4757:U,6338:M,6655:U,6663:U,6680:U,6731:U,7263:U,7285:M,7347:M,7462:M,7483:M,7534:M,7538:M,7547:M,7604:U,7673:U,7681:U,7694:M,7700:M,7797:U,7826:M,7834:M,7884:M,7903:M,7984:M,7996:U,8059:M,8116:U,8121:U,8129:U,8132:U,8134:U,8139:U,8147:U,8154:U,8157:U,8168:U,8171:U,8174:U,8183:U,8191:U,8210:U,8216:U,8224:U,8255:U,8258:U,8282:M,9407:M,9415:M,9427:M,9785:M,10224:U,10259:M,10299:M,10449:U,10528:U,10559:M,10670:M,11288:M,12316:U,12772:M,12816:M,12944:U,13192:M,13795:M,13808:U,14637:U,15022:U,16515:U,17095:M,17186:U,17418:M	0,164,165,175,182,288,292,311,332,348,349,361,370,386,387,412,424,442,463,481,515,540,576,586,588,594,601,604,608,616,629,635,683,695,706,713,796,811,820,823,835,846,858,868,871,878,890,891,1168,1174,1211,1218,1223,1225,1235,1311,1320,1334,1340,1346,1350,1366,1370,1375,1381,1388,1393,1399,1421,1424,1429,1441,1454,1468,1484,1489,1498,1503,1505,1510,1515,1544,1552,1559,1762,1788,1834,1857,1915,1918,1931,1937,1943,1949,1960,1979,1982,1993,1997,1998,2021,2118,2132,2316,2343,2403,2413,2416,2420,2440,2465,2486,2571,2583,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3196
1	11006910	11024418	1	8	0.00706619	935:M,959:U,979:U,1706:M,1725:U,1737:U,1952:U,2032:U,2042:U,2109:M,2215:U,2386:U,2557:U,2859:U,3193:U,3241:U,3264:M,3375:U,3407:U,3749:M,3823:U,3830:U,4400:M,4435:U,4475:U,4625:M,4671:M,4735:U,4757:U,6338:M,6655:M,6663:M,6680:M,6731:U,7263:M,7285:U,7347:U,7462:U,7483:M,7534:U,7538:U,7547:U,7604:U,7673:M,7681:M,7694:M,7700:M,7797:M,7826:M,7834:M,7884:M,7903:M,7984:M,7996:M,8059:U,8116:M,8121:M,8129:M,8132:M,8134:M,8139:M,8147:M,8154:M,8157:M,8168:U,8171:U,8174:U,8183:U,8191:U,8210:U,8216:U,8224:U,8255:M,8258:M,8282:U,9407:U,9415:U,9427:U,9785:M,10224:U,10259:M,10299:M,10449:U,10528:U,10559:M,10670:M,11288:U,12316:U,12772:U,12816:M,12944:M,13192:M,13795:M,13808:U,14637:U,15022:U,16515:U,17095:U,17186:U,17418:M	0,163,169,175,182,288,306,311,332,348,349,364,368,386,387,412,425,442,463,481,515,540,579,592,594,601,604,608,616,629,635,683,697,702,713,794,801,815,820,823,835,846,855,872,875,881,890,891,1168,1174,1210,1215,1222,1225,1235,1312,1331,1335,1340,1343,1356,1373,1393,1400,1407,1421,1422,1430,1454,1468,1470,1471,1488,1490,1497,1526,1529,1531,1543,1555,1559,1763,1788,1834,1857,1915,1918,1931,1937,1943,1949,1960,1979,1982,1993,1997,1998,2021,2119,2132,2316,2343,2398,2405,2413,2416,2418,2440,2465,2486,2571,2583,2585,2707,2723,2779,2798,3051,3066,3136,3161,3176,3196
1	11006910	11024418	1	9	0.00498695	935:M,959:U,979:M,1706:U,1725:U,1737:U,1952:M,2032:U,2042:U,2109:M,2215:U,2386:U,2557:M,2859:M,3193:U,3241:M,3264:U,3375:U,3407:M,3749:U,3823:U,3830:U,4400:M,4435:M,4475:U,4625:U,4671:U,4735:U,4757:M,6338:M,6655:U,6663:U,6680:U,6731:U,7263:M,7285:U,7347:M,7462:M,7483:M,7534:U,7538:U,7547:U,7604:U,7673:M,7681:M,7694:M,7700:M,7797:M,7826:U,7834:U,7884:U,7903:U,7984:M,7996:M,8059:M,8116:U,8121:U,8129:U,8132:U,8134:U,8139:U,8147:U,8154:U,8157:U,8168:U,8171:U,8174:U,8183:U,8191:U,8210:M,8216:M,8224:M,8255:U,8258:U,8282:M,9407:M,9415:M,9427:M,9785:U,10224:U,10259:U,10299:U,10449:U,10528:U,10559:M,10670:M,11288:U,12316:U,12772:U,12816:M,12944:U,13192:M,13795:U,13808:U,14637:U,15022:U,16515:U,17095:M,17186:U,17418:M	0,163,170,178,182,290,306,311,331,349,364,368,386,387,412,425,442,461,481,514,540,579,583,597,602,604,608,628,635,693,701,702,713,794,800,819,823,835,844,860,868,886,887,891,1168,1174,1211,1218,1223,1225,1235,1312,1334,1340,1346,1350,1364,1373,1393,1400,1407,1421,1422,1428,1442,1447,1453,1466,1469,1471,1482,1486,1489,1498,1503,1505,1510,1532,1544,1552,1559,1762,1788,1833,1857,1915,1920,1929,1936,1940,1949,1960,1979,1982,1993,1997,1998,2021,2119,2132,2316,2343,2398,2405,2413,2416,2420,2440,2465,2486,2570,2583,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3196
1	11006910	11024417	1	10	0.00470815	935:U,959:M,979:M,1706:M,1725:M,1737:M,1952:M,2032:M,2042:M,2109:U,2215:U,2386:U,2557:U,2859:U,3193:M,3241:M,3264:U,3375:M,3407:M,3749:U,3823:M,3830:M,4400:M,4435:M,4475:M,4625:M,4671:M,4735:U,4757:M,6338:M,6655:M,6663:M,6680:M,6731:M,7263:U,7285:M,7347:U,7462:M,7483:U,7534:M,7538:M,7547:M,7604:M,7673:U,7681:U,7694:U,7700:U,7797:M,7826:M,7834:M,7884:U,7903:U,7984:M,7996:U,8059:M,8116:U,8121:U,8129:U,8132:U,8134:U,8139:U,8147:U,8154:U,8157:U,8168:U,8171:U,8174:U,8183:M,8191:M,8210:M,8216:M,8224:M,8255:U,8258:U,8282:M,9407:U,9415:U,9427:U,9785:M,10224:U,10259:M,10299:U,10449:U,10528:U,10559:M,10670:M,11288:U,12316:M,12772:U,12816:M,12944:U,13192:M,13795:M,13808:U,14637:U,15022:U,16515:U,17095:M,17186:U,17418:U	0,164,167,178,182,288,292,311,331,352,362,370,386,387,412,425,442,463,481,515,540,576,582,597,602,604,610,617,628,635,693,706,713,794,800,812,825,835,846,855,872,886,887,891,1168,1174,1210,1215,1217,1224,1235,1311,1320,1330,1335,1340,1346,1352,1371,1375,1382,1408,1422,1430,1444,1445,1453,1466,1484,1489,1498,1503,1505,1530,1532,1544,1552,1559,1763,1788,1834,1857,1915,1918,1934,1940,1949,1960,1979,1982,1993,1997,1998,2021,2119,2132,2319,2343,2398,2405,2413,2416,2420,2440,2465,2486,2571,2583,2585,2707,2723,2779,2798,3051,3066,3139,3161,3176,3195
