chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
3	3000055	3000104	1	0	1	1	1	*
3	3000136	3000742	2	0	60	46	46	38:M
3	3000755	3001019	3	0	10	9	9	59:U
3	3001027	3001076	4	0	1	1	1	2:M
3	3001079	3001193	5	0	6	7	7	*
3	3001197	3001246	6	0	1	1	1	4:M,49:U
3	3001294	3001431	7	0	9	7	7	56:M,137:M
3	3001629	3001919	8	0	47	37	37	*
3	3001988	3002091	9	0	3	4	4	*
3	3002160	3002247	10	0	3	4	4	*
3	3002262	3002489	11	0	14	13	13	*
3	3002447	3002511	11	22	3	3	0.0702703	47:M
3	3002465	3002521	11	25	3	4	0	29:U,50:M
3	3002548	3002597	12	0	1	1	1	11:U
3	3002598	3002754	13	0	6	7	7	*
3	3002770	3002872	14	0	3	4	4	79:M,82:M
3	3002989	3003084	15	0	2	2	2	27:M,87:U
3	3003050	3003247	15	29	23	14	14	26:M
3	3003338	3003421	16	0	4	5	5	*
3	3003464	3003669	17	0	8	9	9	113:M
3	3003748	3003797	18	0	1	1	1	*
3	3003823	3003950	19	0	6	6	6	27:M
3	3003969	3004018	20	0	2	2	2	*
3	3004051	3004481	21	0	33	29	29	194:M
3	3004507	3004581	22	0	15	9	9	*
3	3005188	3005237	23	0	1	1	1	*
3	3005249	3005329	24	0	2	2.25	2.25	*
3	3005407	3005508	25	0	3	4	4	*
3	3005525	3005605	26	0	3	4	4	*
3	3005615	3005672	27	0	3	4	4	*
3	3005679	3005841	28	0	6	7	7	*
3	3006001	3006076	29	0	2	2.25	2.25	*
3	3006113	3006162	30	0	1	1	1	23:U
3	3006260	3006313	31	0	2	2.25	2.25	*
3	3006392	3006546	32	0	6	7	7	15:M
3	3006610	3006659	33	0	1	1	1	*
3	3006674	3006723	34	0	1	1	1	*
3	3006744	3007163	35	0	16	16	16	189:M,202:M,409:M,418:M
3	3007172	3007489	36	0	21	21	21	*
3	3007491	3007707	37	0	11	12	12	*
3	3007714	3007845	38	0	5	6	6	*
3	3007871	3008036	39	0	6	6	6	123:M
3	3007983	3008032	39	34	1	1	1	11:U
3	3008023	3008377	39	31	25	25	0.0644737	352:M
3	3008441	3008608	40	0	7	8	8	*
3	3008609	3008658	41	0	1	1	1	37:M
3	3008667	3008721	42	0	2	2.25	2.25	*
3	3009216	3009265	43	0	1	1	1	22:M
3	3009278	3009352	44	0	2	2.25	2.25	*
3	3009378	3009479	45	0	3	4	4	*
3	3009483	3009721	46	0	78	52	52	237:M
3	3009694	3009743	46	37	1	4	4	26:U
3	3009809	3009978	47	0	14	14	14	17:U
3	3010004	3010053	48	0	1	1	1	*
3	3010055	3010104	49	0	1	1	1.39763	*
3	3010076	3010140	49	20	3	3	3	34:M
3	3010062	3010146	49	19	2	2	2	48:U
3	3010129	3010178	49	28	1	2	0.0864545	*
3	3010253	3010302	50	0	1	1	1	7:M
3	3010301	3010350	50	20	1	2	0	3:U
3	3010275	3010324	50	19	1	1	0.0454545	29:M
3	3010353	3010604	51	0	26	26	26	*
3	3010583	3010632	51	32	1	1	0.113043	48:U
3	3010599	3010712	51	35	7	8	0	32:M
3	3010854	3011045	52	0	13	13	13	*
3	3011084	3011237	53	0	19	17	17	*
3	3011241	3011450	54	0	11	11	11	*
3	3011483	3011800	55	0	18	18	18	*
3	3011835	3011884	56	0	1	1	1	*
3	3011935	3011984	57	0	1	1	1	2:M
3	3011993	3012162	58	0	10	11	11	*
3	3012220	3012362	59	0	13	14	14	*
3	3012431	3012480	60	0	2	2	2	*
3	3012527	3012581	61	0	2	2	2	*
3	3013876	3013925	61	148	1	2	0	12:U
3	3012539	3012612	61	41	2	2	0	46:U
3	3012572	3013904	61	44	184	144	0.0444444	13:M,439:M,452:M,524:M,720:M,765:M,1269:M,1276:M,1316:M
3	3013947	3014076	62	0	9	9	9	*
3	3014035	3014118	62	145	3	3	3	47:M,63:M
3	3014046	3014095	62	143	1	1	1.86667	36:U
3	3014090	3014291	62	141	20	20	0.0969697	8:M,115:M
3	3014304	3014429	63	0	7	8	8	53:M
3	3014445	3014570	64	0	6	7	7	*
3	3014571	3014727	65	0	6	6	6	108:M
3	3014660	3014728	65	142	3	3	3	19:U
3	3014694	3014796	65	124	6	7	0.137016	*
3	3014839	3014888	66	0	1	1	1	7:M
3	3014969	3015190	67	0	10	11	11	*
3	3015225	3015274	68	0	1	1	1	*
3	3015315	3015498	69	0	14	14	14	*
3	3015471	3015522	69	125	2	2	0.0897436	38:U
3	3015494	3015543	69	123	1	2	0	15:M
3	3015686	3015756	70	0	2	2	2	*
3	3015716	3015914	70	123	9	10	0.0666667	43:M
3	3015719	3015768	70	132	1	1	0	40:U
3	3015940	3016030	71	0	4	5	5	*
3	3016041	3016344	72	0	22	23	23	182:M,222:M
3	3016346	3016410	73	0	4	5	5	*
3	3016414	3016501	74	0	3	4	4	4:U
3	3016564	3017115	75	0	54	52	52	265:M,485:M,516:M
3	3017133	3017182	76	0	1	1	1	*
3	3017259	3017329	77	0	10	7.13333	3.18367	10:M,12:M,16:M,22:M,45:M
3	3017270	3017319	77	102	1	1	0.55	1:U,5:M,11:U,34:U
3	3017272	3017329	77	104	2	1.33333	0	3:M,9:U,32:M
3	3017276	3017325	77	108	1	0.4	0	5:M,28:U
3	3017283	3017346	77	113	11	7	7	21:M
3	3017292	3017341	77	118	1	1	1	12:U
3	3017332	3017387	77	41	9	6	0.326531	48:M
3	3017336	3017385	77	149	1	0.5	0.5	44:U
3	3017341	3017402	77	140	11	6.26667	0	39:M,47:M
3	3017342	3017403	77	121	4	4.66667	0.0326531	38:M,46:U
3	3017341	3017400	77	139	4	2.9	0	39:U,47:M
3	3017340	3017401	77	146	2	2	1.625	40:U,48:U
3	3017353	3017402	77	122	1	0.4	0.125	27:U
3	3017417	3017466	78	0	1	1	1	6:M,36:M
3	3017431	3017480	78	102	1	1	1	22:U,39:U
3	3017437	3017486	78	104	1	2	2	16:U,33:M
3	3017613	3017690	79	0	3	4	4	*
3	3018468	3018544	80	0	5	5	5	22:M,52:M
3	3018597	3018662	81	0	2	2.25	2.25	28:M,65:M
3	3018670	3018719	82	0	1	1	1	35:M
3	3018908	3019077	83	0	13	13	13	1:M,9:M,86:M,101:M,147:M,151:M
3	3019213	3019277	84	0	7	7	7	36:M
3	3019226	3019285	84	146	4	4	4	23:U
3	3019321	3019370	85	0	1	1	1	13:M
3	3019459	3019599	86	0	8	9	9	14:M
3	3019622	3019728	87	0	3	4	4	66:M,86:M
3	3019771	3019829	88	0	5	3	3	6:M,36:M
3	3019774	3019837	88	139	4	3	3	3:M,33:U
3	3019890	3019939	88	111	1	2	2	0:U,26:M
3	3019798	3019847	88	149	1	1	1	9:M,43:M
3	3019823	3019872	88	41	1	1	0.0144231	18:U
3	3019800	3019850	88	102	2	2	1.15385	7:U,41:M
3	3019810	3019926	88	146	6	5	0.198718	31:M,73:U,80:U,106:U
3	3020416	3020465	89	0	1	1	1	30:M
3	3020518	3020593	90	0	4	5	5	3:M,48:M
3	3020604	3020653	91	0	1	0.666667	0.666667	4:U,30:M
3	3020604	3020653	91	146	1	0.666667	0.666667	4:M,30:M
3	3020605	3020654	91	41	1	1	6.55608	3:M,29:U
3	3020650	3020711	91	149	3	3	1.02174	4:M,36:U
3	3020637	3020708	91	102	4	4	4	17:M,49:M
3	3020664	3020734	91	118	2	1.16667	1.16667	22:U,48:U
3	3020666	3020734	91	113	2	1.33333	1.33333	20:U,46:M
3	3020663	3020726	91	121	10	7.02381	3.80203	23:M,49:M
3	3020664	3020723	91	104	3	1.78571	1.78571	22:M,48:U
3	3020712	3020761	91	125	1	0.666667	0.666667	0:U,23:M,37:M
3	3020713	3020762	91	145	1	1	0.0051119	22:M,36:U
3	3020731	3020780	91	123	1	2	0.0479389	4:U,18:U,39:M
3	3020694	3020743	91	116	1	1	0.321429	18:M,41:U
3	3020696	3020748	91	115	2	2	1.17781	16:M,39:M
3	3020727	3020777	91	142	4	2	0.165657	8:M,22:M,43:M
3	3020704	3020753	91	126	1	1	0	8:M,31:U,45:M
3	3020703	3020752	91	112	1	1	1	9:M,32:U,46:U
3	3020705	3020761	91	132	3	2.66667	2.66667	7:M,30:M,44:M
3	3020790	3020839	92	0	1	0.75	0.75	1:M,6:M,16:M,21:M,31:M,46:M
3	3020804	3020853	92	146	1	1.5	1.5	2:U,7:M,17:M,32:M
3	3020932	3021000	93	0	5	5	5	52:M
3	3020979	3021028	93	121	1	1	0.106383	5:M,31:U,40:U
3	3020984	3021043	93	118	14	10	0	0:M,26:M,35:M
3	3021147	3021196	94	0	1	1	1	5:M,18:M,21:M,33:M
3	3021243	3021296	95	0	4	5.25	5.25	*
3	3021332	3021431	96	0	5	6	6	*
3	3021439	3021551	97	0	23	16	16	*
3	3021615	3021664	98	0	1	1	1	*
3	3021683	3021797	99	0	6	7	7	*
3	3021848	3022376	100	0	31	32	32	6:M,344:M,455:M
3	3022425	3022682	101	0	14	13	13	74:M,168:U
3	3022697	3022746	102	0	1	1	1	39:M
3	3022747	3023507	103	0	64	61	61	*
3	3023515	3023609	104	0	4	4	4	*
3	3023571	3023637	104	96	2	1.66667	1.66667	49:U
3	3023588	3023637	104	97	1	0.666667	1.53778	32:M
3	3023633	3023897	104	99	15	15	0.0610546	*
3	3023918	3023967	105	0	1	1	1	*
3	3023978	3024219	106	0	34	30	30	80:M
3	3024328	3024592	107	0	16	17	17	143:M,154:M
3	3024595	3024644	108	0	1	1	1	17:U
3	3024595	3024644	108	134	1	1	1	17:M
3	3024662	3024728	109	0	2	2.25	2.25	*
3	3024791	3024977	110	0	10	11	11	*
3	3025146	3025240	111	0	3	4	4	*
3	3025294	3025343	112	0	1	1	1	*
3	3025384	3025433	113	0	1	1	1	*
3	3025435	3025484	114	0	1	1	1	*
3	3025498	3025697	115	0	18	17	17	59:M
3	3025661	3025710	115	128	1	1	0.104294	48:M
3	3025686	3025769	115	137	3	4	0	23:U,71:M
3	3025811	3025862	116	0	2	2.25	2.25	*
3	3025884	3025980	117	0	5	6	6	*
3	3025984	3026077	118	0	10	9	9	*
3	3026142	3026191	119	0	1	1	1	*
3	3026202	3026297	120	0	2	2	2	94:M
3	3026271	3026320	120	105	1	2	2	25:U
3	3026328	3026420	121	0	5	5	5	7:M,25:M
3	3026431	3026480	122	0	1	1	1	*
3	3026549	3026629	123	0	2	2.25	2.25	*
3	3026636	3026911	124	0	14	15	15	108:M
3	3026916	3026999	125	0	3	4	4	*
3	3027066	3027127	126	0	7	8	8	*
3	3027197	3027257	127	0	2	2.25	2.25	*
3	3027267	3027331	128	0	3	4	4	*
3	3027359	3027445	129	0	7	5	5	*
3	3027419	3027468	129	134	1	1	0.0144928	28:M
3	3027435	3027549	129	136	6	5	5	12:U,97:M
3	3027515	3027564	129	105	1	1	0	17:M,37:U
3	3027527	3027652	129	113	5	6	0.0543478	5:M,25:M
3	3027687	3027796	130	0	7	6	6	*
3	3027807	3027935	131	0	5	6	6	*
3	3028226	3028275	132	0	1	1	1	*
3	3028306	3028362	133	0	2	3	3	17:M
3	3028307	3028356	133	136	1	1	1	16:U
3	3028376	3028440	134	0	2	2.25	2.25	*
3	3028488	3028682	135	0	8	8	8	193:U
3	3028673	3028722	135	148	1	2	2	8:M
3	3028740	3029118	136	0	25	25	25	29:M
3	3029127	3029176	137	0	1	1	1	*
3	3029302	3029351	138	0	1	1	1	*
3	3029353	3029544	139	0	28	19	19	*
3	3029598	3029869	140	0	13	12	12	*
3	3029882	3030003	141	0	4	5	5	65:M,86:M
3	3030008	3030084	142	0	5	6	6	*
3	3030103	3030327	143	0	13	13	13	157:M
3	3030364	3030413	144	0	1	1	1	*
3	3030427	3030476	145	0	1	1	1	*
3	3030515	3030567	146	0	2	2.25	2.25	*
3	3030608	3030861	147	0	9	10	10	179:U
3	3030883	3030949	148	0	2	2.25	2.25	*
3	3030980	3031089	149	0	6	6	6	91:M
3	3031132	3031181	150	0	1	1	1	48:M
3	3031256	3031350	151	0	4	5	5	7:M
3	3031543	3031611	152	0	2	2.25	2.25	8:U
3	3031635	3031821	153	0	9	10	10	*
3	3031989	3032072	154	0	3	3	3	*
3	3032045	3032094	154	136	1	1	1	40:U
3	3032049	3032106	154	113	3	3	1.2961	36:M
3	3032092	3032190	154	105	6	6	0.0514184	*
3	3032227	3032339	155	0	8	9	9	*
3	3032357	3032506	156	0	5	5	5	50:M,134:M
3	3032465	3032529	156	109	2	3	3	26:U
3	3032555	3032646	157	0	3	4	4	72:M
3	3032684	3032912	158	0	23	23	23	*
3	3032913	3032962	159	0	1	1	1	*
3	3033016	3033065	160	0	1	0.75	0.75	3:U
3	3033018	3033067	160	101	1	1.5	1.5	1:M
3	3033076	3033125	161	0	1	1	1	3:M
3	3033079	3033128	161	101	1	1	1	0:U
3	3033091	3033140	161	130	1	2	0.15	*
3	3033259	3033308	162	0	1	1	1	*
3	3033331	3033417	163	0	9	8	8	68:M
3	3033393	3033442	163	94	1	1	1	6:M,26:U
3	3033397	3033464	163	93	3	3	2.1039	2:M,22:M
