pos	unmethyl	 methyl
757123	0.5	0.5
757125	0.5	0.5
757129	0.5	0.5
757136	0.5	0.5
757137	0.5	0.5
757142	0.5	0.5
757143	0.5	0.5
757155	0.8	0.2
757156	0.8	0.2
757158	0.8	0.2
757161	0.8	0.2
757162	0.8	0.2
757169	0.8	0.2
757174	0.8	0.2
757175	0.8	0.2
757176	0.8	0.2
757177	0.8	0.2
757178	0.8	0.2
757183	0.8	0.2
757186	0.8	0.2
757189	0.8	0.2
757193	0.8	0.2
757201	0.8	0.2
757204	0.8	0.2
757215	0.5	0.5
757216	0.5	0.5
757217	0.5	0.5
757221	0.5	0.5
757224	0.5	0.5
757228	0.5	0.5
757229	0.5	0.5
757231	0.5	0.5
757234	0.5	0.5
757236	0.5	0.5
757237	0.5	0.5
757238	0.5	0.5
757242	0.5	0.5
757243	0.5	0.5
757244	0.5	0.5
757248	0.5	0.5
757253	0.5	0.5
757254	0.5	0.5
757260	0.5	0.5
757261	0.5	0.5
757267	0.5	0.5
757270	0.5	0.5
757272	0.5	0.5
757273	0.5	0.5
757278	0.5	0.5
757280	0.5	0.5
757283	0.5	0.5
757286	0.5	0.5
757287	0.5	0.5
757289	0.5	0.5
757290	0.5	0.5
757294	0.5	0.5
757295	0.5	0.5
757299	0.5	0.5
757309	0.1	0.9
757313	0.1	0.9
757316	0.1	0.9
757322	0.1	0.9
757324	0.1	0.9
757325	0.1	0.9
757327	0.1	0.9
757332	0.1	0.9
757333	0.1	0.9
757339	0.1	0.9
757341	0.1	0.9
757342	0.1	0.9
757343	0.1	0.9
757350	0.1	0.9
757351	0.1	0.9
757352	0.1	0.9
757360	0.1	0.9
757362	0.1	0.9
757368	0.1	0.9
757369	0.1	0.9
757372	0.1	0.9
757373	0.1	0.9
757374	0.1	0.9
757377	0.1	0.9
757380	0.1	0.9
757383	0.1	0.9
757388	0.1	0.9
757389	0.1	0.9
757390	0.1	0.9
757392	0.1	0.9
757394	0.1	0.9
757404	0.5	0.5
757405	0.5	0.5
757407	0.5	0.5
757408	0.5	0.5
757410	0.5	0.5
757414	0.5	0.5
757415	0.5	0.5
757419	0.5	0.5
757424	0.5	0.5
757425	0.5	0.5
757428	0.5	0.5
757431	0.5	0.5
757433	0.5	0.5
757436	0.5	0.5
757439	0.5	0.5
757443	0.5	0.5
757444	0.5	0.5
757445	0.5	0.5
757447	0.5	0.5
757456	0.5	0.5
757461	0.5	0.5
757464	0.5	0.5
757465	0.5	0.5
757466	0.5	0.5
757473	0.5	0.5
757475	0.5	0.5
757477	0.5	0.5
757478	0.5	0.5
757489	0.5	0.5
757492	0.5	0.5
757495	0.5	0.5
757496	0.5	0.5
757500	0.5	0.5
757505	0.5	0.5
757521	0.4	0.6
757526	0.4	0.6
757539	1	0
757542	1	0
757546	1	0
757552	1	0
757566	0.7	0.3
757569	0.7	0.3
757570	0.7	0.3
757573	0.7	0.3
757574	0.7	0.3
757576	0.7	0.3
757580	0.7	0.3
757581	0.7	0.3
757583	0.7	0.3
757585	0.7	0.3
757594	0.7	0.3
757602	0.7	0.3
757606	0.7	0.3
757610	0.7	0.3
757615	0.7	0.3
757617	0.7	0.3
757618	0.7	0.3
757620	0.7	0.3
