chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	11006913	11007844	1	0	162	145	148.652	*
1	11019681	11019780	1	2462	1	0.666667	0	1:M,45:M
1	11007748	11007867	1	145	5	5	4.3026	97:M
1	11007754	11007855	1	146	2	2	2	91:U
1	11019685	11019804	1	2464	3	3	3.15366	41:M
1	11007774	11007886	1	152	3	3	1.4132	71:M,95:U
1	11007795	11007939	1	159	2	1.33333	2.77209	50:M,74:M,94:M
1	11007777	11007881	1	153	2	2	1.19848	68:U,92:U
1	11007851	11007968	1	169	4	3	2.29217	18:M,38:M
1	11019727	11019850	1	2470	4	4	9.74392	*
1	11007790	11007918	1	157	4	3.66667	3.66667	55:M,79:U,99:U
1	11007796	11007939	1	161	3	2.33333	2.33333	49:M,73:U,93:M
1	11007795	11007915	1	160	2	1.66667	1.66667	50:U,74:U,94:M
1	11007820	11007919	1	166	1	1	1	25:U,49:U,69:U
1	11007889	11007988	1	175	1	1	0.232664	0:M
1	11019759	11019953	1	2474	12	11	11	95:U
1	11019819	11019918	1	2483	1	1	2.70605	35:M
1	11007875	11007983	1	173	2	2	0.981105	14:U
1	11007867	11007966	1	171	1	1	1.23226	2:U,22:M
1	11007891	11008611	1	176	159	138	114.685	*
1	11019859	11020098	1	2486	30	26	27.8326	*
1	11008518	11008646	1	314	3	3	3	98:U,117:U
1	11008543	11008702	1	316	8	8	13.5863	73:M,92:M,104:M
1	11020014	11020200	1	2512	12	11.6667	11.6667	88:U
1	11020020	11020187	1	2513	7	6.66667	4.20292	82:M
1	11008567	11008721	1	321	3	3	3	49:U,68:U,80:U
1	11008646	11008745	1	328	1	1	0.566027	1:M
1	11020105	11020701	1	2531	85	73	90.3807	*
1	11008650	11008860	1	329	28	27	21.1948	*
1	11020611	11020716	1	2604	2	2	4.18039	94:M
1	11020640	11020797	1	2608	3	3	1.11322	65:U,78:U
1	11008769	11008935	1	356	11	10.6667	10.6667	93:U
1	11008770	11008938	1	357	7	6.66667	5.0773	92:M
1	11020637	11020816	1	2606	14	13.6667	13.6667	68:M,81:M
1	11020706	11020816	1	2621	2	1.66667	0.269871	12:U
1	11008844	11008951	1	374	2	2	2	18:U,98:U
1	11008866	11009017	1	377	8	7.66667	6.01522	76:M,86:M
1	11008859	11008958	1	376	1	1	0.379295	3:M,83:U,93:U
1	11020722	11021545	1	2625	147	128	131.95	*
1	11008878	11009014	1	379	6	5.66667	5.66667	64:U,74:U
1	11008926	11009037	1	391	3	3	3.8387	16:M,26:M,93:M
1	11008929	11009028	1	392	1	1	1	13:M,23:M,90:U
1	11021461	11021646	1	2753	11	9.66667	9.66667	86:U
1	11021471	11021623	1	2757	10	8.66667	5.12359	76:M
1	11008932	11009050	1	393	3	3	1.62907	10:U,20:U,87:U
1	11008980	11009111	1	399	6	5	5	39:M
1	11008965	11009064	1	398	1	1	4.70575	54:U
1	11021548	11021925	1	2772	53	52	51.855	*
1	11009026	11009205	1	404	15	14.6667	14.6667	99:M
1	11009035	11009208	1	406	7	6.66667	4.14303	90:U
1	11021835	11022025	1	2824	9	9	9	97:M
1	11021844	11022019	1	2826	12	12	9.85016	88:U
1	11009134	11009288	1	426	14	13	11.8529	*
1	11021946	11023410	1	2845	241	230	245.85	*
1	11009199	11009395	1	439	14	13.6667	13.6667	97:M
1	11009207	11009393	1	441	4	3.66667	3.43759	89:U
1	11023329	11023509	1	3075	15	14.6667	14.6667	96:U
1	11023335	11023489	1	3076	7	5.66667	2.40681	90:M
1	11009297	11009462	1	457	10	10	13.5015	*
1	11023426	11024001	1	3096	88	80	86.6586	*
1	11009373	11009563	1	467	23	22	19.1863	94:U
1	11009446	11009545	1	485	1	1	0	21:M
1	11023910	11024087	1	3176	21	16.8	16.8	95:M
1	11023945	11024058	1	3181	2	1.4	1.48592	60:U
1	11009481	11009759	1	490	31	27	37.3645	*
1	11024009	11024179	1	3195	7	6.33333	6.33333	87:U
1	11024022	11024195	1	3198	9	8.33333	7.92612	74:M
1	11009680	11009858	1	517	11	9.73333	9.73333	89:U
1	11009708	11009859	1	520	9	7.13333	4.59867	61:M
1	11024097	11024327	1	3211	20	19	23.7453	*
1	11009772	11010102	1	536	65	53	47.6829	*
1	11024229	11024407	1	3230	13	12.6667	12.6667	99:U
1	11024233	11024388	1	3232	6	5.66667	8.71148	95:M
1	11010014	11010138	1	589	5	5	5	89:M
1	11010063	11010172	1	594	3	3	1.4694	40:U,88:M
1	11024351	11024533	1	3249	16	15	16.6992	*
1	11010070	11010169	1	596	1	1	0.893375	33:M,81:M
1	11010077	11010230	1	599	7	5.66667	5.13328	26:M,74:U,97:M
1	11010075	11010174	1	598	1	1	1.07571	28:U,76:M,99:M
1	11010080	11010187	1	600	3	2	1.66667	23:U,71:M,94:U
1	11024445	11024636	1	3264	20	18.6667	16.5216	92:M
1	11024467	11024619	1	3270	5	4.66667	0	70:U
1	11010109	11010248	1	607	3	3	3	42:M,65:M
1	11010095	11010198	1	602	2	1.66667	0	8:M,56:M,79:U
1	11010164	11010263	1	615	1	1	2.27097	10:M
1	11010106	11010269	1	606	5	5	5	45:M,68:U
1	11024538	11024637	1	3288	1	1	1.15241	*
1	11010184	11010283	1	618	1	1	0.864021	*
1	11024550	11024652	1	3290	2	2	2	91:U
1	11024543	11024676	1	3289	6	4	7.21387	98:M
1	11010191	11010310	1	620	4	4	3.76452	94:M
1	11010186	11010381	1	619	8	7.66667	7.66667	99:U,131:U
1	11024598	11024723	1	3297	2	1.66667	0	43:U,80:U
1	11024603	11024728	1	3300	2	2	1.69811	38:U,75:M
1	11024585	11024739	1	3295	5	5	2.55556	56:M,93:U
1	11024598	11024732	1	3298	10	7.66667	5.14392	43:M,80:M
1	11010228	11010378	1	627	7	6.66667	6.00288	57:M,89:U
1	11010246	11010365	1	634	3	3	0	39:M,71:M
1	11010287	11010415	1	641	11	11	6.04014	30:U
1	11024654	11024753	1	3313	1	1	1	24:U
1	11024648	11024776	1	3312	7	6	4.64027	30:M
1	11010321	11010658	1	652	54	51	43.0245	*
1	11024681	11025861	1	3319	204	183	195.006	*
1	11010562	11010719	1	703	18	17.6667	16.2465	97:M
1	11010571	11010713	1	705	3	2.66667	2.66667	88:U
1	11025777	11025949	1	3502	9	8	8	98:U
1	11025780	11025972	1	3503	17	15	9.99814	95:M
1	11010645	11010744	1	724	1	1	0.873574	14:M,88:U,95:U
1	11010671	11010831	1	725	10	9.66667	9.66667	62:M,69:M
1	11010685	11010831	1	728	5	4.66667	2.66864	48:U,55:U
1	11025880	11025987	1	3525	4	4	4.97424	*
1	11010744	11011308	1	740	101	90	85.6645	*
1	11025908	11026092	1	3529	23	20	17.4889	88:M
1	11025929	11026091	1	3537	3	3	0	67:U
1	11011216	11011325	1	830	3	3	3.38462	94:U
1	11011234	11011336	1	833	2	2	4.23723	76:M
1	11026004	11026103	1	3552	1	1	1.87164	95:M
1	11026010	11026192	1	3553	5	4.66667	6.80526	89:U,110:U
1	11011260	11011364	1	835	2	2	2	50:U,85:M
1	11011298	11011397	1	844	1	0.666667	0	12:U,47:U,87:M
1	11011271	11011374	1	837	2	2	2.10447	39:M,74:U
1	11011293	11011392	1	840	1	1	1	17:M,52:M,92:U
1	11011311	11011427	1	845	4	3.66667	2.88112	34:M,74:M
1	11026023	11026160	1	3556	4	3.33333	3.33333	76:M,97:U
1	11026021	11026171	1	3554	7	6.66667	6.66667	78:M,99:M
1	11026104	11026213	1	3569	2	2	2.38452	16:U
1	11011286	11011385	1	839	1	1	1.92308	24:U,59:M,99:M
1	11011350	11011482	1	854	3	2.66667	2.9193	35:U
1	11011311	11011437	1	846	4	3.66667	1.84615	34:U,74:M
1	11011296	11011396	1	841	2	2	1.55489	14:M,49:U,89:U
1	11011298	11011397	1	843	1	0.666667	0.666667	12:M,47:U,87:M
1	11011347	11011482	1	853	9	8.66667	8.66667	38:M
1	11026125	11026384	1	3571	34	31	29.5045	*
1	11011413	11011530	1	865	7	6	5.21071	*
1	11026290	11026477	1	3602	8	8	8	97:U
1	11026292	11026472	1	3603	10	10	9.21779	95:M
1	11011442	11011579	1	871	15	12	8.17862	93:M
1	11011445	11011567	1	874	2	2	2	90:U
1	11026388	11026654	1	3620	37	30	30.323	*
1	11011487	11011633	1	885	6	5.66667	5.66667	48:M,94:M
1	11011501	11011619	1	887	3	2.66667	2.66667	34:M,80:U
1	11011536	11011642	1	894	2	2	3.05874	45:U
1	11011547	11011656	1	896	2	2	2	34:M,98:M
1	11026556	11026742	1	3650	7	6	6	99:U
1	11026560	11026753	1	3651	20	18	11.8205	95:M
1	11011571	11011670	1	898	2	1	0.492975	10:M,74:U,96:M
1	11011586	11011685	1	902	1	1	1	59:U,81:U
1	11011574	11011673	1	900	1	1	0.875914	7:U,71:U,93:M
1	11011602	11011732	1	906	4	4	3.03448	43:M,65:M
1	11011573	11011679	1	899	2	2	2	8:M,72:M,94:M
1	11011652	11011751	1	916	1	1	0.273951	15:U
1	11026659	11027295	1	3676	94	86	97.4313	*
1	11011588	11011737	1	903	8	8	5.3107	57:U,79:M
1	11011646	11011753	1	915	2	2	3.53164	21:M
1	11011668	11013246	1	918	289	265	265	*
1	11027207	11027312	1	3762	2	2	3.56531	90:M
1	11027208	11027329	1	3763	3	3	3.64438	89:U
1	11013158	11013343	1	1183	15	15	15	90:U
1	11013172	11013347	1	1186	11	11	1.7549	76:M
1	11027242	11027391	1	3767	4	4	4	55:M,98:M
1	11027245	11027364	1	3768	2	2	2	52:M,95:U
1	11027247	11027396	1	3769	3	2.66667	2.66667	50:U,93:U
1	11027263	11027396	1	3771	4	2.66667	1.35849	34:U,77:M
1	11013254	11013560	1	1209	46	40	42.88	*
1	11027300	11027434	1	3779	4	3.66667	4.96703	40:M
1	11027311	11027433	1	3780	5	4.66667	2.59091	29:U
1	11013466	11013620	1	1249	4	4	9.47832	99:M,107:M,124:M
1	11013533	11013632	1	1253	1	1	1	32:U,40:U,57:U
1	11027347	11028055	1	3788	118	107	109.488	*
1	11013561	11013685	1	1256	4	3.33333	2.99316	4:M,12:M,29:M,80:M
1	11013561	11013670	1	1257	3	2.66667	0	4:M,12:M,29:M,80:U
1	11013591	11013735	1	1265	6	6	5.34671	50:M
1	11013544	11013679	1	1254	4	3.66667	3.66667	21:U,29:U,46:U,97:U
1	11027958	11028076	1	3895	4	4	4	99:U
1	11027967	11028078	1	3898	3	3	1.8744	90:M
1	11013593	11013739	1	1266	6	6	3.7415	48:U
1	11013643	11014159	1	1277	78	73	77.1263	*
1	11027992	11028153	1	3904	4	3.33333	3.33333	65:U,87:M
1	11028054	11028153	1	3922	1	0.666667	0.196457	3:U,25:U
1	11027981	11028152	1	3902	13	12.3333	4.36258	76:M,98:U
1	11027989	11028154	1	3903	4	3.66667	3.66667	68:M,90:M
1	11014075	11014179	1	1350	2	2	2	98:M
1	11014079	11014193	1	1351	3	3	2.436	94:U
1	11028061	11028172	1	3924	2	2	1.9847	18:M
1	11028062	11028161	1	3925	1	1	1.48991	17:U
1	11014096	11014229	1	1355	4	4	4	77:M,99:U
1	11014103	11014250	1	1357	4	3.33333	3.33333	70:M,92:M
1	11014103	11014256	1	1356	6	5.33333	5.33333	70:U,92:M
1	11014108	11014256	1	1358	7	6.33333	2.16937	65:U,87:U
1	11028081	11028751	1	3927	117	110	105.009	*
1	11014187	11014286	1	1380	1	1	0.62545	8:U,70:M
1	11014198	11014337	1	1382	5	4.66667	4.66667	59:U
1	11014159	11014267	1	1376	2	2	0.131492	14:M,36:M,98:M
1	11014175	11014274	1	1379	1	1	1	20:M,82:M
1	11014169	11014268	1	1378	1	1	0.33319	4:U,26:U,88:U
1	11028661	11028848	1	4037	6	5.33333	5.33333	93:U
1	11028677	11028848	1	4040	9	8.33333	10.1048	77:M
1	11014197	11014350	1	1381	13	10.6667	7.34397	60:M
1	11014265	11014364	1	1397	2	1	5.95777	*
1	11028759	11030338	1	4052	283	262	264.96	*
1	11014324	11014440	1	1404	2	2	2	48:M,69:M
1	11014295	11014434	1	1399	6	6	6	77:M,98:U
1	11014288	11014387	1	1398	1	1	2.06516	84:U
1	11030250	11030351	1	4314	2	2	2	90:U
1	11030251	11030350	1	4315	1	1	1.31113	89:M
1	11014378	11014488	1	1411	3	3	2.95511	15:M,66:U,70:U,79:U
1	11014394	11014512	1	1416	4	4	2.13114	50:M,54:M,63:M
1	11014373	11014483	1	1410	3	3	2.13114	20:U,71:M,75:M,84:M
1	11014417	11014537	1	1422	5	4.33333	4.33333	27:U,31:U,40:U,97:U
1	11014422	11014556	1	1424	2	2	0.708734	22:U,26:U,35:U,92:M
1	11014340	11014439	1	1407	1	1	1	32:U,53:U
1	11014306	11014405	1	1401	1	1	1.54013	66:U,87:M
1	11030268	11030422	1	4318	8	8	8	72:U,86:U
1	11030348	11030447	1	4335	1	1	0.0242634	6:M,87:U
1	11030350	11030449	1	4336	1	1	0.21878	4:U,85:U
1	11030267	11030432	1	4317	9	9	7.53898	73:M,87:M
1	11014415	11014526	1	1420	3	2.66667	1.27979	29:M,33:M,42:M,99:U
1	11014415	11014552	1	1421	4	3	3	29:M,33:M,42:M,99:M
1	11014489	11014603	1	1438	3	3	3	25:U,94:M,102:M
1	11014490	11014592	1	1439	3	3	0.260134	24:U,93:U,101:U
1	11014466	11014570	1	1435	2	2	2	48:M
1	11014348	11014447	1	1409	1	1	1.1001	24:U,45:M,96:U
1	11030359	11030520	1	4338	9	7.66667	13.3037	76:M,110:U
1	11030355	11030518	1	4337	7	5.66667	5.66667	80:U,114:U
1	11030338	11030437	1	4334	1	1	0	2:M,16:M,97:U
1	11014445	11014544	1	1432	1	1	1.87702	3:M,12:M,69:U
1	11014521	11014665	1	1446	12	11	10.1458	62:M,70:M,83:M,89:M
1	11014592	11014701	1	1466	2	2	1.53068	12:U,18:U
1	11014519	11014668	1	1445	9	8	5.07906	64:U,72:U,85:U,91:U
