chr	start	end	cid	npatterns	total_coverage	total_flow
13	19218085	19218167	1	7	88	0.972012
13	19239922	19240005	2	4	153	0.672167
13	19240042	19240123	3	1	1	0.0125
13	19631347	19631428	4	2	5	0.0625
13	19631610	19631692	5	1	90	1.34259
13	19631727	19631809	6	6	65	0.473466
13	19633203	19633284	7	2	3	0.0375
13	19633320	19633401	8	1	2	0.025
13	19648365	19648447	9	1	3	0.037037
13	19648507	19648588	10	2	5	0.0625
13	19648625	19648706	11	1	3	0.0375
13	19662866	19662947	12	1	2	0.025
13	19687673	19687754	13	1	4	0.05
13	19687792	19687873	14	1	5	0.0625
13	19728251	19728374	15	2	23	0.0647038
13	19728419	19728500	16	1	3	0.0375
13	19746059	19746140	17	1	1	0.0125
13	19746140	19746222	18	1	129	2.32407
13	19746257	19746340	19	4	122	0.546327
13	19747277	19747358	20	1	10	0.125
13	19747394	19747476	21	1	3	0.037037
13	19761892	19761973	22	1	3	0.0375
13	19762045	19762126	23	1	1	0.0125
13	19764234	19764308	24	1	1	0.0136986
13	19872498	19872579	25	2	3	0.0398973
13	19872637	19872718	26	1	1	0.0125
13	19872760	19872841	27	1	11	0.1375
13	19909674	19909748	28	1	1	0.0136986
13	19910042	19910135	29	1	4	0.0570652
13	19910160	19910241	30	1	9	0.1125
13	19919168	19919249	31	6	17	0.22917
13	19995526	19995607	32	1	2	0.025
13	20138999	20139074	33	2	2	0.0308219
13	20139118	20139199	34	1	1	0.0125
13	20139198	20139279	35	1	4	0.05
13	20175891	20176160	36	1	38	0.13
13	20176568	20176680	37	3	29	0.221053
13	20176686	20176799	38	9	119	0.548844
13	20177013	20177095	39	2	11	0.123457
13	20207074	20207327	40	15	247	1.1713
13	20207487	20207569	41	1	4	0.0555556
13	20207605	20207687	42	1	6	0.101852
13	20356229	20356311	43	1	10	0.166667
13	20356347	20356429	44	1	11	0.111111
13	20392452	20392534	45	11	63	0.600869
13	20392569	20392652	46	9	56	0.349675
13	20438736	20438817	47	2	3	0.0498716
13	20439074	20439155	48	1	8	0.1
13	20531362	20531443	49	1	2	0.025
13	20531480	20531561	50	1	1	0.0125
13	20531672	20531806	51	3	15	0.126182
13	20534287	20534369	52	1	13	0.185185
13	20534406	20534487	53	2	8	0.1
13	20702005	20702086	54	1	1	0.0125
13	20702090	20702203	55	1	8	0.100446
13	20702208	20702289	56	1	2	0.025
13	20711040	20711297	57	19	323	1.1939
13	20713638	20713720	58	1	291	1.18519
13	20713756	20713838	59	1	317	3.40741
13	20720037	20720118	60	1	1	0.0125
13	20721922	20722004	61	2	315	3.65653
13	20722039	20722122	62	4	281	3.55759
13	20722172	20722253	63	0	5	0
13	20722291	20722372	64	1	7	0.0875
13	20735746	20735827	65	2	6	0.075
13	20735864	20735945	66	3	4	0.0598459
13	20747705	20747967	67	6	99	0.279714
13	20748053	20748135	68	1	13	0.148148
13	20748172	20748311	69	2	11	0.0875
13	20749442	20749523	70	1	1	0.0125
13	20762026	20762295	71	4	236	0.3247
13	20762368	20762450	72	2	26	0.335538
13	20762486	20762568	73	1	18	0.185185
13	20762594	20762675	74	2	7	0.0875
13	20762712	20762855	75	1	16	0.100352
13	20762892	20762987	76	2	54	0.440102
13	20763023	20763105	77	2	32	0.359788
13	20763158	20763242	78	5	38	0.238996
13	20763277	20763358	79	5	37	0.498044
13	20764971	20765053	80	4	47	0.846474
13	20765084	20765171	81	2	60	0.420174
13	20765204	20765286	82	1	25	0.296296
13	20765415	20765674	83	3	549	0.494814
13	20765703	20765809	84	2	12	0.145062
13	20765851	20765935	85	2	194	0.397179
13	20765968	20766092	86	4	367	1.40183
13	20766128	20766234	87	4	34	0.228837
13	20766270	20766352	88	2	20	0.241027
13	20804730	20804812	89	1	72	1.2037
13	20804846	20804985	90	1	80	0.439024
13	20805020	20805157	91	3	22	0.124429
13	20805194	20805275	92	2	8	0.1
