pos	unmethyl	 methyl
757121	0.335586	0
757126	0.335586	0.664414
757127	0.335586	0.664414
757134	0.335586	0.664414
757135	0.335586	0.664414
757136	0.335586	0.664414
757137	0.335586	0.664414
757138	0.335586	0.664414
757149	0.400729	0.599271
757152	0.400729	0.599271
757154	0.400729	0.599271
757162	0.400729	0.599271
757165	0.400729	0.599271
757166	0.400729	0.599271
757169	0.400729	0.599271
757170	0.400729	0.599271
757173	0.400729	0.599271
757176	0.400729	0.599271
757177	0.400729	0.599271
757181	0.400729	0.599271
757182	0.400729	0.599271
757183	0.400729	0.599271
757185	0.400729	0.599271
757188	0.400729	0.599271
757189	0.400729	0.599271
757192	0.400729	0.599271
757195	0.400729	0.599271
757196	0.400729	0.599271
757197	0.400729	0.599271
757200	0.400729	0.599271
757201	0.400729	0.599271
757202	0.400729	0.599271
757203	0.400729	0.599271
757204	0.400729	0.599271
757209	0.400729	0.599271
757210	0.400729	0.599271
757213	0.400729	0.599271
757215	0.400729	0.599271
757216	0.400729	0.599271
757217	0.400729	0.599271
757218	0.400729	0.599271
757219	0.400729	0.599271
757220	0.400729	0.599271
757221	0.400729	0.599271
757222	0.400729	0.599271
757232	0.446353	0.553647
757235	0.446353	0.553647
757236	0.446353	0.553647
757237	0.446353	0.553647
757239	0.446353	0.553647
757241	0.446353	0.553647
757243	0.419162	0.580838
757245	0.419162	0.580838
757249	0.460589	0.539411
757250	0.460589	0.539411
757253	0.460589	0.539411
757255	0.460589	0.539411
757257	0.460589	0.539411
757259	0.460589	0.539411
757260	0.460589	0.539411
757262	0.310827	0.689173
757263	0.310827	0.689173
757266	0.310827	0.689173
757267	0.310827	0.689173
757269	0.310827	0.689173
757276	0.4563	0.5437
757278	0.4563	0.5437
757279	0.4563	0.5437
757281	0.4563	0.5437
757283	0.4563	0.5437
757284	0.4563	0.5437
757287	0.4563	0.5437
757288	0.4563	0.5437
757292	0.4563	0.5437
757294	0.4563	0.5437
757297	0.4563	0.5437
757298	0.4563	0.5437
757299	0.4563	0.5437
757300	0.4563	0.5437
757302	0.4563	0.5437
757303	0.4563	0.5437
757305	0.4563	0.5437
757312	0.4563	0.5437
757313	0.4563	0.5437
757315	0.4563	0.5437
757317	0.4563	0.5437
757319	0.4563	0.5437
757321	0.4563	0.5437
757323	0.4563	0.5437
757332	0.227219	0.5437
757333	0.227219	0.5437
757337	0	0.5437
757338	0	0.5437
757340	0	0.5437
757343	0	0.5437
757344	0	0.5437
757346	0	0.5437
757349	0	0
