chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	11006911	11007844	1	0	158	146	151.781	*
1	11016336	11016435	1	1781	1	1	0	1:M
1	11007754	11007867	1	146	4	2	2	91:M
1	11007776	11007885	1	149	4	4	4	69:U,93:U
1	11016342	11016687	1	1783	46	43	49.7537	*
1	11007774	11007968	1	148	9	8.06667	8.06667	71:M,95:M,115:M
1	11007788	11007887	1	154	1	1	1.39942	57:M,81:U
1	11007821	11007939	1	158	3	2.66667	2.36623	24:U,48:U,68:U
1	11007882	11007987	1	168	5	4	2.07252	7:M
1	11016616	11016788	1	1826	14	13	13	79:U
1	11016651	11016763	1	1834	2	2	1.5911	44:M
1	11007848	11007978	1	164	4	2.8	4.99538	21:U,41:U
1	11007905	11008610	1	172	111	102	109.332	*
1	11016704	11017133	1	1841	72	66	62.731	*
1	11008518	11008700	1	274	12	11	11	98:M,117:M,129:M
1	11008522	11008742	1	275	10	9	11.7347	94:U,113:U,125:U
1	11017045	11017166	1	1907	2	1.66667	1.66667	89:U
1	11017058	11017204	1	1908	13	10.6667	10.6667	76:M,111:U
1	11008648	11008861	1	296	23	23	23	*
1	11017138	11017289	1	1923	11	8.66667	9.51385	31:U,71:U
1	11017158	11017289	1	1927	2	1.66667	2.94368	11:U,51:M
1	11017113	11017228	1	1920	5	3	3.12956	21:M,56:U,96:U
1	11008763	11008941	1	319	21	19.6667	10.0683	99:M
1	11008811	11008937	1	330	4	3.66667	2.50567	51:U
1	11017214	11017357	1	1934	8	8	10.226	*
1	11008843	11008953	1	343	2	2	0.428571	19:M,99:M,109:M
1	11008844	11008956	1	344	3	3	3.4034	18:M,98:U,108:U
1	11008858	11008957	1	348	1	1	0.852996	4:U,84:U,94:U
1	11008882	11008981	1	351	1	1	1	60:M,70:M
1	11017271	11017428	1	1942	6	6	6.78333	88:M
1	11017272	11017406	1	1943	6	5	8.55857	87:U
1	11008874	11009017	1	349	11	10	8.44969	68:U,78:U
1	11008973	11009116	1	369	9	8.66667	5.26475	46:M
1	11008964	11009101	1	366	5	4.66667	4.66667	55:U
