pos	unmethyl	 methyl
757127	0.727544	0.272456
757129	0	1
757130	0	1
757132	0.727544	0.272456
757134	0.727544	0.272456
757137	0.727544	0.272456
757138	0.727544	0.272456
757140	0	1
757143	0.727544	0.272456
757150	0.272456	0.727544
757154	0	1
757158	0.272456	0.727544
757162	0.272456	0.727544
757172	0.727544	0.272456
757173	0	1
757174	0	1
757177	0.272456	0.727544
757179	1	0
757180	1	0
757181	1	0
757184	0	1
757187	0	1
757191	0.727544	0.272456
757193	1	0
757197	0.734973	0.265027
757200	1	0
757208	0	1
757211	1	0
757217	0	1
757220	1	0
757224	1	0
757228	0.304441	0.695559
757232	0.280947	0.719053
757233	1	0
757237	1	0
757238	1	0
757239	0.300532	0.699468
757246	0.317838	0.682162
757247	1	0
757248	0.317838	0.682162
757252	0.703271	0.296729
757253	0.703271	0.296729
757254	0.703271	0.296729
757263	1	0
757267	1	0
757268	0.296729	0.703271
757272	0.289347	0.710653
757276	1	0
757278	0.305049	0.694951
757279	0.305049	0.694951
757280	0.305049	0.694951
757282	0.707257	0.292743
757288	1	0
757291	0.707257	0.292743
757294	1	0
757305	0.707257	0.292743
757306	0.707257	0.292743
757307	0	1
757309	0	1
757312	0.707257	0.292743
757316	1	0
757317	0	1
757321	1	0
757332	1	0
757333	1	0
757334	0.292743	0.707257
757336	0.707257	0.292743
757343	1	0
757349	1	0
