chr	start	end	cid	pid	abundance	methylpat	regions
13	19218085	19218165	1	1	1.33833	5:U,8:U,22:U	0
13	19218085	19218165	1	2	0.267896	5:M,8:M,22:U	2
13	19218085	19218165	1	3	0.202995	5:M,8:U,22:U	3
13	19218085	19218165	1	4	0.193274	5:M,8:M,22:M	1
13	19218085	19218165	1	5	0.11322	5:U,8:M,22:U	4
13	19218085	19218165	1	6	0.0407419	5:U,8:U,22:M	5
13	19218086	19218158	1	7	0.0268068	4:U,7:M,21:M	13
13	19218085	19218164	1	8	0.00839497	5:M,8:U,22:M	6
13	19239922	19240004	2	1	0.266119	13:U,71:U	1
13	19239922	19240004	2	2	0.141994	13:M,71:M	2
13	19239922	19240004	2	3	0.121995	13:M,71:U	0
13	19239922	19240002	2	4	0.0180097	13:U,71:M	3
13	19240042	19240121	3	1	0.0125	11:M,38:U	0
13	19631347	19631426	4	1	0.0125	1:M,25:U,31:U,37:U	0
13	19631347	19631426	4	2	0.0125	1:U,25:M,31:M,37:M	1
13	19631464	19631543	5	1	0.0125	50:M	0
13	19631610	19631691	6	1	2.78049	*	0
13	19631727	19631808	7	1	0.260083	56:M,60:M,64:M	0
13	19631728	19631808	7	2	0.183894	55:U,59:U,63:U	3
13	19631728	19631808	7	3	0.0760107	55:M,59:U,63:M	11
13	19631728	19631808	7	4	0.0353425	55:U,59:U,63:M	1
13	19631728	19631808	7	5	0.0194465	55:M,59:M,63:U	9
13	19631728	19631808	7	6	0.0141209	55:U,59:M,63:U	7
13	19631728	19631808	7	7	0.0141208	55:U,59:M,63:M	5
13	19633203	19633282	8	1	0.1375	32:U,42:M,71:M,76:M	11
13	19633203	19633282	8	2	0.0875	32:U,42:U,71:U,76:U	0
13	19633203	19633282	8	3	0.0375	32:U,42:U,71:M,76:M	3
13	19633203	19633282	8	4	0.0125	32:U,42:U,71:M,76:U	1
13	19633321	19633400	9	1	0.0375	2:M,64:M,72:M	0
13	19633440	19633519	10	1	0.0125	*	0
13	19633557	19633636	11	1	0.0125	8:U,79:U	0
13	19637973	19638052	12	1	0.0125	*	0
13	19641526	19641605	13	1	0.0125	*	0
13	19648373	19648445	14	1	0.0136986	*	0
13	19648507	19648579	15	1	0.0136986	3:M,53:M	0
13	19648507	19648586	15	2	0.0125	3:U,53:U	3
13	19648626	19648705	16	1	0.075	6:U,66:M	3
13	19648625	19648704	16	2	0.0375	7:U,67:U	0
13	19687673	19687753	17	1	0.0493827	*	0
13	19687792	19687871	18	1	0.05	25:M,41:M,63:M	0
13	19687792	19687871	18	2	0.0125	25:M,41:M,63:U	11
13	19728251	19728372	19	1	0.268648	15:M,66:U	0
13	19728285	19728372	19	2	0.126326	32:M	1
13	19728404	19728498	20	1	0.0463158	6:U,20:U	0
13	19728418	19728498	20	2	0.0444444	6:M	1
13	19734952	19735031	21	1	0.0375	54:U,68:U	0
13	19745961	19746040	22	1	0.0125	2:M	0
13	19746059	19746138	23	1	0.0125	*	0
13	19746140	19746220	24	1	3.57407	*	0
13	19746258	19746338	25	1	0.217432	4:U,79:U	14
13	19746256	19746338	25	2	0.138716	6:M,81:U	0,5
13	19746258	19746338	25	3	0.0683282	4:U,79:M	2
13	19746256	19746338	25	4	0.0668058	6:M,81:M	0,1
13	19747276	19747356	26	1	0.25	*	0
13	19747393	19747475	27	1	0.414525	35:U,47:U	0
13	19747394	19747474	27	2	0.0608651	34:M,46:M	2
13	19747394	19747473	27	3	0.00852273	34:U,46:M	5
13	19747395	19747474	27	4	0.00721154	33:M,45:U	6
13	19872179	19872259	28	1	0.037037	53:M	0
13	19872497	19872576	29	1	0.0125	70:M	0
13	19872497	19872576	29	2	0.0125	70:U	5
13	19872760	19872839	30	1	0.125	14:M	5
13	19872760	19872839	30	2	0.0625	14:U	0
13	19872878	19872957	31	1	0.0375	22:M,27:M	0
13	19909798	19909870	33	1	0.0136986	15:M	0
13	19910041	19910133	34	1	0.075	7:U	5,2
13	19910159	19910239	35	1	0.148148	*	0
13	19919050	19919129	36	1	0.0125	19:U,21:U,47:M,53:U,55:M,68:M,75:M	0
13	19919168	19919248	37	1	0.330715	8:M,19:M,39:M,45:M,51:M	2
13	19919168	19919247	37	2	0.032197	8:M,19:U,39:M,45:M,51:M	11
13	19919168	19919247	37	3	0.0193182	8:U,19:U,39:M,45:M,51:M	16
13	19919168	19919247	37	4	0.00643939	8:U,19:M,39:U,45:M,51:M	0
13	19919168	19919247	37	5	0.00643939	8:M,19:M,39:M,45:M,51:U	5
13	19919168	19919247	37	6	0.00643938	8:M,19:M,39:M,45:U,51:M	6
13	20003471	20003550	38	1	0.0125	73:U	0
13	20064742	20064821	39	1	0.025	*	0
13	20090362	20090441	40	1	0.0125	*	0
13	20090555	20090627	41	1	0.0136986	*	0
13	20135506	20135585	42	1	0.0125	6:M,12:M,18:M,21:M,31:M,36:M,39:M,41:M,46:M	0
13	20139000	20139079	43	1	0.025	5:M,8:M,13:M,17:M,27:M,50:M,71:U,74:M	0
13	20139000	20139079	43	2	0.0125	5:M,8:M,13:M,17:M,27:M,50:M,71:M,74:M	2
13	20139117	20139197	44	1	0.0277778	2:M,11:U,23:M,39:M,48:M,55:M,58:M,63:M,75:M	0
13	20139205	20139277	45	1	0.0273973	0:M,14:M,19:M,41:U,43:U,48:M,66:M,70:M	2
13	20139203	20139275	45	2	0.0136986	2:U,16:M,21:M,43:M,45:U,50:M,68:M	5
13	20139198	20139277	45	3	0.0107143	7:M,21:M,26:M,48:M,50:M,55:M,73:M,77:U	0
13	20139198	20139277	45	4	0.00357143	7:U,21:U,26:U,48:U,50:U,55:U,73:M,77:M	11
13	20175891	20176159	46	1	0.25782	3:M,17:U,35:U,75:U,80:U,88:U,90:U,104:U,106:U,117:U,126:U,128:U,131:U,133:U,139:U,141:U,151:U,158:U,162:U,172:U,181:U,191:U,194:U,216:U,226:U,239:U,244:U,252:U,265:M,267:M	0,8
13	20175891	20176088	46	2	0.16026	3:M,17:U,35:U,75:U,80:U,88:U,90:U,104:U,106:U,117:U,126:U,128:U,131:U,133:U,139:U,141:U,151:U,158:U,162:U,172:U,181:U,191:U,194:M	0,1
13	20176079	20176158	46	3	0.00641891	3:M,6:U,28:U,38:U,51:U,56:U,64:U,77:M	7
13	20176568	20176678	47	1	0.275	1:M,8:U,10:U,13:U,16:U,21:U,27:U,39:U,45:U,98:U,101:U,105:U	0,5
13	20176568	20176647	47	2	0.0116197	1:M,8:M,10:M,13:M,16:M,21:M,27:M,39:M,45:M	8
13	20176568	20176647	47	3	0.00774648	1:M,8:U,10:U,13:U,16:U,21:U,27:U,39:M,45:U	1
13	20176568	20176647	47	4	0.00387324	1:M,8:U,10:U,13:M,16:U,21:U,27:U,39:M,45:M	10
13	20176685	20176797	48	1	0.180625	19:U,48:U,58:U,60:U,68:U,79:U,103:U	0,1,11
13	20176685	20176766	48	2	0.161572	19:U,48:U,58:U,60:U,68:U,79:M	0,16
13	20176685	20176797	48	3	0.02125	19:U,48:U,58:U,60:U,68:U,79:U,103:M	0,1,5
13	20176686	20176765	48	4	0.0177083	18:U,47:U,57:U,59:M,67:U,78:U	8
13	20176718	20176797	48	5	0.010625	15:M,25:U,27:U,35:U,46:U,70:U	3
13	20176687	20176766	48	6	0.000843254	17:U,46:U,56:U,58:U,66:M,77:M	10
13	20177013	20177093	49	1	0.141068	23:M	0
13	20177014	20177093	49	2	0.0540441	22:U	16
13	20207074	20207325	50	1	0.175478	6:M,63:M,126:M,136:M,163:M,180:M,196:U	16,9,19
13	20207074	20207325	50	2	0.0832168	6:M,63:M,126:M,136:M,163:M,180:M,196:M	16,9,13,24
13	20207074	20207325	50	3	0.0672049	6:M,63:U,126:U,136:U,163:U,180:U,196:U	8,2,15,25
13	20207074	20207325	50	4	0.0569732	6:U,63:M,126:U,136:U,163:U,180:U,196:U	10,7,15,25
13	20207074	20207325	50	5	0.021542	6:U,63:U,126:U,136:M,163:U,180:U,196:M	0,2,14,30
13	20207074	20207325	50	6	0.0177799	6:U,63:U,126:U,136:U,163:U,180:U,196:U	0,2,15,25
13	20207074	20207325	50	7	0.0172118	6:M,63:M,126:U,136:U,163:U,180:M,196:M	16,7,20,24
13	20207074	20207325	50	8	0.0146853	6:M,63:M,126:M,136:U,163:U,180:U,196:U	16,9,18,25
13	20207074	20207325	50	9	0.0146853	6:U,63:U,126:U,136:M,163:M,180:M,196:M	0,2,17,24
13	20207074	20207325	50	10	0.00979021	6:M,63:M,126:M,136:M,163:U,180:M,196:M	16,9,12,24
13	20207074	20207325	50	11	0.004708	6:M,63:M,126:M,136:U,163:U,180:U,196:M	16,9,22,30
13	20207074	20207325	50	12	0.00236858	6:U,63:M,126:U,136:U,163:U,180:M,196:M	10,7,20,24
13	20207487	20207567	51	1	0.0246914	27:U,33:U,50:U,57:U,65:U	0
13	20207605	20207685	52	1	0.0740741	18:U,34:U,42:U,50:U,73:U	0
13	20356229	20356309	53	1	0.244513	8:U,16:U,41:U,50:U,54:U,57:U,61:U,71:U,74:U	0
13	20356230	20356309	53	2	0.0430556	7:U,15:U,40:M,49:U,53:U,56:U,60:U,70:U,73:U	16
13	20356347	20356427	54	1	0.231824	7:U,10:U,23:U,33:U,46:U,55:U,59:U,62:U,67:U	0
13	20356348	20356427	54	2	0.00902778	6:M,9:U,22:U,32:U,45:U,54:U,58:U,61:U,66:U	8
13	20392452	20392533	55	1	0.384103	4:M,22:M,30:M,37:M,39:M,60:M,76:M	0
13	20392452	20392532	55	2	0.17284	4:M,22:M,30:U,37:M,39:M,60:M,76:M	14
13	20392452	20392532	55	3	0.027143	4:M,22:M,30:M,37:M,39:M,60:M,76:U	2
13	20392452	20392525	55	4	0.0147594	4:M,22:M,30:M,37:U,39:M,60:U	8
13	20392452	20392531	55	5	0.00576241	4:M,22:U,30:U,37:U,39:U,60:M,76:M	10
13	20392452	20392531	55	6	0.00345745	4:M,22:M,30:M,37:U,39:U,60:U,76:M	9
13	20392452	20392531	55	7	0.00345745	4:M,22:M,30:M,37:U,39:M,60:M,76:M	16
13	20392452	20392531	55	8	0.00345745	4:M,22:U,30:M,37:U,39:U,60:M,76:U	4
13	20392452	20392531	55	9	0.00230496	4:M,22:M,30:M,37:M,39:M,60:U,76:M	7
13	20392452	20392531	55	10	0.00230496	4:M,22:U,30:M,37:U,39:M,60:M,76:U	13
13	20392452	20392524	55	11	0.00126299	4:M,22:M,30:U,37:M,39:M,60:U	15
13	20392452	20392531	55	12	0.00115248	4:M,22:M,30:M,37:M,39:U,60:M,76:U	6
13	20392452	20392531	55	13	0.00115238	4:M,22:M,30:M,37:M,39:U,60:M,76:M	12
13	20392569	20392650	56	1	1.28096	3:M,8:M,27:M,38:M,54:M,72:M	0
13	20392570	20392650	56	2	0.0479582	2:M,7:U,26:M,37:M,53:M,71:M	7
13	20392570	20392650	56	3	0.0441595	2:U,7:M,26:M,37:M,53:M,71:U	9
13	20392570	20392650	56	4	0.0337132	2:U,7:U,26:M,37:M,53:M,71:M	16
13	20392570	20392649	56	5	0.025	2:M,7:M,26:M,37:M,53:U,71:M	10
13	20392571	20392650	56	6	0.0216346	1:M,6:U,25:U,36:M,52:M,70:M	22
13	20392571	20392650	56	7	0.0144231	1:M,6:M,25:M,36:U,52:M,70:M	14
13	20392571	20392650	56	8	0.0144231	1:U,6:U,25:M,36:M,52:M,70:U	12
13	20392571	20392650	56	9	0.0144231	1:U,6:M,25:M,36:M,52:M,70:M	13
13	20392570	20392649	56	10	0.0125	2:M,7:M,26:U,37:M,53:M,71:M	2
13	20392571	20392650	56	11	0.00721154	1:U,6:U,25:M,36:U,52:M,70:M	21
13	20438737	20438816	57	1	0.0125	4:U,14:U,17:U,20:U,38:U,43:U	0
13	20438838	20438917	58	1	0.0125	33:U,41:U,43:U,48:U,54:U,59:U,68:U	0
13	20439074	20439154	59	1	0.296296	0:U,5:U,13:U	0
13	20531724	20531804	60	1	0.351852	4:U,13:U,16:U,20:U,25:U,31:U,36:U,38:U,46:U	0
13	20533535	20533614	61	1	0.0125	7:U,10:U,15:U,20:U,22:U,34:U,38:U,65:U,69:U	0
13	20533654	20533733	62	1	0.0375	31:U,37:U,51:U,58:U	0
13	20534287	20534367	63	1	0.416667	11:U,51:U,66:U,78:U	0
13	20534394	20534485	64	1	0.200181	8:U,11:U,31:U,38:U,55:U	0
13	20534406	20534485	64	2	0.0135417	-1:U,19:U,26:U,43:M	10
13	20702090	20702200	65	1	0.114865	8:U,31:U,60:U,70:U,74:U,76:U,84:U,86:U,91:U,97:U	0
13	20702208	20702367	66	1	0.05	2:U,5:U,17:U,20:U,26:U,60:U,69:U,71:U,88:U,99:U,101:U,109:U,115:U,126:U,130:U,143:U,150:U,152:U,156:U	0
13	20711097	20711295	67	1	0.216667	7:M,10:M,18:U,28:U,31:U,33:U,40:U,45:U,69:U,76:U,81:U,115:U,118:U,126:U,131:U,139:U,148:U,159:U	15,23,5
13	20711040	20711295	67	2	0.198945	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:U,90:U,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,9,23,5
13	20711040	20711294	67	3	0.188094	1:U,13:U,17:U,38:U,51:U,64:U,67:U,75:U,85:U,88:U,90:U,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:M,205:U,216:U	0,23,27
13	20711097	20711176	67	4	0.0238971	7:M,10:M,18:U,28:U,31:U,33:U,40:M,45:M,69:M,76:M	19
13	20711040	20711295	67	5	0.020252	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:U,90:U,97:M,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,17,23,5
13	20711097	20711177	67	6	0.0197219	7:M,10:M,18:U,28:M,31:U,33:U,40:M,45:M,69:U,76:M	14
13	20711215	20711295	67	7	0.0154926	0:M,8:M,13:M,21:M,30:M,41:U	37
13	20711040	20711295	67	8	0.0138795	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:M,90:U,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,22,23,5
13	20711040	20711295	67	9	0.0131788	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:M,88:U,90:U,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,4,23,5
13	20711040	20711295	67	10	0.0127451	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:U,90:U,97:U,102:M,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,24,23,5
13	20711216	20711295	67	11	0.0125	7:M,12:M,20:U,29:M,40:U	40
13	20711040	20711295	67	12	0.00583902	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:U,90:M,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:U,205:U,216:U	10,13,23,5
13	20711097	20711177	67	13	0.00556069	7:M,10:M,18:M,28:M,31:U,33:M,40:M,45:M,69:M,76:M	7
13	20711097	20711169	67	14	0.00523771	7:M,10:M,18:M,28:U,31:M,33:M,40:M,45:M,69:M	8
13	20711098	20711294	67	15	0.00115361	6:M,9:M,17:U,27:U,30:U,32:U,39:U,44:M,68:U,75:U,80:U,114:U,117:U,125:U,130:U,138:M,147:U,158:U	3,23,27
13	20711098	20711177	67	16	0.000850785	6:M,9:U,17:M,27:U,30:M,32:M,39:M,44:M,68:M,75:M	11
13	20711040	20711294	67	17	0.000533512	1:M,13:U,17:U,38:U,51:U,64:M,67:U,75:U,85:U,88:U,90:M,97:U,102:U,126:U,133:U,138:U,172:U,175:U,183:U,188:U,196:M,205:U,216:U	10,13,23,27
13	20713638	20713719	68	1	2.82927	54:U	0
13	20713756	20713836	69	1	4.7963	*	0
