pos	unmethyl	 methyl
757127	15	7
757129	0	27
757130	0	33
757132	27	12
757134	36	14
757137	47	15
757138	53	18
757140	0	82
757143	68	25
757150	32	94
757154	0	134
757158	36	114
757162	44	121
757172	153	52
757173	0	211
757174	0	213
757177	58	176
757179	242	0
757180	246	0
757181	248	0
757184	0	259
757187	0	265
757191	208	72
757193	279	0
757197	214	74
757200	285	0
757208	0	287
757211	291	0
757217	0	280
757220	280	0
757224	294	0
757228	84	201
757232	79	201
757233	276	0
757237	278	0
757238	280	0
757239	83	196
757246	81	194
757247	272	0
757248	82	194
757252	205	83
757253	204	82
757254	203	85
757263	286	0
757267	281	0
757268	85	200
757272	80	205
757276	282	0
757278	83	200
757279	84	201
757280	81	200
757282	201	79
757288	264	0
757291	180	66
757294	230	0
757305	144	55
757306	143	53
757307	0	192
757309	0	184
757312	128	46
757316	154	0
757317	0	152
757321	125	0
757332	83	0
757333	82	0
757334	21	56
757336	53	18
757343	38	0
757349	12	0
