chr	pos	Cov	Meth
3	10007478	2	2
3	10008308	3	3
3	10008333	3	3
3	10008368	1	1
3	10008436	1	1
3	10008514	2	1
3	10008549	1	1
3	10009015	4	4
3	10009039	1	1
3	10009407	2	0
3	10009418	2	0
3	10009644	1	0
3	10009646	1	0
3	10009692	1	0
3	10009696	1	0
3	10009718	1	0
3	10009738	1	0
3	10009751	3	0
3	10009803	3	2
3	10009911	1	1
3	10009922	1	1
3	10010029	4	4
3	10010066	3	3
3	10010092	4	4
3	10010120	4	4
3	10010142	3	3
3	10010232	1	1
3	10010239	1	1
3	10010275	1	1
3	10010539	1	0
3	10010642	1	1
3	10010662	2	2
3	10010725	1	1
3	10010738	1	1
3	10010749	1	0
3	10010882	1	1
3	10011002	1	0
3	10011039	4	4
3	10011081	8	8
3	10011140	5	4
3	10011161	4	3
3	10011178	3	3
3	10011518	1	1
3	10011740	1	1
3	10011760	1	1
3	10012195	2	0
3	10012202	3	0
3	10012250	4	0
3	10012269	5	0
3	10012272	6	0
3	10012274	7	0
3	10012294	7	1
3	10012296	7	0
3	10012327	2	0
3	10012338	2	0
3	10012366	2	0
3	10012368	2	0
3	10012375	2	0
3	10012380	3	0
3	10012398	1	0
3	10012405	1	0
3	10012410	1	0
3	10012420	1	0
3	10012423	1	0
3	10012566	1	0
3	10012575	1	0
3	10012584	2	0
3	10012592	2	0
3	10012598	2	0
3	10012604	3	0
3	10012606	3	1
3	10012659	12	9
3	10012672	14	6
3	10012689	11	7
3	10012730	2	0
3	10012733	2	0
3	10012790	2	0
3	10012794	2	0
3	10013143	1	0
3	10013160	1	0
3	10013162	1	0
3	10013172	1	0
3	10013238	4	0
3	10013256	2	0
3	10013259	2	0
3	10013272	2	0
3	10013277	2	0
3	10013281	2	0
3	10013283	3	0
3	10013286	3	0
3	10013293	4	0
3	10013297	4	0
3	10013318	4	1
3	10013325	3	0
3	10013358	1	0
3	10013362	1	0
3	10013460	4	0
3	10013573	2	0
3	10013739	1	1
3	10013849	4	4
3	10013911	5	5
3	10014076	1	1
3	10014535	3	3
3	10014870	3	3
3	10015027	16	14
3	10015048	13	10
3	10015058	12	9
3	10015075	11	11
3	10015117	3	3
3	10015323	5	5
