pos	unmethyl	 methyl
757121	0.85	0.15
757125	0.85	0.15
757128	0.85	0.15
757129	0.85	0.15
757130	0.85	0.15
757131	0.85	0.15
757132	0.85	0.15
757138	0.85	0.15
757142	0.85	0.15
757144	0.85	0.15
757149	0.85	0.15
757155	0.85	0.15
757158	0.85	0.15
757160	0.85	0.15
757161	0.85	0.15
757163	0.85	0.15
757165	0.85	0.15
757171	0.85	0.15
757172	0.85	0.15
757176	0.85	0.15
757184	0.5	0.5
757188	0.5	0.5
757190	0.5	0.5
757196	0.5	0.5
757198	0.5	0.5
757205	0.15	0.85
757209	0.15	0.85
757211	0.15	0.85
757215	0.15	0.85
757221	0.15	0.85
757222	0.15	0.85
757223	0.15	0.85
757232	0.5	0.5
757234	0.5	0.5
757239	0.5	0.5
757241	0.5	0.5
757250	0.5	0.5
757258	0.5	0.5
757259	0.5	0.5
757261	0.5	0.5
757262	0.5	0.5
757265	0.5	0.5
757266	0.5	0.5
757269	0.5	0.5
757271	0.5	0.5
757272	0.5	0.5
757275	0.5	0.5
757277	0.5	0.5
757279	0.5	0.5
757284	0.5	0.5
757289	0.5	0.5
757296	0.15	0.85
757297	0.15	0.85
757301	0.15	0.85
757304	0.15	0.85
757313	0.5	0.5
757314	0.5	0.5
757317	0.5	0.5
757320	0.5	0.5
757321	0.5	0.5
757325	0.5	0.5
757326	0.5	0.5
757332	0.5	0.5
757338	0.5	0.5
757340	0.5	0.5
757341	0.5	0.5
