pos	unmethyl	 methyl
11007845	18	31
11007869	25	28
11007889	35	22
11008616	25	26
11008635	25	21
11008647	24	23
11008862	24	24
11008942	17	53
11008952	18	52
11009019	31	26
11009125	28	17
11009296	27	25
11009467	32	23
11009769	33	34
11010103	33	23
11010151	17	41
11010174	36	23
11010285	30	27
11010317	10	48
11010659	31	20
11010733	32	17
11010740	36	16
11011310	31	21
11011345	11	29
11011385	18	21
11011535	27	20
11011581	36	14
11011645	25	18
11011667	12	32
11013248	21	29
11013565	22	28
11013573	26	27
11013590	25	29
11013641	22	34
11014173	28	13
11014195	35	4
11014257	4	40
11014372	29	23
11014393	35	16
11014444	38	18
11014448	38	18
11014457	37	16
11014514	30	19
11014583	21	26
11014591	24	23
11014604	26	23
11014610	24	23
11014707	36	13
11014736	15	28
11014744	12	30
11014794	14	25
11014813	11	27
11014894	14	32
11014906	14	29
11014969	18	28
11015026	44	4
11015031	45	4
11015039	46	4
11015042	47	5
11015044	47	4
11015049	48	4
11015057	46	5
11015064	45	5
11015067	44	6
11015078	42	6
11015081	41	6
11015084	41	6
11015093	45	6
11015101	42	6
11015120	45	4
11015126	45	4
11015134	45	5
11015165	15	35
11015168	15	34
11015192	31	12
11016317	27	18
11016325	30	20
11016337	32	18
11016695	14	43
11017134	21	30
11017169	18	28
11017209	24	16
11017359	32	18
11017438	30	20
11017469	27	17
11017580	34	21
11018198	24	32
11019226	28	15
11019682	27	27
11019726	14	46
11019854	33	20
11020102	11	38
11020705	24	29
11020718	24	30
11021547	6	38
11021932	40	14
11023425	29	22
11024005	20	32
11024096	28	21
11024328	19	20
