chr	start	end	cid	rid	raw_coverage	norm_coverage	exp_coverage	methylpat
1	757128	757348	1	0	2	2	3.44615	0:U,1:U,8:U,12:U,14:U,15:U,17:U,22:U,26:U,28:U,40:U,41:U,46:U,50:U,56:U,60:U,102:M,107:M,119:U,129:U,137:U,141:U,143:U,147:U,151:U,155:U,157:U,169:M,181:U,188:U,192:U,195:U,196:U,204:U,206:U,210:U,212:U
1	757137	757336	1	1	1	1	1	3:U,5:U,6:U,8:U,13:U,17:U,19:U,31:U,32:U,37:U,41:U,47:U,51:U,93:U,98:U,110:M,120:M,128:M,132:M,134:M,138:M,142:M,146:M,148:M,160:U,172:M,179:M,183:M,186:M,187:M,195:M,197:M
1	757152	757402	1	4	5	5	7.75385	2:U,4:U,16:U,17:U,22:U,26:U,32:U,36:U,78:M,83:M,95:U,105:U,113:U,117:U,119:U,123:U,127:U,131:U,133:U,145:M,157:U,164:U,168:U,171:U,172:U,180:U,182:U,186:U,188:U,199:U,210:U,227:U,228:U,232:U
1	757341	757540	1	36	1	1	0.606061	10:M,21:U,38:U,39:U,43:U,63:U,64:U,77:U,78:U,80:U,81:U,107:U,108:U,116:U,122:U,135:M,137:M,139:M,145:M,150:M,170:M,172:M,177:M,186:M,187:M,198:U
1	757336	757535	1	35	1	1	1.02787	2:U,4:U,15:U,26:U,43:U,44:U,48:U,68:M,69:M,82:M,83:M,85:M,86:M,112:U,113:U,121:U,127:U,140:M,142:M,144:M,150:M,155:M,175:U,177:U,182:U,191:U,192:U
1	757146	757345	1	2	1	1	1	4:U,8:U,10:U,22:U,23:U,28:U,32:U,38:U,42:U,84:U,89:U,101:M,111:M,119:M,123:M,125:M,129:M,133:M,137:M,139:M,151:U,163:M,170:M,174:M,177:M,178:M,186:M,188:M,192:M,194:M
1	757206	757518	1	10	19	18.6667	18.6667	24:M,29:M,41:U,51:U,59:U,63:U,65:U,69:U,73:U,77:U,79:U,91:M,103:U,110:U,114:U,117:U,118:U,126:U,128:U,132:U,134:U,145:U,156:U,173:U,174:U,178:U,198:M,199:M,212:M,213:M,215:M,216:M,242:U,243:U,251:U,257:U,270:M,272:M,274:M,280:M,285:M,305:U,307:U,312:U
1	757358	757616	1	39	3	3	0.0356506	4:U,21:U,22:U,26:U,46:U,47:U,60:U,61:U,63:U,64:U,90:U,91:U,99:U,105:U,118:M,120:M,122:M,128:M,133:M,153:M,155:M,160:M,169:M,170:M,181:U,184:U,193:U,200:U,211:M,223:M,228:M,229:M,236:M,239:M
1	757343	757618	1	37	10	11	0.150467	8:U,19:U,36:U,37:U,41:U,61:M,62:M,75:M,76:M,78:M,79:M,105:U,106:U,114:U,120:U,133:M,135:M,137:M,143:M,148:M,168:U,170:U,175:U,184:U,185:U,196:M,199:M,208:M,215:M,226:U,238:U,243:U,244:U,251:U,254:U,275:U
1	757154	757519	1	5	7	6.66667	6.66667	0:U,2:U,14:U,15:U,20:U,24:U,30:U,34:U,76:U,81:U,93:M,103:M,111:M,115:M,117:M,121:M,125:M,129:M,131:M,143:U,155:M,162:M,166:M,169:M,170:M,178:M,180:M,184:M,186:M,197:M,208:U,225:U,226:U,230:U,250:U,251:U,264:U,265:U,267:U,268:U,294:U,295:U,303:U,309:U,322:M,324:M,326:M,332:M,337:M,357:M,359:M,364:M
