chr	pos	Cov	Meth
1	757120	20	1
1	757121	20	1
1	757128	20	1
1	757131	20	1
1	757135	20	1
1	757138	20	1
1	757139	20	1
1	757140	20	1
1	757146	20	1
1	757151	20	1
1	757153	20	1
1	757154	20	1
1	757158	20	1
1	757165	20	1
1	757168	20	1
1	757171	20	1
1	757172	20	1
1	757182	20	1
1	757183	20	1
1	757190	20	1
1	757192	20	1
1	757193	20	1
1	757204	20	1
1	757205	20	1
1	757217	20	0
1	757218	20	0
1	757223	20	0
1	757226	20	0
1	757230	20	0
1	757235	20	0
1	757243	20	0
1	757244	20	0
1	757247	20	0
1	757248	20	0
1	757250	20	0
1	757252	20	0
1	757253	20	0
1	757260	20	0
1	757262	20	0
1	757266	20	0
1	757267	20	0
1	757268	20	0
1	757270	20	0
1	757271	20	0
1	757274	20	0
1	757275	20	0
1	757280	20	0
1	757281	20	0
1	757282	20	0
1	757291	20	0
1	757292	20	0
1	757293	20	0
1	757297	20	0
1	757300	20	0
1	757301	20	0
1	757305	20	0
1	757307	20	0
1	757308	20	0
1	757312	20	0
1	757315	20	0
1	757316	20	0
1	757327	20	19
1	757328	20	19
1	757338	20	19
1	757344	20	19
1	757345	20	19
1	757346	20	19
1	757347	20	19
