pos	unmethyl	 methyl
11007845	10	7
11007869	5	11
11007889	8	13
11008616	5	13
11008635	7	15
11008647	8	15
11008862	6	15
11008942	16	5
11008952	15	6
11009019	1	21
11009125	17	6
11009296	10	14
11009467	5	16
11009769	10	13
11010103	10	10
11010151	9	7
11010174	8	3
11010285	12	8
11010317	20	4
11010659	9	13
11010733	15	8
11010740	13	10
11011310	15	7
11011345	8	17
11011385	16	8
11011535	12	7
11011581	2	11
11011645	16	6
11011667	7	19
11013248	5	15
11013565	5	17
11013573	6	15
11013590	6	13
11013641	16	7
11014173	12	7
11014195	4	13
11014257	11	14
11014372	11	5
11014393	5	12
11014444	5	17
11014448	5	16
11014457	7	18
11014514	11	16
11014583	10	10
11014591	10	9
11014604	9	10
11014610	10	10
11014707	16	6
11014736	8	15
11014744	8	14
11014794	14	10
11014813	15	8
11014894	15	7
11014906	14	5
11014969	5	16
11015026	13	8
11015031	13	11
11015039	12	10
11015042	12	11
11015044	12	12
11015049	12	11
11015057	11	11
11015064	10	10
11015067	8	10
11015078	7	13
11015081	7	14
11015084	7	14
11015093	7	12
11015101	9	13
11015120	8	15
11015126	8	15
11015134	10	12
11015165	11	12
11015168	11	12
11015192	13	6
11016317	7	11
11016325	7	11
11016337	6	11
11016695	13	19
11017134	9	12
11017169	10	7
11017209	6	6
11017359	10	7
11017438	6	16
11017469	14	6
11017580	12	12
11018198	11	9
11019226	19	3
11019682	9	5
11019726	6	3
11019854	6	9
11020102	18	2
11020705	11	7
11020718	7	8
11021547	9	8
11021932	7	22
11023425	12	6
11024005	17	8
11024096	1	12
11024328	12	11
