chr	pos	Cov	Meth
1	757122	20	19
1	757123	20	19
1	757124	20	19
1	757125	20	19
1	757126	20	19
1	757127	20	19
1	757139	20	15
1	757140	20	15
1	757141	20	15
1	757143	20	15
1	757146	20	15
1	757149	20	15
1	757151	20	15
1	757154	20	15
1	757156	20	15
1	757163	20	15
1	757166	20	15
1	757169	20	15
1	757171	20	15
1	757183	20	19
1	757188	20	19
1	757189	20	19
1	757191	20	19
1	757194	20	19
1	757202	20	19
1	757203	20	19
1	757204	20	19
1	757205	20	19
1	757208	20	19
1	757209	20	19
1	757212	20	19
1	757220	20	19
1	757223	20	19
1	757224	20	19
1	757231	20	19
1	757233	20	19
1	757235	20	19
1	757240	20	19
1	757241	20	19
1	757246	20	19
1	757247	20	19
1	757258	20	8
1	757261	20	8
1	757263	20	8
1	757264	20	8
1	757265	20	8
1	757269	20	8
1	757273	20	8
1	757277	20	8
1	757285	20	8
1	757287	20	8
1	757292	20	8
1	757295	20	8
1	757312	20	13
1	757313	20	13
1	757318	20	13
1	757321	20	13
1	757323	20	13
1	757324	20	13
1	757325	20	13
1	757327	20	13
1	757332	20	13
1	757334	20	13
1	757340	20	13
1	757341	20	13
1	757342	20	13
1	757344	20	13
