pos	unmethyl	 methyl
757123	0.219101	0
757125	0.219101	0
757128	0.219101	0
757129	0.219101	0
757133	0	0.219101
757139	0.219101	0
757141	0	0.219101
757144	0	0.219101
757148	0.219101	0
757150	0.219101	0
757151	0	0.219101
757164	0.219101	0
757165	0	0.219101
757168	0.219101	0
757178	0.219101	0
757179	0.219101	0
757182	0	0.219101
757189	0	0.219101
757197	0.219101	0
757198	0.219101	0
757200	0	0.219101
757201	0	0.219101
757202	0.219101	0
757212	0	0.219101
757214	0.219101	0
757216	0.219101	0
757217	0.219101	0
757223	0	0.219101
757224	0	0.219101
757226	0.219101	0
757227	0	0.219101
757231	0	0.219101
757236	0	0.219101
757239	0.219101	0
757247	0.219101	0
757253	0.219101	0
757255	0.219101	0
757256	0.219101	0
757258	0	0.219101
757263	0.219101	0
757265	0	0.219101
757269	0	0.219101
757270	0	0.219101
757274	0	0.219101
757280	0	0.219101
757284	0	0.219101
757285	0	0.219101
757286	0	0.219101
757288	0	0.219101
757292	0	0.219101
757293	0	0.219101
757296	0	0.219101
757300	0	0.219101
757304	0.219101	0
757307	0	0.219101
757315	0.219101	0
757321	0.219101	0
757323	0	0.219101
757325	0.219101	0
757330	0.219101	0
757331	0.219101	0
757337	0	0.219101
757343	0	0.219101
757346	0.219101	0
757348	0	0.219101
757349	0	0.219101
757354	0.261733	0.519165
757356	0.48277	0.298129
757359	0.156791	0.624108
757360	0.156791	0.624108
757364	0	0.780899
757370	0.349977	0.430921
757372	0.519165	0.261733
757375	0.430921	0.349977
757379	0.156791	0.624108
757381	0.261733	0.519165
757382	0.298129	0.48277
757395	0.48277	0.298129
757396	0.325979	0.45492
757399	0.261733	0.519165
757409	0.48277	0.298129
757410	0.156791	0.624108
757413	0.430921	0.349977
757420	0.193186	0.587712
757428	0.664644	0.116254
757429	0.664644	0.116254
757431	0.61169	0.169208
757432	0.500225	0.280673
757433	0.780899	0
757443	0	0.780899
757445	0.240263	0.540635
757447	0.566588	0.214311
757448	0.566588	0.214311
757454	0.454185	0.326713
757455	0.650135	0.130764
757457	0.598004	0.182895
757458	0.366481	0.414417
757462	0.125115	0.655784
757467	0.189374	0.591525
757470	0.267692	0.513207
757478	0.25566	0.525239
757484	0.286865	0.494034
757486	0.780899	0
757487	0.780899	0
757489	0.469368	0.311531
757494	0.286962	0.493936
757496	0.506706	0.274192
757500	0.523158	0.25774
757501	0.523158	0.25774
757505	0.531421	0.249477
757511	0.243253	0.537646
757515	0.262413	0.518485
757516	0.0709851	0.709914
757517	0.0709851	0.709914
757519	0	0.780899
757523	0.544949	0.23595
757524	0.615934	0.164965
757527	0.424506	0.356393
757531	0.544949	0.23595
757535	0.164965	0.615934
757538	0.0709851	0.709914
757546	0.164965	0.615934
757552	0.164965	0.615934
757554	0.544949	0.23595
757556	0.427378	0.35352
757561	0.709914	0.0709851
757562	0.356393	0.424506
757568	0.191428	0.589471
757574	0.544949	0.23595
757577	0.23595	0.544949
757579	0.262413	0.518485
757580	0.615934	0.164965
