chr	start	end	cid	pid	abundance	methylpat	regions
1	757128	757351	1	1	0.0666667	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:M,72:M,73:M,75:M,78:M,79:M,84:M,85:M,96:M,98:M,103:M,104:M,106:M,113:M,115:M,118:M,121:M,125:M,126:M,128:M,129:M,130:M,131:M,133:M,135:M,136:M,144:M,145:M,146:M,147:M,148:M,149:M,151:M,152:M,153:M,154:M,155:M,157:M,158:M,160:M,162:M,163:M,166:M,168:M,171:M,178:M,188:U,191:U,193:U,195:U,196:U,198:U,204:U,206:U,209:U,212:U,213:U,215:U,217:U,218:U,222:U	0,1,7,15,25,34,40,
1	757147	757351	1	2	0.0501622	0:U,2:U,5:U,8:U,9:U,10:U,11:U,14:U,15:U,17:U,18:U,20:U,24:U,25:U,26:U,27:U,30:U,35:U,41:U,42:U,44:U,45:U,52:U,53:U,54:U,56:U,59:U,60:U,65:U,66:U,77:U,79:U,84:U,85:U,87:U,94:U,96:U,99:U,102:U,106:U,107:U,109:U,110:U,111:U,112:U,114:U,116:U,117:U,125:U,126:U,127:U,128:U,129:U,130:U,132:U,133:U,134:U,135:U,136:U,138:U,139:U,141:U,143:U,144:U,147:U,149:U,152:U,159:U,169:M,172:M,174:M,176:M,177:M,179:M,185:M,187:M,190:M,193:M,194:M,196:M,198:M,199:M	8,10,14,22,32,43,
1	757147	757351	1	3	0.0357805	0:U,2:U,5:U,8:U,9:U,10:U,11:U,14:U,15:U,17:U,18:U,20:U,24:U,25:U,26:U,27:U,30:U,35:U,41:U,42:U,44:U,45:U,52:U,53:U,54:U,56:U,59:U,60:U,65:U,66:U,77:M,79:M,84:M,85:M,87:M,94:M,96:M,99:M,102:M,106:M,107:M,109:M,110:M,111:M,112:M,114:M,116:M,117:M,125:M,126:M,127:M,128:M,129:M,130:M,132:M,133:M,134:M,135:M,136:M,138:M,139:M,141:M,143:M,144:M,147:M,149:M,152:M,159:M,169:U,172:U,174:U,176:U,177:U,179:U,185:U,187:U,190:U,193:U,194:U,196:U,198:U,199:U,203:U	8,17,23,34,40,
1	757128	757351	1	4	0.0357143	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:M,72:M,73:M,75:M,78:M,79:M,84:M,85:M,96:U,98:U,103:U,104:U,106:U,113:M,115:M,118:M,121:M,125:M,126:M,128:M,129:M,130:M,131:M,133:M,135:M,136:M,144:M,145:M,146:M,147:M,148:M,149:M,151:M,152:M,153:M,154:M,155:M,157:M,158:M,160:M,162:M,163:M,166:M,168:M,171:M,178:M,188:U,191:U,193:U,195:U,196:U,198:U,204:U,206:U,209:U,212:U,213:U,215:U,217:U,218:U,222:U	0,1,7,11,21,31,40,
1	757128	757351	1	5	0.034698	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:M,72:M,73:M,75:M,78:M,79:M,84:M,85:M,96:U,98:U,103:U,104:U,106:U,113:U,115:U,118:U,121:U,125:U,126:U,128:U,129:U,130:U,131:U,133:U,135:U,136:U,144:U,145:U,146:U,147:U,148:U,149:U,151:U,152:U,153:U,154:U,155:U,157:U,158:U,160:U,162:U,163:U,166:U,168:U,171:U,178:U,188:M,191:M,193:M,195:M,196:M,198:M,204:M,206:M,209:M,212:M,213:M,215:M,217:M,218:M	0,1,7,11,24,32,43,
1	757128	757351	1	6	0.0327869	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:U,72:U,73:U,75:U,78:U,79:U,84:U,85:U,96:U,98:U,103:U,104:U,106:U,113:U,115:U,118:U,121:U,125:U,126:U,128:U,129:U,130:U,131:U,133:U,135:U,136:U,144:U,145:U,146:U,147:U,148:U,149:U,151:U,152:U,153:U,154:U,155:U,157:U,158:U,160:U,162:U,163:U,166:U,168:U,171:U,178:U,188:M,191:M,193:M,195:M,196:M,198:M,204:M,206:M,209:M,212:M,213:M,215:M,217:M,218:M	0,4,22,32,43,
1	757128	757351	1	7	0.0268766	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:M,72:M,73:M,75:M,78:M,79:M,84:U,85:U,96:M,98:M,103:M,104:M,106:M,113:M,115:M,118:M,121:M,125:M,126:M,128:M,129:M,130:M,131:M,133:M,135:M,136:M,144:U,145:U,146:U,147:U,148:U,149:U,151:U,152:U,153:U,154:U,155:U,157:U,158:U,160:U,162:U,163:U,166:U,168:U,171:U,178:U,188:M,191:M,193:M,195:M,196:M,198:M,204:M,206:M,209:M,212:M,213:M,215:M,217:M,218:M	0,1,30,35,37,51,
1	757147	757351	1	8	0.00961483	0:U,2:U,5:U,8:U,9:U,10:U,11:U,14:U,15:U,17:U,18:U,20:U,24:U,25:U,26:U,27:U,30:U,35:U,41:U,42:U,44:U,45:U,52:U,53:U,54:U,56:U,59:U,60:U,65:U,66:U,77:U,79:U,84:U,85:U,87:U,94:U,96:U,99:U,102:M,106:M,107:M,109:M,110:M,111:M,112:M,114:M,116:M,117:M,125:M,126:M,127:M,128:M,129:M,130:M,132:M,133:M,134:M,135:M,136:M,138:M,139:M,141:M,143:M,144:M,147:M,149:M,152:M,159:M,169:M,172:M,174:M,176:M,177:M,179:M,185:M,187:M,190:M,193:M,194:M	8,10,14,
1	757128	757351	1	9	0.00935374	7:M,9:M,10:M,11:M,16:M,17:M,19:M,21:M,24:M,27:M,28:M,29:M,30:M,33:M,34:M,36:M,37:M,39:M,43:M,44:M,45:M,46:M,49:M,54:M,60:M,61:M,63:M,64:M,71:M,72:M,73:M,75:M,78:M,79:M,84:M,85:M,96:U,98:U,103:U,104:U,106:U,113:M,115:M,118:M,121:M,125:M,126:M,128:M,129:M,130:M,131:M,133:M,135:M,136:M,144:U,145:U,146:U,147:U,148:U,149:U,151:U,152:U,153:U,154:U,155:U,157:U,158:U,160:U,162:U,163:U,166:U,168:U,171:U,178:U,188:M,191:M,193:M,195:M,196:M,198:M,204:M,206:M,209:M,212:M,213:M,215:M,217:M,218:M	0,1,7,11,21,37,51,
1	757147	757351	1	10	0.00376966	0:U,2:U,5:U,8:U,9:U,10:U,11:U,14:U,15:U,17:U,18:U,20:U,24:U,25:U,26:U,27:U,30:U,35:U,41:U,42:U,44:U,45:U,52:U,53:U,54:U,56:U,59:U,60:U,65:U,66:U,77:M,79:M,84:M,85:M,87:M,94:M,96:M,99:M,102:M,106:M,107:M,109:M,110:M,111:M,112:M,114:M,116:M,117:M,125:U,126:U,127:U,128:U,129:U,130:U,132:U,133:U,134:U,135:U,136:U,138:U,139:U,141:U,143:U,144:U,147:U,149:U,152:U,159:U,169:M,172:M,174:M,176:M,177:M,179:M,185:M,187:M,190:M,193:M,194:M,196:M,198:M,199:M	8,17,23,30,35,37,51,
