chr	pos	Cov	Meth
1	757120	1	1
1	757122	12	12
1	757126	29	4
1	757130	42	16
1	757131	44	16
1	757137	66	27
1	757138	69	34
1	757142	83	36
1	757146	98	46
1	757150	112	92
1	757151	116	78
1	757153	125	95
1	757155	134	60
1	757162	175	72
1	757164	184	100
1	757169	208	72
1	757173	226	165
1	757174	228	188
1	757175	234	121
1	757176	239	148
1	757184	274	187
1	757186	280	144
1	757190	290	120
1	757201	286	67
1	757206	296	121
1	757207	297	121
1	757211	299	172
1	757215	303	150
1	757216	305	145
1	757222	309	130
1	757228	305	146
1	757233	294	144
1	757234	297	110
1	757253	296	132
1	757260	298	206
1	757262	298	151
1	757263	296	85
1	757265	295	115
1	757268	291	211
1	757269	295	214
1	757277	280	198
1	757279	286	86
1	757283	268	142
1	757287	249	120
1	757288	244	109
1	757289	240	68
1	757292	231	125
1	757293	229	181
1	757296	214	108
1	757299	199	81
1	757300	194	103
1	757301	189	74
1	757313	134	84
1	757314	126	44
1	757318	109	62
1	757323	90	20
1	757326	82	30
1	757328	76	31
1	757333	58	13
1	757336	50	31
1	757337	47	35
1	757341	35	16
1	757342	31	19
