chr	pos	Cov	Meth
1	11007844	19	12
1	11007868	20	9
1	11007888	19	12
1	11008615	21	12
1	11008634	15	8
1	11008646	16	8
1	11008861	31	26
1	11008941	23	3
1	11008951	21	2
1	11009018	20	12
1	11009124	20	10
1	11009295	18	9
1	11009466	26	13
1	11009768	25	21
1	11010102	14	4
1	11010150	16	12
1	11010173	17	9
1	11010284	25	21
1	11010316	29	10
1	11010658	16	8
1	11010732	14	4
1	11010739	16	5
1	11011309	22	14
1	11011344	20	7
1	11011384	14	4
1	11011534	16	12
1	11011580	19	12
1	11011644	19	9
1	11011666	21	19
1	11013247	21	19
1	11013564	25	15
1	11013572	23	17
1	11013589	23	18
1	11013640	28	24
1	11014172	25	9
1	11014194	24	19
1	11014256	21	21
1	11014371	22	12
1	11014392	26	11
1	11014443	27	18
1	11014447	25	17
1	11014456	24	16
1	11014513	35	32
1	11014582	25	12
1	11014590	24	11
1	11014603	24	12
1	11014609	25	13
1	11014706	21	5
1	11014735	17	7
1	11014743	17	8
1	11014793	15	7
1	11014812	13	6
1	11014893	12	3
1	11014905	15	5
1	11014968	21	19
1	11015025	30	0
1	11015030	30	0
1	11015038	32	0
1	11015041	30	0
1	11015043	30	0
1	11015048	31	0
1	11015056	29	0
1	11015063	28	0
1	11015066	28	0
1	11015077	24	0
1	11015080	25	0
1	11015083	27	0
1	11015092	27	0
1	11015100	27	0
1	11015119	24	0
1	11015125	22	0
1	11015133	23	0
1	11015164	24	0
1	11015167	24	0
1	11015191	25	5
1	11016316	18	2
1	11016324	20	1
1	11016336	20	1
1	11016694	16	2
1	11017133	20	18
1	11017168	23	0
1	11017208	18	2
1	11017358	15	8
1	11017437	13	4
1	11017468	15	0
1	11017579	21	21
1	11018197	19	9
1	11019225	15	8
1	11019681	19	6
1	11019725	14	6
1	11019853	18	3
1	11020101	19	3
1	11020704	19	10
1	11020717	22	11
1	11021546	23	1
1	11021931	23	14
1	11023424	19	1
1	11024004	21	0
1	11024095	20	11
1	11024327	24	16
